"Name","FC","Pvalue","FDR","TestMethod","Paired"
"Firmicutes unclassified",0.863292773692113,0.00625675829462631,0.0938513744193946,"Mann每Whitney U test","No"
"Verrucomicrobiae",Inf,0.0815490509839552,0.611617882379664,"Mann每Whitney U test","No"
"Negativicutes",1.05289290048934,0.14891860408723,0.69019178467413,"Mann每Whitney U test","No"
"Clostridia",0.958410439595506,0.216369308816369,0.69019178467413,"Mann每Whitney U test","No"
"Actinobacteria",0.456992254665556,0.232875023092228,0.69019178467413,"Mann每Whitney U test","No"
"Coriobacteriia",0.922593958153927,0.276076713869652,0.69019178467413,"Mann每Whitney U test","No"
"Bacteroidia",1.00738611832446,0.478020268661401,0.814658816002478,"Mann每Whitney U test","No"
"Proteobacteria unclassified",0.781504100027589,0.486554137286856,0.814658816002478,"Mann每Whitney U test","No"
"Bacilli",0.84145311674995,0.488795289601487,0.814658816002478,"Mann每Whitney U test","No"
"Methanobacteria",NA,0.688767663096588,0.942388431969661,"Mann每Whitney U test","No"
"Deltaproteobacteria",0.960804094657985,0.725331934000018,0.942388431969661,"Mann每Whitney U test","No"
"Synergistia",NA,0.753910745575729,0.942388431969661,"Mann每Whitney U test","No"
"Erysipelotrichia",0.994086378377105,0.871713942290449,0.964964669059329,"Mann每Whitney U test","No"
"Betaproteobacteria",0.985904604373646,0.941641136514777,0.964964669059329,"Mann每Whitney U test","No"
"Gammaproteobacteria",0.983498573810442,0.964964669059329,0.964964669059329,"Mann每Whitney U test","No"
