"Name","FC","Pvalue","FDR","TestMethod","Paired"
"Firmicutes unclassified",0.863292773692113,0.00625675829462631,0.187702748838789,"Mann每Whitney U test","No"
"Prevotellaceae",1.3780936515642,0.0381441388474957,0.572162082712436,"Mann每Whitney U test","No"
"Akkermansiaceae",Inf,0.0815490509839552,0.655569004761699,"Mann每Whitney U test","No"
"Porphyromonadaceae",NA,0.101259898283869,0.655569004761699,"Mann每Whitney U test","No"
"Clostridiales unclassified",0.943230875050563,0.110506719781771,0.655569004761699,"Mann每Whitney U test","No"
"Bifidobacteriaceae",0,0.169785674758685,0.655569004761699,"Mann每Whitney U test","No"
"Eubacteriaceae",0.955031154324691,0.185231524659234,0.655569004761699,"Mann每Whitney U test","No"
"Rikenellaceae",0.982390900765565,0.195229893716688,0.655569004761699,"Mann每Whitney U test","No"
"Lactobacillaceae",NA,0.19667070142851,0.655569004761699,"Mann每Whitney U test","No"
"Coriobacteriaceae",0.898890850896993,0.259190214735887,0.777570644207661,"Mann每Whitney U test","No"
"Lachnospiraceae",0.964238707303045,0.2892175998276,0.788775272257091,"Mann每Whitney U test","No"
"Veillonellaceae",0,0.475856427940676,1,"Mann每Whitney U test","No"
"Proteobacteria unclassified",0.781504100027589,0.486554137286856,1,"Mann每Whitney U test","No"
"Odoribacteraceae",1.0082568193625,0.514820482936071,1,"Mann每Whitney U test","No"
"Acidaminococcaceae",1.05861757097378,0.546677478045233,1,"Mann每Whitney U test","No"
"Bacteroidaceae",0.99558134497488,0.553002294076828,1,"Mann每Whitney U test","No"
"Barnesiellaceae",0.987267956774411,0.653953897922945,1,"Mann每Whitney U test","No"
"Methanobacteriaceae",NA,0.688767663096588,1,"Mann每Whitney U test","No"
"Desulfovibrionaceae",0.960804094657985,0.725331934000018,1,"Mann每Whitney U test","No"
"Pasteurellaceae",0.526494123840669,0.734530427557021,1,"Mann每Whitney U test","No"
"Synergistaceae",NA,0.753910745575729,1,"Mann每Whitney U test","No"
"Oscillospiraceae",0.975372747831552,0.75848506807529,1,"Mann每Whitney U test","No"
"Eggerthellaceae",0.970711497986723,0.792067761544538,1,"Mann每Whitney U test","No"
"Erysipelotrichaceae",0.994086378377105,0.871713942290449,1,"Mann每Whitney U test","No"
"Ruminococcaceae",0.982902896916294,0.873711751079793,1,"Mann每Whitney U test","No"
"Clostridiaceae",1.04917867476542,0.895163695032162,1,"Mann每Whitney U test","No"
"Sutterellaceae",1.00146591035272,0.964964669059329,1,"Mann每Whitney U test","No"
"Tannerellaceae",0.998823397991601,0.965426948986253,1,"Mann每Whitney U test","No"
"Streptococcaceae",1.14782710545534,0.976086704737018,1,"Mann每Whitney U test","No"
"Enterobacteriaceae",0.941951722910874,1,1,"Mann每Whitney U test","No"
