"Name","FC","Pvalue","FDR","TestMethod","Paired"
"Firmicutes unclassified",0.863292773692113,0.00625675829462631,0.112621649303274,"Mann每Whitney U test","No"
"Verrucomicrobiales",Inf,0.0815490509839552,0.733941458855597,"Mann每Whitney U test","No"
"Bifidobacteriales",0,0.169785674758685,0.917885574326985,"Mann每Whitney U test","No"
"Clostridiales",0.958410439595506,0.216369308816369,0.917885574326985,"Mann每Whitney U test","No"
"Coriobacteriales",0.898890850896993,0.278454505034871,0.917885574326985,"Mann每Whitney U test","No"
"Lactobacillales",0.84145311674995,0.470489623290789,0.917885574326985,"Mann每Whitney U test","No"
"Veillonellales",0,0.475856427940676,0.917885574326985,"Mann每Whitney U test","No"
"Bacteroidales",1.00738611832446,0.478020268661401,0.917885574326985,"Mann每Whitney U test","No"
"Proteobacteria unclassified",0.781504100027589,0.486554137286856,0.917885574326985,"Mann每Whitney U test","No"
"Acidaminococcales",1.05861757097378,0.546677478045233,0.917885574326985,"Mann每Whitney U test","No"
"Methanobacteriales",NA,0.688767663096588,0.917885574326985,"Mann每Whitney U test","No"
"Desulfovibrionales",0.960804094657985,0.725331934000018,0.917885574326985,"Mann每Whitney U test","No"
"Pasteurellales",0.526494123840669,0.734530427557021,0.917885574326985,"Mann每Whitney U test","No"
"Synergistales",NA,0.753910745575729,0.917885574326985,"Mann每Whitney U test","No"
"Eggerthellales",0.970711497986723,0.792067761544538,0.917885574326985,"Mann每Whitney U test","No"
"Burkholderiales",0.985904604373646,0.826165572687819,0.917885574326985,"Mann每Whitney U test","No"
"Erysipelotrichales",0.994086378377105,0.871713942290449,0.917885574326985,"Mann每Whitney U test","No"
"Enterobacterales",0.941951722910874,0.917885574326985,0.917885574326985,"Mann每Whitney U test","No"
