"Name","FC","Pvalue","FDR","TestMethod","Paired"
"Paraprevotella xylaniphila",Inf,0.0134909687387302,0.898406855953202,"Mann每Whitney U test","No"
"Lawsonibacter asaccharolyticus",0.881000743279743,0.0312369592055443,0.898406855953202,"Mann每Whitney U test","No"
"Anaerostipes hadrus",1.05310463736711,0.0388170625028797,0.898406855953202,"Mann每Whitney U test","No"
"Alistipes finegoldii",0.806822348373025,0.0667933010882607,0.898406855953202,"Mann每Whitney U test","No"
"Blautia wexlerae",Inf,0.0784583261008634,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium sp CAG 242",0,0.0789961938058254,0.898406855953202,"Mann每Whitney U test","No"
"Akkermansia muciniphila",Inf,0.0815490509839552,0.898406855953202,"Mann每Whitney U test","No"
"Bifidobacterium longum",0,0.0897971439141875,0.898406855953202,"Mann每Whitney U test","No"
"Harryflintia acetispora",NA,0.110201502608518,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides ovatus",0.860405266095402,0.115044422242478,0.898406855953202,"Mann每Whitney U test","No"
"Gemmiger formicilis",0.856028133299775,0.116624322582591,0.898406855953202,"Mann每Whitney U test","No"
"Parabacteroides goldsteinii",NA,0.121960739496749,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides dorei",0.879366451108593,0.124715562724332,0.898406855953202,"Mann每Whitney U test","No"
"Lactobacillus rogosae",NA,0.125879693319952,0.898406855953202,"Mann每Whitney U test","No"
"Eisenbergiella massiliensis",NA,0.129946702881685,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides vulgatus",0.959735942181355,0.186900170693478,0.898406855953202,"Mann每Whitney U test","No"
"Desulfovibrio piger",NA,0.190650225547404,0.898406855953202,"Mann每Whitney U test","No"
"Eubacterium ventriosum",0,0.193918362088869,0.898406855953202,"Mann每Whitney U test","No"
"Bifidobacterium adolescentis",NA,0.200896940703173,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides thetaiotaomicron",0.895794884068451,0.201540731941554,0.898406855953202,"Mann每Whitney U test","No"
"Firmicutes bacterium CAG 110",NA,0.207548499991125,0.898406855953202,"Mann每Whitney U test","No"
"Parabacteroides johnsonii",NA,0.235391383773767,0.898406855953202,"Mann每Whitney U test","No"
"Parabacteroides merdae",1.03995781092787,0.239558780130768,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium lavalense",NA,0.244651643951302,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium sp CAG 167",NA,0.250130368054185,0.898406855953202,"Mann每Whitney U test","No"
"Dorea sp CAG 317",NA,0.258390007556235,0.898406855953202,"Mann每Whitney U test","No"
"Eubacterium sp CAG 251",NA,0.260464912774552,0.898406855953202,"Mann每Whitney U test","No"
"Adlercreutzia equolifaciens",0,0.26456095433916,0.898406855953202,"Mann每Whitney U test","No"
"Blautia obeum",0.972221440788073,0.276076713869652,0.898406855953202,"Mann每Whitney U test","No"
"Eubacterium sp CAG 180",NA,0.284824767078424,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium citroniae",NA,0.292393601704104,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium asparagiforme",NA,0.293308182112735,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides finegoldii",NA,0.294177239306711,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides xylanisolvens",1.01423863056107,0.298160076475386,0.898406855953202,"Mann每Whitney U test","No"
"Ruthenibacterium lactatiformans",0.936108923716879,0.31950847980513,0.898406855953202,"Mann每Whitney U test","No"
"Bilophila wadsworthia",0.914575182119435,0.326456508553342,0.898406855953202,"Mann每Whitney U test","No"
"Anaerotruncus colihominis",0,0.329249447288566,0.898406855953202,"Mann每Whitney U test","No"
"Streptococcus thermophilus",Inf,0.331030525745463,0.898406855953202,"Mann每Whitney U test","No"
"Hungatella hathewayi",NA,0.331259823792728,0.898406855953202,"Mann每Whitney U test","No"
"Coprococcus catus",0.716666367324325,0.332280853084782,0.898406855953202,"Mann每Whitney U test","No"
"Ruminococcus lactaris",0,0.33711014330889,0.898406855953202,"Mann每Whitney U test","No"
"Eubacterium sp CAG 38",0.792207513292735,0.337282382076509,0.898406855953202,"Mann每Whitney U test","No"
"Collinsella aerofaciens",0.909261492169265,0.346770321168213,0.898406855953202,"Mann每Whitney U test","No"
"Gordonibacter pamelaeae",Inf,0.348669956418209,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides eggerthii",NA,0.350012349118948,0.898406855953202,"Mann每Whitney U test","No"
"Asaccharobacter celatus",0,0.357894733937535,0.898406855953202,"Mann每Whitney U test","No"
"Odoribacter splanchnicus",1.00117279627031,0.360974361175823,0.898406855953202,"Mann每Whitney U test","No"
"Anaeromassilibacillus sp An250",NA,0.37224993614931,0.898406855953202,"Mann每Whitney U test","No"
"Ruminococcus bromii",0,0.375001265920906,0.898406855953202,"Mann每Whitney U test","No"
"Alistipes putredinis",0.968219966799611,0.387287442614637,0.898406855953202,"Mann每Whitney U test","No"
"Collinsella stercoris",NA,0.390741022570241,0.898406855953202,"Mann每Whitney U test","No"
"Paraprevotella clara",NA,0.393875330384414,0.898406855953202,"Mann每Whitney U test","No"
"Alistipes onderdonkii",NA,0.396293877135635,0.898406855953202,"Mann每Whitney U test","No"
"Ruminococcaceae bacterium D5",NA,0.402463580573994,0.898406855953202,"Mann每Whitney U test","No"
"Coprococcus comes",0.971720056782424,0.428428941002095,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium leptum",0,0.431804408657784,0.898406855953202,"Mann每Whitney U test","No"
"Dielma fastidiosa",Inf,0.440671441586008,0.898406855953202,"Mann每Whitney U test","No"
"Roseburia faecis",0.843623048476733,0.446831435058377,0.898406855953202,"Mann每Whitney U test","No"
"Flavonifractor plautii",0.910324566067058,0.46398807674591,0.898406855953202,"Mann每Whitney U test","No"
"Butyricimonas virosa",0.975774577361338,0.471938828033914,0.898406855953202,"Mann每Whitney U test","No"
"Proteobacteria bacterium CAG 139",0.80680638012185,0.486554137286856,0.898406855953202,"Mann每Whitney U test","No"
"Roseburia hominis",0.981331302311193,0.491424839161057,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides uniformis",1.00609309749484,0.496243114224222,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides caccae",0.979227175509296,0.497096515178413,0.898406855953202,"Mann每Whitney U test","No"
"Coprobacter fastidiosus",0.520837874022175,0.497638209013477,0.898406855953202,"Mann每Whitney U test","No"
"Bifidobacterium pseudocatenulatum",NA,0.512899866973829,0.898406855953202,"Mann每Whitney U test","No"
"Lachnospira pectinoschiza",0.502878467482783,0.517384231052229,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides massiliensis",Inf,0.518815372855187,0.898406855953202,"Mann每Whitney U test","No"
"Alistipes timonensis",NA,0.52018254714279,0.898406855953202,"Mann每Whitney U test","No"
"Butyrivibrio crossotus",NA,0.52018254714279,0.898406855953202,"Mann每Whitney U test","No"
"Butyricimonas synergistica",0.91345072625915,0.52439656096904,0.898406855953202,"Mann每Whitney U test","No"
"Ruminococcus torques",0.986302809621341,0.527879003504012,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides sp CAG 144",NA,0.528057855163398,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium symbiosum",NA,0.528057855163398,0.898406855953202,"Mann每Whitney U test","No"
"Bacteroides plebeius",NA,0.530676364198321,0.898406855953202,"Mann每Whitney U test","No"
"Veillonella infantium",NA,0.547456383826241,0.898406855953202,"Mann每Whitney U test","No"
"Alistipes shahii",1.04349765639818,0.54798190590682,0.898406855953202,"Mann每Whitney U test","No"
"Veillonella parvula",NA,0.550596301811855,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium innocuum",NA,0.564778341518411,0.898406855953202,"Mann每Whitney U test","No"
"Clostridium sp CAG 58",0.93492606276821,0.567379256812934,0.898406855953202,"Mann每Whitney U test","No"
"Fusicatenibacter saccharivorans",1.01028490164439,0.572586903835591,0.898406855953202,"Mann每Whitney U test","No"
"Roseburia inulinivorans",1.01396975333425,0.572586903835591,0.898406855953202,"Mann每Whitney U test","No"
"Streptococcus parasanguinis",NA,0.573598223416275,0.898406855953202,"Mann每Whitney U test","No"
"Streptococcus mitis",NA,0.604039686867715,0.922372662655416,"Mann每Whitney U test","No"
"Eubacterium siraeum",NA,0.60562295406087,0.922372662655416,"Mann每Whitney U test","No"
"Bacteroides stercoris",0.291822561218708,0.629463626737918,0.922372662655416,"Mann每Whitney U test","No"
"Ruminococcus gnavus",NA,0.633490979227232,0.922372662655416,"Mann每Whitney U test","No"
"Oscillibacter sp 57 20",0.958972490728939,0.64797674904233,0.922372662655416,"Mann每Whitney U test","No"
"Bacteroides intestinalis",NA,0.660898112442773,0.922372662655416,"Mann每Whitney U test","No"
"Roseburia sp CAG 303",NA,0.677123780687861,0.922372662655416,"Mann每Whitney U test","No"
"Methanobrevibacter smithii",NA,0.688767663096588,0.922372662655416,"Mann每Whitney U test","No"
"Firmicutes bacterium CAG 145",Inf,0.690394352238381,0.922372662655416,"Mann每Whitney U test","No"
"Clostridium sp CAG 253",NA,0.693480615690709,0.922372662655416,"Mann每Whitney U test","No"
"Alistipes indistinctus",0.982693470655182,0.696773430420397,0.922372662655416,"Mann每Whitney U test","No"
"Streptococcus salivarius",NA,0.713116178126641,0.922372662655416,"Mann每Whitney U test","No"
"Slackia isoflavoniconvertens",NA,0.717066231486444,0.922372662655416,"Mann每Whitney U test","No"
"Veillonella atypica",NA,0.717066231486444,0.922372662655416,"Mann每Whitney U test","No"
"Dorea longicatena",0.998660287748797,0.717797805201422,0.922372662655416,"Mann每Whitney U test","No"
"Parabacteroides distasonis",0.99883581744168,0.736302577837309,0.922372662655416,"Mann每Whitney U test","No"
"Veillonella dispar",NA,0.740268810854,0.922372662655416,"Mann每Whitney U test","No"
"Eubacterium hallii",1.03863380778531,0.746983824194898,0.922372662655416,"Mann每Whitney U test","No"
"Ruminococcus bicirculans",NA,0.753910745575729,0.922372662655416,"Mann每Whitney U test","No"
"Oscillibacter sp CAG 241",1.0700106957624,0.754103840458129,0.922372662655416,"Mann每Whitney U test","No"
"Eubacterium rectale",0.99511441145882,0.7582952945991,0.922372662655416,"Mann每Whitney U test","No"
"Faecalibacterium prausnitzii",0.98401747675862,0.761486970764909,0.922372662655416,"Mann每Whitney U test","No"
"Bacteroides fragilis",NA,0.780186118155185,0.922372662655416,"Mann每Whitney U test","No"
"Parasutterella excrementihominis",1.03609796636665,0.780803274713148,0.922372662655416,"Mann每Whitney U test","No"
"Agathobaculum butyriciproducens",0.995042992671723,0.780868169007942,0.922372662655416,"Mann每Whitney U test","No"
"Barnesiella intestinihominis",0.990500536138174,0.780868169007942,0.922372662655416,"Mann每Whitney U test","No"
"Eubacterium eligens",0.982183796363378,0.791301960957234,0.922372662655416,"Mann每Whitney U test","No"
"Alistipes inops",0.655425514577394,0.791327736850286,0.922372662655416,"Mann每Whitney U test","No"
"Bacteroides cellulosilyticus",1.01751397118036,0.79500655647563,0.922372662655416,"Mann每Whitney U test","No"
"Eubacterium ramulus",0.88154644091669,0.810483078293672,0.922372662655416,"Mann每Whitney U test","No"
"Firmicutes bacterium CAG 83",1.0242174502439,0.813280109148754,0.922372662655416,"Mann每Whitney U test","No"
"Clostridium bolteae",NA,0.815945047733638,0.922372662655416,"Mann每Whitney U test","No"
"Coprobacter secundus",Inf,0.831006058012297,0.931299892599988,"Mann每Whitney U test","No"
"Bacteroides salyersiae",NA,0.851898983507995,0.946554426119994,"Mann每Whitney U test","No"
"Phascolarctobacterium faecium",0.924329577084905,0.869050653489254,0.954750767551145,"Mann每Whitney U test","No"
"Roseburia sp CAG 182",NA,0.873964164142971,0.954750767551145,"Mann每Whitney U test","No"
"Turicimonas muris",0,0.888600415977194,0.96165529717615,"Mann每Whitney U test","No"
"Dorea formicigenerans",0.99670894855292,0.895079161217801,0.96165529717615,"Mann每Whitney U test","No"
"Bacteroides clarus",NA,0.909945727865163,0.967082495322385,"Mann每Whitney U test","No"
"Haemophilus parainfluenzae",Inf,0.924779107481779,0.967082495322385,"Mann每Whitney U test","No"
"Dialister invisus",NA,0.92653751761783,0.967082495322385,"Mann每Whitney U test","No"
"Roseburia intestinalis",0.906493967817634,0.929887014733063,0.967082495322385,"Mann每Whitney U test","No"
"Eisenbergiella tayi",0.460257591032519,0.937971501634608,0.967748374702373,"Mann每Whitney U test","No"
"Intestinimonas butyriciproducens",1.05432067106444,0.952617303595019,0.975120074546083,"Mann每Whitney U test","No"
"Eggerthella lenta",NA,0.985714731527162,0.9880993187524,"Mann每Whitney U test","No"
"Bacteroides faecis",NA,0.986394064617769,0.9880993187524,"Mann每Whitney U test","No"
"Escherichia coli",1.03941162486103,0.9880993187524,0.9880993187524,"Mann每Whitney U test","No"
