"","Actinobacteria","Bacilli","Bacteroidia","Betaproteobacteria","Clostridia","Coriobacteriia","Deltaproteobacteria","Erysipelotrichia","Firmicutes unclassified","Gammaproteobacteria","Methanobacteria","Negativicutes","Proteobacteria unclassified","Synergistia","Verrucomicrobiae"
"(15:3)-Anacardic acid",0.127509687941124,0.724664042281485,0.424605935452993,0.123775640226748,0.627601514712204,0.193043916700886,0.171214653068979,0.705327650955159,0.112651821691641,0.28117391883981,0.626390377249013,0.843857659057309,0.988157707731094,0.714755288540591,0.923561365043688
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.824639387283272,0.398325323754903,0.27596708328378,0.555713857350876,0.0436392079061281,0.516409064474189,0.93784412036621,0.208655155454274,0.838584743099063,0.954147999955717,0.920023889111302,0.536942620095426,0.323720047180484,0.294157340059445,0.282300489957683
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.350625828154505,0.638681608256641,0.632840855140418,0.216407243249279,0.769921430913417,0.47122781973511,0.957567881144602,0.323253557284259,0.530883641962951,0.142630452392813,0.178984272929811,0.361406752262175,0.414297405664418,0.957608686891039,0.423700118247815
"1,3,7-Trimethyluric acid",0.66254279751363,0.842288367225728,0.995981086526505,0.512893047908207,0.981916300755338,0.900778004268842,0.00352461754079503,0.920526660838105,0.558099928868699,0.886808818091447,0.284673477666807,0.155313820882228,0.53912152945402,0.338175184034532,0.555105103883505
"1,4-Butynediol",0.246045236889142,0.200571088155273,0.311910538569024,0.921060611590002,0.103577820092582,0.941496817647857,0.930791567140224,0.867490553626947,0.138898359322404,0.698774582838996,0.787581632649579,0.853919844671027,0.43131674208862,0.697230817446644,0.34518565538517
"1,5-Anhydrosorbitol",0.484621324985493,0.867054001966838,0.427439650807861,0.476817722543656,0.400513373488342,0.840012012857307,0.963900147375871,0.152207270426071,0.945388216136708,0.0760157340642473,0.818423766438099,0.289409917043852,0.920672849764563,0.726289850577307,0.270341203757088
"1,7-Dimethyluric acid",0.860291038276705,0.442192145636553,0.30717669211063,0.271769906120226,0.494343254658305,0.898774150362662,0.771784096793396,0.904316204466496,0.949288949315455,0.537287017469384,0.906121894234044,0.414608886835187,0.392410577182946,0.643446541366676,0.654056180170549
"10-Hydroxydecanoic acid",0.955839577567347,0.264543998168415,0.460639734862678,0.723463789800644,0.0883666010430408,0.123228177708828,0.508860430491705,0.837659917066071,0.00545097727758126,0.172944310686208,0.383538124001759,0.486574145688603,0.73634691683198,0.332474033474771,0.772365862705966
"12-Ketodeoxycholic acid",0.931353753893004,0.56547443639253,0.56702132721799,0.474950178200568,0.444999753099794,0.495904671461803,0.0259044464437173,0.968691858868352,0.865944345374813,0.802852622192672,0.110226252535919,0.954159590460778,0.897633980827041,0.217880975560237,0.204723185399059
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.0355160003838937,0.745108017301284,0.637220520283472,0.262040388076342,0.111198731309126,0.0152716271650897,0.700650156422395,0.494671260888281,0.923994811491565,0.552020977746596,0.481724786592601,0.944420124269873,0.893718820399313,0.853892112155587,0.431298206712683
"1-Methylpseudouridine",0.238856112415012,0.526670079176833,0.553277523244844,0.483714025636641,0.561967985419217,0.858228441062954,0.511570549264048,0.559186877477966,0.544650734105587,0.613160258846437,0.0349290734814751,0.471159999575892,0.0270791659915917,0.682677645587755,0.262781985797449
"1-Methylxanthine",0.0392029200843025,0.986255121299185,0.0845509123062247,0.322102038238054,0.0233969011733557,0.492784362633626,0.00520057832407872,0.508859553040103,0.00206920440559299,0.286237209502506,0.387081663164037,0.418876893643801,0.601011744288054,0.21817795906409,0.636420020142119
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.347377064970575,0.0482513545811454,0.906520360429146,0.104743641789602,0.57201576497059,0.447562897548095,0.166077785153224,0.238956482583081,0.470444662988126,0.439368526804951,0.897281517388687,0.771784096793396,0.29487106672554,0.786151649773071,0.880461732010327
"2,3-Dihydroxybenzoic acid A",0.541415465309075,0.97938390412005,0.497468607812846,0.744703724491488,0.707038305975581,0.258947291520181,0.0935577659487135,0.299899394376659,0.0269235462169486,0.0897636678737994,0.518522933485815,0.308362018483948,0.305216108247818,0.356905075242519,0.756618070576355
"2,6-Diaminopimelic acid",0.468045222229954,0.966622267623555,0.222589906814529,0.760489038312059,0.0167663211115832,0.890048861120099,0.0455813233903526,0.384673792627261,0.248680924830505,0.758622400105903,0.941554946434886,0.728998921414011,0.975327713711482,0.848128128896903,0.449965202862398
"2,8-Quinolinediol",0.591724049473106,0.19461377334542,0.234842017115289,0.721626193457821,0.292604590561668,0.135869969444906,0.110458848537195,0.484551785405428,0.180768479651122,0.306485761579195,0.0308027580280097,0.0770855874919232,0.65657638136197,0.233695280262147,0.906699465256938
"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid",0.0722446478866985,0.0104348919840018,0.902648498322887,0.36921472992323,0.895869901784294,0.946367425222757,0.160146431378317,0.41540279505764,0.861133748394797,0.599892342157145,0.318303015471612,0.771795339223596,0.78542715820378,0.328570224443653,0.539252755005606
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.425555556208915,0.703848290181338,0.591733352917467,0.791433041813874,0.15256700722466,0.692395848527786,0.236888010710042,0.207141129832704,0.166552036144172,0.964373253211475,0.937103855119331,0.330019073606366,0.634608888362371,0.84628568764806,0.201016930423653
"2-Amino-3-methoxybenzoic acid",0.0379928082727572,0.0767152233396187,0.103167397627328,0.180655373037752,0.220729893277132,0.291719866051809,0.465305221084116,0.923288098736823,0.607667170763929,0.26415770188742,0.572912119994016,0.947825466328587,0.526195244939674,0.358519454661704,0.87766706911613
"2-Aminonicotinic acid",0.138486122439584,0.944080022217811,0.767112985121938,0.297119114785155,0.906525070487547,0.0701454423351846,0.198709789801568,0.744981651990426,0.0596805310893935,0.687918022976009,0.67127425431833,0.517228209001146,0.920189762172333,0.858732574528045,0.643822425149832
