"","Actinobacteria","Bacilli","Bacteroidia","Betaproteobacteria","Clostridia","Coriobacteriia","Deltaproteobacteria","Erysipelotrichia","Firmicutes unclassified","Gammaproteobacteria","Methanobacteria","Negativicutes","Proteobacteria unclassified","Synergistia","Verrucomicrobiae"
"(15:3)-Anacardic acid",-0.248273473401295,-0.0582495597971865,0.131578947368421,0.250658033078636,-0.0801619433198381,-0.212955465587045,0.223594311739361,0.0625256280785065,0.258097165991903,-0.176958902189602,-0.0804432985509615,0.0325910931174089,-0.00245665520099454,-0.0604359441528035,0.0158797833971861
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.0366624175425709,-0.139113506564311,-0.178855205451992,-0.0972918259763172,0.324814009222096,0.107090439936733,0.0129061645915579,-0.205857778140122,-0.0337061592617507,0.00951657819123186,-0.0166169977123305,0.101928235365114,-0.162249815129827,-0.172327663286897,-0.176551627625324
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",-0.153567021283492,-0.0775981897997484,0.0789473684210526,0.202470139805037,-0.0483805668016194,-0.118825910931174,-0.00880611368099793,0.162404228775342,0.103441295546559,-0.239117235109749,-0.219702517026068,-0.150202429149798,0.134501872254451,0.00879763743996507,-0.131834174914894
"1,3,7-Trimethyluric acid",0.0721365841001436,-0.0329228014643097,0.000833688015662616,-0.107984459443543,-0.00375159607048177,0.0206337783876498,-0.456050424626406,0.0165122005176067,-0.0967078098168635,0.0235564554384563,-0.175697194909935,-0.231973690358123,0.10138613156271,-0.157531980022728,-0.0974410124425757
"1,4-Butynediol",-0.190237211026451,-0.209484980236301,0.166202743266651,-0.0164009113508464,-0.264588289219869,-0.0121463636979282,-0.014373924486284,-0.027610116200253,-0.24130775879884,-0.0639838023070057,0.0445757557679976,0.0304671289423032,-0.129697486289899,-0.0643280104537472,0.155288693902866
"1,5-Anhydrosorbitol",-0.115288770351842,-0.0277018953495593,0.130782468531148,0.117343323472738,-0.138475554915334,-0.0334041908786989,-0.00749101585208173,0.233682737446544,-0.0113371799345887,-0.28743545758335,-0.0379836315485469,-0.174005467031768,-0.0164817302490903,0.0578917641019891,0.180930611169426
"1,7-Dimethyluric acid",-0.0291247798985932,-0.126682609069406,-0.167813765182186,-0.180400894566288,0.112753036437247,-0.0210526315789474,0.0479781366068163,0.0198945180249793,0.0105263157894737,0.101842480321934,0.0195173904681021,0.134412955465587,0.140848231523687,-0.076501195130131,-0.0740701306110359
"10-Hydroxydecanoic acid",-0.00916514052752934,-0.183099140761086,0.12165991902834,0.0585138704036557,-0.276518218623482,-0.251012145748988,-0.109013614188905,0.0339018827568525,-0.43663967611336,-0.222717153785541,-0.143479194792535,0.114777327935223,-0.0556841845558763,-0.15937748985444,0.0478525016465542
"12-Ketodeoxycholic acid",-0.0142568852650456,-0.0949101219073039,-0.0945344129554656,0.117837621366532,0.125910931174089,0.112348178137652,0.356495774534192,-0.00649616915101366,0.0279352226720648,-0.0413039085202276,0.25979229204163,-0.00951417004048583,0.0212910117419527,0.201835653151662,0.207609517165896
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.337684510992081,-0.0537688244281721,-0.0779352226720648,-0.184045357082779,0.259109311740891,0.38582995951417,-0.0635659700191575,-0.112667933712893,0.0157894736842105,-0.098198017805443,0.116049348729256,-0.0115384615384615,0.0221098968089509,-0.0304729760601689,-0.129702660364936
"1-Methylpseudouridine",-0.193108280731333,0.104498468370436,0.0978893567999191,-0.115526755577598,-0.0957635279552466,-0.0295591439354461,0.108321523130489,-0.096442153974443,0.100015185644592,-0.0835316155578597,-0.33870452612964,0.118843955411691,-0.353914445606295,-0.0675863175579298,-0.183764455786475
"1-Methylxanthine",-0.331574417307062,-0.00285137705300913,0.279757085020243,-0.16278599240325,-0.362348178137652,0.113157894736842,-0.438787388587655,0.109013838565448,-0.47834008097166,0.175136670931357,-0.142424200713178,-0.133198380566802,0.0863923745683081,-0.201708151159779,0.0781200082559559
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",-0.154593193971174,-0.318351992327991,0.0194341819166851,-0.263730704129351,0.0933245610790815,-0.125208765786143,0.226237473428485,-0.193067797841475,-0.119034364239696,0.127461403646393,0.0213647113444249,-0.0479781366068163,-0.172076933270182,-0.0448829726059842,-0.0248866918505965
"2,3-Dihydroxybenzoic acid A",0.100816545802823,-0.00427706557951369,-0.111943319838057,-0.0538570571881399,0.0621457489878543,0.185222672064777,-0.272280986228557,0.170321434928139,-0.354251012145749,0.275359390134851,0.106554402015044,0.167408906882591,0.168485602534876,0.151599868349543,0.0512629249264867
"2,6-Diaminopimelic acid",-0.119674171866728,-0.00692582441441489,0.199827911399214,-0.0504227206640171,-0.38082705303133,0.0228779675664754,-0.322028752409425,0.143140460109436,-0.189198767175852,-0.0508277224364189,-0.0121342743005946,-0.0572961488611729,0.00511880887483793,-0.0316890564398973,0.124552648832074
"2,8-Quinolinediol",0.0885963584327837,0.212223920659679,-0.194736842105263,0.0589188106832658,0.172874493927126,0.243117408906883,0.259628524043215,0.115307002430492,-0.218825910931174,0.168050216038181,0.346301806548893,0.286437246963563,-0.0734949347630868,0.195205549573718,0.0193967824046166
"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid",0.291044129196432,-0.405506550895798,-0.0202429149797571,0.147803202057677,0.0216599190283401,-0.0111336032388664,-0.229363834495877,-0.134186494025626,0.0289473684210526,0.0866572198365559,-0.164051579339994,0.0479757085020243,0.0450386786849,-0.160652509773275,0.101353516850497
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",-0.131311704879852,-0.0628544002411703,0.0885941431622998,0.0437490510896067,-0.233483536151158,-0.0654077902661093,-0.193904423689,0.206529552097201,-0.225991002900861,0.00739277946653076,-0.0130601791334942,-0.160178210837438,0.078538433047639,0.0320781166775294,0.209282304683091
"2-Amino-3-methoxybenzoic acid",0.333526159588666,0.286781577221888,-0.264891948312317,-0.218881298398333,0.20061744041078,0.173186902392959,-0.12040692377771,0.0159367214832343,-0.0848221064905318,0.183244750277975,0.0931079395627405,0.0108305076306526,0.104617861869201,0.151097507210487,-0.0254728880183836
"2-Aminonicotinic acid",-0.241552370347773,-0.0116091780015372,-0.0489878542510121,-0.171289738275061,-0.0194331983805668,-0.293117408906883,0.210334531369123,0.0537964007818319,-0.304251012145749,0.0664102058560522,0.070157106277232,0.106882591093117,0.0165824226067132,0.0294529601251004,0.0764147966159896
"2-Aminophenol",0.0507137775856624,-0.389620307314747,0.219433198380567,0.376999400316979,-0.205263157894737,-0.183198380566802,-0.147274659837379,-0.0255786660321163,0.0455465587044534,-0.111965987312186,-0.281683419188285,0.2582995951417,0.167666717467878,-0.217645900145223,-0.0647980423187192
"2-Deoxycytidine",-0.162121152442519,-0.253161548349311,0.267004048582996,0.054464467607555,-0.258502024291498,-0.037246963562753,0.0161951515972376,-0.142712716036331,-0.238866396761134,-0.114598099129651,-0.161414094141601,0.277732793522267,0.107273943776762,-0.315822433895558,-0.0082063310173378
"2-Deoxyribose",-0.225462456977222,-0.178211065813071,0.261740890688259,0.0611459822211212,-0.440283400809717,-0.50587044534413,-0.186143023670749,0.277508225919865,-0.442307692307692,-0.0445434307571082,-0.181458981649382,-0.134210526315789,0.0217004542754518,-0.0646435098849607,0.133645962282358
"2-Deoxyuridine",-0.158251426442007,-0.156825737915502,0.288056680161943,-0.0494027141124291,-0.230971659919028,0.0297570850202429,0.0682220761033633,-0.146975827041684,-0.168421052631579,-0.0704596086521529,-0.131874259919609,0.12834008097166,0.117510007114239,-0.232053625228064,-0.054033893841432
"2-Dodecoxyethyl hydrogen sulfate",0.246440445295789,0.0142568852650456,-0.198987854251012,-0.0824053469006501,0.208704453441296,0.08582995951417,0.178956425149475,-0.269185009195129,0.248785425101215,-0.208341773859383,0.175129017173241,0.10587044534413,0.0229287818759491,0.319902497635831,0.114036028422746
"2-Hydroxybenzaldehyde",0.00682328326486737,-0.232704511346596,0.0721696443051899,-0.118248546035732,-0.107292879331699,-0.125917303668522,-0.255288996862031,-0.00690252905006325,-0.104256288407217,0.0762338657233787,-0.213910875312698,0.00647806063889503,-0.0441196658176375,0.0160023098353722,0.159498648198791
"2-Hydroxycinnamic acid",-0.161510143074017,-0.113444072751863,0.243117408906883,-0.00607410419415111,-0.31497975708502,-0.0712550607287449,-0.329874994096233,0.065367702082075,-0.331174089068826,0.0168050216038181,-0.235791176736261,0.0107287449392713,0.0298893049454336,-0.142037218958277,0.150165200044532
"2-Hydroxyisobutyric acid",-0.189209234446106,-0.0549908431651761,0.115789473684211,-0.223527034344761,-0.162753036437247,0.0242914979757085,-0.173996659972821,-0.0353229197586368,-0.24412955465587,0.0471755425745737,0.132929253998966,-0.0917004048582996,0.0456528424851486,0.133367083510195,0.110625605142813
