"","Firmicutes unclassified"
"Naringin",0.645084200902768
"Aconitic acid",0.045759954727957
"Halometasone",0.686608589744517
"Pyroglutamic acid",0.0480499909970742
"Mannitol",0.317344262060629
"N-Methylalanine",0.0511239604899774
"Glutamic acid",0.0427563977529406
"1,5-Pentanediamine",0.432531095051848
"N-Methylglutamic acid",0.280155658543665
"3-O-Methyluridine",0.0273603303408474
"2-Hydroxycinnamic acid",0.0394549663746822
"2-Hydroxyisobutyric acid",0.13419763818109
"Indolelactic acid",0.0718734132722618
"N-Acetylserine",0.0334084489868229
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.19347742347066
"Glyceric acid",0.0813181349456036
"trans-Zeatin",0.791546578933605
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.166552036144172
"gamma-Aminobutyric acid",0.233851268956126
"2,6-Diaminopimelic acid",0.248680924830505
"N-Acetylserotonin",0.881363495329032
"4,6-Dihydroxypyrimidine",0.138577713952575
"Methyl-4-hydroxy-3-methoxybenzoate",0.358443833795674
"Desloratadine",0.346491346547476
"2-Hydroxyquinoline",0.129596331629628
"Glucuronic acid A",0.00279148954055808
"Epicatechin",0.770846938772531
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.923994811491565
"4-Acetylbutyric acid",0.755908832947145
"Indoxyl sulfate",0.610231511376949
"2-Deoxyribose",0.00481167348747835
"N-Acetyldihydrosphingosine",0.424605935452993
"Galactonic acid",0.0410127764770327
"Orotic acid",0.119216366502766
"1-Methylxanthine",0.00206920440559299
"2-Propanamidoacetic acid",0.158071586350779
