"","Acidaminococcaceae","Akkermansiaceae","Bacteroidaceae","Barnesiellaceae","Bifidobacteriaceae","Clostridiaceae","Clostridiales unclassified","Coriobacteriaceae","Desulfovibrionaceae","Eggerthellaceae","Enterobacteriaceae","Erysipelotrichaceae","Eubacteriaceae","Firmicutes unclassified","Lachnospiraceae","Lactobacillaceae","Methanobacteriaceae","Odoribacteraceae","Oscillospiraceae","Pasteurellaceae","Porphyromonadaceae","Prevotellaceae","Proteobacteria unclassified","Rikenellaceae","Ruminococcaceae","Streptococcaceae","Sutterellaceae","Synergistaceae","Tannerellaceae","Veillonellaceae"
"(15:3)-Anacardic acid",0.881350325845245,0.923561365043688,0.97170624376464,0.200952134158259,0.192685342305451,0.513955003105238,0.773625894431722,0.0885164452670648,0.171214653068979,0.87986105629141,0.920904990529386,0.705327650955159,0.748466490525353,0.112651821691641,0.345265965505583,0.555466801142509,0.626390377249013,0.305404134049515,0.232274050433756,0.338215726006138,0.397298345137766,0.260562693758379,0.988157707731094,0.0538591940314925,0.0347213855078086,0.589088760192451,0.124718939156891,0.714755288540591,0.0303599411658153,0.441348510303167
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.96644218106738,0.282300489957683,0.803355587819968,0.336398085564571,0.905733393457651,0.413072394365984,0.36226652492001,0.124226306365874,0.93784412036621,0.741833967564663,0.525751026668719,0.208655155454274,0.0809615186981567,0.838584743099063,0.019459321465507,0.33510851201849,0.920023889111302,0.629765019798642,0.479524485546192,0.381113847960605,0.705269721491952,0.909202808398895,0.323720047180484,0.614564134499807,0.750777633996893,0.351059946070501,0.488012061028602,0.294157340059445,0.528036966049261,0.571020691565828
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.939295157303592,0.423700118247815,0.892966990590659,0.322811729956027,0.328550658752962,0.104623707392767,0.563610617945377,0.348604707152459,0.957567881144602,0.749272740084141,0.812734213399534,0.323253557284259,0.672685606177464,0.530883641962951,0.610267793184047,0.865696728523737,0.178984272929811,0.627601514712204,0.135788274945601,0.0806678531496048,0.152013191475727,0.283414840033849,0.414297405664418,0.600822021784082,0.431828586220306,0.499968839737945,0.19251889556146,0.957608686891039,0.960006511976671,0.276309194814281
"1,3,7-Trimethyluric acid",0.0170220587693253,0.555105103883505,0.203379354187183,0.804973705130729,0.643877856658365,0.255423231876433,0.383725135250605,0.423621887993339,0.00352461754079503,0.145774509358951,0.731965587243746,0.920526660838105,0.727960035734327,0.558099928868699,0.424835599944117,0.690511609153342,0.284673477666807,0.660808856032769,0.402137548019986,0.993652356411395,0.199452075501854,0.497561022468964,0.53912152945402,0.522845905454333,0.642585011394569,0.895872149581362,0.690308899425154,0.338175184034532,0.645305803062444,0.486910927803653
"1,4-Butynediol",0.319168054446769,0.34518565538517,0.702924285545035,0.621059865217299,0.200403412197248,0.137285644431441,0.825656322854886,0.506449997503401,0.930791567140224,0.854807394629604,0.65121610899026,0.867490553626947,0.160525786668497,0.138898359322404,0.0186885566595931,0.499524999255152,0.787581632649579,0.628019990072023,0.104743641789602,0.0156288439335674,0.839933482903778,0.921070498103621,0.43131674208862,0.791536262378584,0.930308888577493,0.178875451308324,0.995119579661444,0.697230817446644,0.0602934940131146,0.0220903925697353
"1,5-Anhydrosorbitol",0.752301600631269,0.270341203757088,0.0871268690526368,0.329524053265013,0.429869016449015,0.341943107855117,0.994143214572062,0.323182167923167,0.963900147375871,0.616745720507861,0.798614117936184,0.152207270426071,0.873638457922348,0.945388216136708,0.143020791522974,0.679833816641289,0.818423766438099,0.632368996231425,0.768916704661425,0.137012792441532,0.205465906480838,0.0225248137987351,0.920672849764563,0.488466165845117,0.543444096268912,0.636091315703271,0.670800538083089,0.726289850577307,0.372921583459093,0.323949426404854
"1,7-Dimethyluric acid",0.767553779749934,0.654056180170549,0.894902114298633,0.780243588979116,0.881347049470129,0.154100516064251,0.819947892450282,0.216496297344957,0.771784096793396,0.237589166686248,0.854641773962794,0.904316204466496,0.2274806442707,0.949288949315455,0.0762168620707564,0.189272724504375,0.906121894234044,0.116197742618388,0.0317950958134678,0.997431175414393,0.613397192092745,0.310557421735018,0.392410577182946,0.347818424994229,0.722598743493708,0.863761733815671,0.196877394840409,0.643446541366676,0.0817739796672918,0.380706050274139
"10-Hydroxydecanoic acid",0.866826178310302,0.772365862705966,0.638975804500754,0.178299750746962,0.914541031484033,0.567776840314346,0.392857091455738,0.312635091014798,0.508860430491705,0.524224574828088,0.0559811188112178,0.837659917066071,0.256834100506171,0.00545097727758126,0.271868592431303,0.600576940382193,0.383538124001759,0.00390211063700963,0.999023959728271,0.506310760708935,0.126372815240793,0.99303976466986,0.73634691683198,0.427486837205886,0.872687151429162,0.128463012755569,0.91426724356461,0.332474033474771,0.817129151872976,0.544455139063541
"12-Ketodeoxycholic acid",0.238297648037817,0.204723185399059,0.961955959225596,0.452410875822083,0.858516989684734,0.170155768368499,0.124718939156891,0.598739775661017,0.0259044464437173,0.0513155122969509,0.986715307480332,0.968691858868352,0.442789433881868,0.865944345374813,0.950262937824417,0.747162757871055,0.110226252535919,0.224580738334254,0.269043794246207,0.867523864250218,0.383704067077677,0.172440830157715,0.897633980827041,0.421020155542035,0.436194723257292,0.888449341608406,0.540544785038576,0.217880975560237,0.606825653049841,0.690798764645418
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.443408473400874,0.431298206712683,0.584657788535082,0.153083047469916,0.03834443144821,0.418068744706682,0.546268562183278,0.0314345805012139,0.700650156422395,0.411185080587858,0.308700419165519,0.494671260888281,0.113824589132042,0.923994811491565,0.16748797153806,0.553007993398263,0.481724786592601,0.106084859941232,0.740995919996645,0.377591086133338,0.546572750748629,0.999005668822173,0.893718820399313,0.866907042156366,0.00782875403093053,0.848026841450142,0.275616824601972,0.853892112155587,0.0749281490573606,0.418841883697662
"1-Methylpseudouridine",0.688933663297693,0.262781985797449,0.658805921152028,0.744252449670738,0.308925406161393,0.599836745640488,0.757689585845218,0.564066034379253,0.511570549264048,0.994629369229365,0.60761900842518,0.559186877477966,0.405024535241185,0.544650734105587,0.482646533395729,0.698131370100181,0.0349290734814751,0.848626991349589,0.0589647811373109,0.869278859883714,0.193816255118346,0.627226484369371,0.0270791659915917,0.622327081363382,0.180287526647449,0.97926734691144,0.390724146887294,0.682677645587755,0.487668938906733,0.342154880751379
"1-Methylxanthine",0.535621311050631,0.636420020142119,0.332676116747435,0.409660849983281,0.0267194398881354,0.239238669711587,0.686112101198949,0.699465577170939,0.00520057832407872,0.933682462646977,0.532690919613808,0.508859553040103,0.0121515955082938,0.00206920440559299,0.166706317548219,0.0754629861884548,0.387081663164037,0.641612367856151,0.253588028315562,0.23074399992007,0.00324948696344762,0.264922687384426,0.601011744288054,0.215565191285957,0.958057293995877,0.97452658774507,0.35869576996857,0.21817795906409,0.676272436565136,0.250773288094091
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.601818935766254,0.880461732010327,0.271570492679931,0.40612326747751,0.41079116144622,0.891005061802075,0.526341347303574,0.876896644539165,0.166077785153224,0.886861127846947,0.979581134886823,0.238956482583081,0.220967752895697,0.470444662988126,0.151235842766403,0.154727645746274,0.897281517388687,0.341750347767148,0.110672085176088,0.0378831646355655,0.579532401152816,0.743847301014626,0.29487106672554,0.261047443985506,0.38608696132959,0.0834130098817012,0.112703642195653,0.786151649773071,0.157321957961142,0.628378849784996
"2,3-Dihydroxybenzoic acid A",0.426218249930439,0.756618070576355,0.8085794571059,0.604249520411983,0.623369600956602,0.873625766874869,0.310641999705894,0.686773927137208,0.0935577659487135,0.946827421106444,0.234808642071796,0.299899394376659,0.81617813567847,0.0269235462169486,0.750325000216811,0.576821064110183,0.518522933485815,0.428931370964948,0.874590131004475,0.246313699462839,0.0624140746843671,0.545391682236048,0.305216108247818,0.501389437056567,0.310741360157704,0.952568612720708,0.717955627681976,0.356905075242519,0.192178956598357,0.844712156311641
"2,6-Diaminopimelic acid",0.82278583166295,0.449965202862398,0.947820191395026,0.894886243349881,0.427112691190146,0.603263033041616,0.10905826260712,0.719990484853243,0.0455813233903526,0.815821325341701,0.53079244517108,0.384673792627261,0.00297339328608315,0.248680924830505,0.00919410242536167,0.448338469301611,0.941554946434886,0.986336765017721,0.975111058955587,5.50181309226794e-05,0.0176658516744488,0.769463717757892,0.975327713711482,0.828535467118475,0.687933023489494,0.736706911220465,0.762824216548558,0.848128128896903,0.569466908938753,0.0835571440304632
"2,8-Quinolinediol",0.152932953593982,0.906699465256938,0.229916697419394,0.206802741136943,0.640117167651705,0.420925270784598,0.336323766063194,0.900610893601649,0.110458848537195,0.0416337426430693,0.702376969746089,0.484551785405428,0.534121972544288,0.180768479651122,0.324034672306574,0.151361673704923,0.0308027580280097,0.0190422100865055,0.564442731188209,0.0552013665317308,0.335652061544001,0.714757417942079,0.65657638136197,0.706126558664624,0.210001694495213,0.469534503455432,0.946356580830884,0.233695280262147,0.367326644639205,0.0983664208202502
"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid",0.865859379250849,0.539252755005606,0.323422839942202,0.65131668765722,0.0582376964428755,0.0248143036808413,0.772687967850011,0.804592507840637,0.160146431378317,0.510251110766462,0.904272045237643,0.41540279505764,0.542259399365842,0.861133748394797,0.841942379880441,0.301596189178575,0.318303015471612,0.503749442810033,0.577833003444092,0.840733306435658,0.385629206235163,0.114536201595187,0.78542715820378,0.775546977744414,0.26213867685343,0.0311111510307083,0.260973761303718,0.328570224443653,0.44573786436004,0.606192441941437
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.652693168636897,0.201016930423653,0.744202386587176,0.700563428951636,0.338910680980736,0.372367940242446,0.95657138421591,0.672262715328261,0.236888010710042,0.822928880657192,0.167396093447226,0.207141129832704,0.232448028651884,0.166552036144172,0.146792490564043,0.713285107650987,0.937103855119331,0.778287425212354,0.558489831825921,0.00086500253165589,0.238104712710161,0.279818638282162,0.634608888362371,0.194620184138437,0.705571188548239,0.262827289985006,0.708707950984339,0.84628568764806,0.202128355855093,0.127706764798499
"2-Amino-3-methoxybenzoic acid",0.193246448399758,0.87766706911613,0.360401121057888,0.620192115172208,0.049926400703145,0.547888841402196,0.931267376821937,0.22721893238811,0.465305221084116,0.825604155954856,0.870884163303778,0.923288098736823,0.596530883135574,0.607667170763929,0.2102079145134,0.485374006620105,0.572912119994016,0.572853416455371,0.582449601932243,0.231624369032526,0.902049636445544,0.266545420615107,0.526195244939674,0.00809227048378514,0.0757698996079457,0.164003538185129,0.163304172946303,0.358519454661704,0.00411206548965759,0.0957148466196789
"2-Aminonicotinic acid",0.827359649045551,0.643822425149832,0.97853393958937,0.592290368541822,0.108817155716624,0.0684807501160605,0.944408887342231,0.318057115810446,0.198709789801568,0.394778582749916,0.471287512457794,0.744981651990426,0.4369247767499,0.0596805310893935,0.439118980266982,0.530148772233837,0.67127425431833,0.661077983827193,0.377223292490787,0.122940046212796,0.541935333452118,0.955277563440488,0.920189762172333,0.319160245149703,0.181596771129021,0.955062398639102,0.255683846277969,0.858732574528045,0.0757853797056449,0.0936774002890446
"2-Aminophenol",0.198987897014102,0.695124676335557,0.164377134886593,0.204087902751914,0.708349877385044,0.0443732317422474,0.284542927009362,0.459430161518492,0.370948219318994,0.414725192458322,0.628638682490738,0.877162932027672,0.376649685690464,0.783065262573166,0.274612870035775,0.378052387525063,0.082342881877814,0.755908832947145,0.033771973118502,0.972262007827736,0.0475699403158174,0.841912324201805,0.307606876983914,0.56535450231271,0.724436778480168,0.0154266911357501,0.0157197279968735,0.183190166351467,0.386792356532342,0.595991410241257
"2-Deoxycytidine",0.429117625826573,0.960455571380181,0.0908181305007272,0.0049650729921682,0.404968736318655,0.743776237737195,0.902628879667933,0.81599499957888,0.922047909454504,0.0499083151939552,0.0736566752577013,0.386110694452943,0.0435811625200053,0.143062480219873,0.525239648368395,0.66678074165111,0.326252086274665,0.00447639485015339,0.175360434654194,0.196754325827877,0.00448181670187719,0.262192078994353,0.515686401370608,0.843857659057309,0.558709882116865,0.197961739517795,0.922036106924271,0.0501603716153138,0.311338005499973,0.912190710669164
"2-Deoxyribose",0.363275910494224,0.417301219187632,0.139260834037144,0.754977336296524,0.175787638075833,0.254634499315118,0.705158206675201,0.00197392660809781,0.256546260171327,0.0926449646348688,0.859971043672433,0.0871864243608909,0.195218303924523,0.00481167348747835,0.156037862186958,0.454167411347445,0.268921059344783,0.968780668926329,0.266875908066281,0.3539919239266,0.520168167915848,0.816630792908817,0.895676096087597,0.0923140183616749,0.117699774622952,0.264234268335692,0.798119585110987,0.69581686465309,0.593141131316513,0.559819758934466
"2-Deoxyuridine",0.641507401236608,0.743893641399868,0.0519166045887833,0.26968617710938,0.411705043499651,0.896817060530214,0.35869576996857,0.322314826499613,0.679850985097728,0.099768117823686,0.241627796074669,0.371930457476878,0.209084224832419,0.305404134049515,0.605107708218664,0.98953256244137,0.423557952825921,0.16945364683131,0.116121305016746,0.442448768842003,0.0249895892753778,0.499638066018081,0.476187531973149,0.740120663162553,0.708863008725773,0.186251700155866,0.5536697467753,0.155167501800498,0.713431759435801,0.852662272263852
"2-Dodecoxyethyl hydrogen sulfate",0.947605202771319,0.489411842909428,0.475804645824577,0.514040710742236,0.158454479593625,0.253588028315562,0.925923259980852,0.951187626404825,0.275690940687347,0.220277519694968,0.203583375551073,0.0974967150932258,0.206802741136943,0.126701012431138,0.635467185267974,0.385305302985554,0.28625860013731,0.0246714379788897,0.242266288974523,0.899557667457313,0.258715890561938,0.445326517895439,0.889806141397198,0.164763691000289,0.102232580210724,0.657127545710193,0.406752686109649,0.0471104322544615,0.094083116643116,0.0598387314885545
"2-Hydroxybenzaldehyde",0.547898201429502,0.332101845393354,0.26078122832265,0.265062301694375,0.810330706191861,0.165428847596987,0.430260932899329,0.517578704418199,0.116758509661232,0.280721078815692,0.850520560358834,0.96673447283409,0.0139510004020669,0.52763388552758,0.651300163245779,0.0471710951679869,0.191007118762955,0.937117496153198,0.0693653763965827,0.170248966972512,0.694965938356059,0.489281637228566,0.789705831406078,0.38269193241557,0.4149397805536,0.483815056166196,0.483372869917252,0.922973327460028,0.380663363657693,0.266236909592397
"2-Hydroxycinnamic acid",0.469319073027859,0.361527145982691,0.492005865038279,0.843857659057309,0.306013179125874,0.0119897352320697,0.49738097861655,0.386306224361552,0.0402819721773051,0.861064104285475,0.625562825692678,0.692575139607857,0.0224171493984153,0.0394549663746822,0.0555220727140033,0.0222652456272243,0.148437529574945,0.509277903483646,0.995119826649576,0.0537180619096143,0.157779398828792,0.426743358391227,0.856661276338417,0.187046534754001,0.373971791127558,0.619389513988876,0.850538124195906,0.38838625008769,0.353603382980669,0.116433897807279
"2-Hydroxyisobutyric acid",0.863926359764497,0.502576219392373,0.895869901784294,0.280155658543665,0.177633849928579,0.459046019227139,0.283417027284671,0.350531175773654,0.289434707092832,0.193897915986385,0.716186578929541,0.830951803082192,0.12044017308493,0.13419763818109,0.278485226263399,0.0975594833385198,0.419825944901743,0.156410110519796,0.797173825048361,0.0776199930307171,0.508888081830931,0.336089759212264,0.782571231636402,0.783065262573166,0.547990635742296,0.88300833133789,0.276722453802771,0.418282595159034,0.481173668260217,0.0972791223333414
"2-Hydroxynicotinic acid",0.615666544273478,0.361527145982691,0.396401433824144,0.851527526000706,0.125960929790186,0.930784576281264,0.511570542734686,0.176217913540861,0.499797388323982,0.106880842564801,0.383089542745633,0.289494188973378,0.60253471870841,0.926910076996616,0.953185325296848,0.632544936268692,0.182214383270388,0.265356005506995,0.948304581781412,0.984587946008446,0.143406666558659,0.443073473573793,0.111687599877688,0.26213867685343,0.00728627475471466,0.712973537663553,0.623178513031385,0.511854206322766,0.582123379330742,0.58236230799302
"2-Hydroxypalmitic acid",0.00086697002406444,0.832419011306936,0.90215915367658,0.743350287803904,0.726589494486114,0.483758590331047,0.8223200796712,0.402145569014199,0.107450206040732,0.483431910335724,0.510445998577375,0.452584281556481,0.71250328553258,0.72626301862727,0.352933089795248,0.623174781196688,0.452111437132179,0.483462033281378,0.0593459551327657,0.0625638084831377,0.168645361895635,0.171808329226049,0.838232412527281,0.52160578772896,0.567001616006234,0.560503605923813,0.691972756572685,0.310018414772081,0.734098282078532,0.692190553683874
"2-Hydroxyphenylacetic acid",0.357019406698726,0.48165827570542,0.887642932571629,0.11768055674532,0.685686737842833,0.735894219721092,0.258824625033232,0.586797680766212,0.159179198572143,0.221920771502119,0.657921721093064,0.310217043941724,0.352610537077492,0.313706989725772,0.00745480185271452,0.528203797583405,0.973303124083702,0.470064630406518,0.121575887620566,0.00384395864935438,0.45754383860263,0.0267218612437388,0.471149646875847,0.0825602907575451,0.577891006922991,0.956307242151679,0.3496168710431,0.275165072219362,0.0111536638487695,0.0228396934358761
"2-Hydroxyquinoline",0.706756383829794,0.265682540975119,0.715262033060452,0.60940647920599,0.81034012965983,0.888109368109484,0.0389045562856039,0.780026321671495,0.0756623399034502,0.207478033209757,0.843036631570095,0.921830674151455,0.127020309420652,0.129596331629628,0.488122887005356,0.144540127326957,0.992371453541973,0.281272898367017,0.403252701289087,0.204011135987869,0.192044576695265,0.334178827992381,0.833406595891024,0.911373779655611,0.10748709031415,0.586918779451167,0.0912464765844656,0.31173384226239,0.633715807523071,0.616467635511603
"2-Ketogluconic acid",0.385767209375728,0.664352674309486,0.373304086546174,0.331432968633525,0.343706899726354,0.340096501959694,0.0471101966786023,0.842742650394592,0.169431489408442,0.552311617933265,0.647667444657059,0.141893792828567,0.146584279686463,0.0152135964999158,0.173033558356969,0.137138968692375,0.77045167590742,0.193911615211479,0.737293873775013,0.00790600898618621,0.0279898205019773,0.744804731898477,0.318511937622092,0.888131877410413,0.257889256815587,0.756941515810635,0.347719622959478,0.57674268139866,0.522027782615683,0.0209529572546057
"2-Methylglutaric acid",0.693066927702675,0.473611830954054,0.216033366432811,0.560367621855904,0.227631215171641,0.898753758904773,0.85918265907826,0.153389263838679,0.612405283391644,0.705072631313068,0.667820259738073,0.663743154778732,0.617176862494496,0.715262033060452,0.0445596190446684,0.412588254315666,0.87965389362669,0.989266038496362,0.193819242107423,0.000141282051076885,0.626918386546355,0.451365137269224,0.422951937034658,0.51882562912408,0.592290368541822,0.596056427876234,0.48108426237605,0.445706996338423,0.140634525307414,0.175106854500905
"2-Propanamidoacetic acid",0.89080639148761,0.368958978427398,0.377296522538487,0.793896545184832,0.771323489363157,0.671711597230029,0.468455425828271,0.446358864838377,0.000765468462012864,0.618279760188583,0.270620282656407,0.0810829364220136,0.182821565817269,0.158071586350779,0.941983515968629,0.321681354142083,0.203906634962824,0.775535910114413,0.91863220486416,0.0732576485460705,0.0342257310065288,0.913651054100655,0.233930596026279,0.374281467837394,0.392585882770422,0.389809016223883,0.902623975137265,0.966816707724772,0.90748988913649,0.547619093399314
