"","Acidaminococcaceae","Akkermansiaceae","Bacteroidaceae","Barnesiellaceae","Bifidobacteriaceae","Clostridiaceae","Clostridiales unclassified","Coriobacteriaceae","Desulfovibrionaceae","Eggerthellaceae","Enterobacteriaceae","Erysipelotrichaceae","Eubacteriaceae","Firmicutes unclassified","Lachnospiraceae","Lactobacillaceae","Methanobacteriaceae","Odoribacteraceae","Oscillospiraceae","Pasteurellaceae","Porphyromonadaceae","Prevotellaceae","Proteobacteria unclassified","Rikenellaceae","Ruminococcaceae","Streptococcaceae","Sutterellaceae","Synergistaceae","Tannerellaceae","Veillonellaceae"
"(15:3)-Anacardic acid",0.0247003673974921,0.0158797833971861,0.00587044534412955,0.209311740890688,-0.213123146602761,0.10771411437628,0.0475804828541837,-0.276393252296739,0.223594311739361,-0.025012661434086,-0.0164333460742551,0.0625256280785065,-0.0530364372469636,0.258097165991903,-0.155263157894737,0.0973523625071883,-0.0804432985509615,0.168421052631579,0.195788625191471,-0.157518925241887,0.139413631895768,-0.184606650273094,-0.00245665520099454,0.311133603238866,-0.339068825910931,-0.0892244746897677,0.250050622659221,-0.0604359441528035,0.347165991902834,-0.126915008838212
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.00696321316667631,-0.176551627625324,0.0411964168754731,-0.158105167468032,0.0195985225752567,0.134851937773626,-0.149936726608664,0.250367409161742,0.0129061645915579,-0.0544837769877912,-0.104729605011528,-0.205857778140122,0.282909054464244,-0.0337061592617507,0.37269092613143,0.158522278266359,-0.0166169977123305,-0.0796599019189123,0.116628702939352,0.144204257275619,-0.0625384978094967,0.018874149048392,-0.162249815129827,-0.083202591330808,0.0525330229935394,-0.15343033722207,-0.11440141868183,-0.172327663286897,-0.104155068709734,0.0935652210561434
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.0126043027048931,-0.131834174914894,0.0222672064777328,0.162550607287449,-0.160658923732158,-0.263818592165963,-0.0953634358481725,-0.154204739734471,-0.00880611368099793,-0.0528607662696068,0.039195061444186,0.162404228775342,0.069838056680162,0.103441295546559,-0.0842105263157895,-0.0279872962845944,-0.219702517026068,0.0801619433198381,0.24316663790585,-0.283171707961903,0.233790349784055,-0.176149809310863,0.134501872254451,-0.0864372469635628,-0.129554655870445,-0.111297428358665,0.213201057214704,0.00879763743996507,-0.0082995951417004,-0.178729896744061
"1,3,7-Trimethyluric acid",-0.380009019331109,-0.0974410124425757,0.208213581911738,-0.0408507127674682,0.0764020571433509,-0.186575465640871,-0.143423374704938,0.131856231806975,-0.456050424626406,-0.237304364161085,-0.0566447163690043,0.0165122005176067,-0.0575244730807205,-0.0967078098168635,0.131514284470778,0.065829316558458,-0.175697194909935,0.0725308573626476,-0.138003305312018,0.00131677043841318,-0.209995065067406,0.111919416694063,0.10138613156271,-0.105461533981321,-0.0766992974409607,-0.0216594488997864,-0.0658746895447097,-0.157531980022728,-0.0760740314292137,0.114689232617421
"1,4-Butynediol",0.163762575350592,0.155288693902866,0.0630598715317438,0.081684295868567,-0.209561285661469,-0.242267783102318,-0.0364464696685476,-0.109630731166736,-0.014373924486284,0.0302800173222111,0.0747193673181661,-0.027610116200253,-0.229161395100912,-0.24130775879884,-0.37491775947605,-0.111411966498464,0.0445757557679976,0.0800647807088432,0.263730704129351,-0.384597976629026,-0.0334208027284696,-0.0163988508125373,-0.129697486289899,0.0437269093125414,-0.0144744167400311,-0.219756183775345,0.00101240193523743,-0.0643280104537472,0.303557872750722,-0.365607150214336
"1,5-Anhydrosorbitol",-0.0522013276652028,0.180930611169426,0.277558458755735,0.160340116217755,-0.130101986098835,-0.156322770873086,0.0012149438150758,-0.162427871776778,-0.00749101585208173,0.0826919249541942,-0.0422104129084883,0.233682737446544,0.026318453419581,-0.0113371799345887,-0.23889057719312,0.0682259405027659,-0.0379836315485469,-0.0790565850795874,-0.048597752603032,-0.242431030989607,0.207276842731221,-0.36450611422945,-0.0164817302490903,0.114282822733488,-0.100313797456941,-0.0781959128219694,0.0702642506385505,0.0578917641019891,0.146674765403742,-0.162173938886208
"1,7-Dimethyluric acid",0.04889249678269,-0.0740701306110359,0.0218623481781377,-0.0461538461538462,-0.0247010543476381,0.232638190635988,0.0376594460037369,-0.202431714841966,0.0479781366068163,0.193620277983694,-0.0303149303357376,0.0198945180249793,0.197773279352227,0.0105263157894737,0.287246963562753,-0.214730118045595,0.0195173904681021,-0.255668016194332,-0.344401707808368,-0.000532878637489467,-0.0834760635425278,-0.166661646280067,0.140848231523687,-0.154453441295547,-0.0587044534412955,-0.0283943159872199,-0.211176355816654,-0.076501195130131,-0.282186234817814,0.14432648938957
"10-Hydroxydecanoic acid",0.0277497954712565,0.0478525016465542,0.0775303643724696,-0.22004048582996,-0.0177602622168968,-0.0943510851491473,-0.140716747164501,-0.165957531987558,-0.109013614188905,-0.10511393752462,-0.308559038400454,0.0339018827568525,-0.186032388663968,-0.43663967611336,-0.180364372469636,0.0864952217071301,-0.143479194792535,-0.451619433198381,0.000202470139805037,0.109666423595332,-0.248993894003141,-0.00144385089599068,-0.0556841845558763,-0.130769230769231,-0.0265182186234818,-0.247673048209692,0.0178173723028433,-0.15937748985444,0.0382591093117409,0.10006356895178
"12-Ketodeoxycholic acid",0.193333739876666,0.207609517165896,-0.00789473684210526,-0.123886639676113,-0.0294983665556504,0.224134444764176,0.250050622659221,-0.0869301358030065,0.356495774534192,0.314329154216206,0.00275590275779433,-0.00649616915101366,0.126518218623482,0.0279352226720648,0.0103238866396761,-0.0533206248180635,0.25979229204163,-0.198987854251012,-0.181413245265313,-0.0276031134219544,0.143429662444206,-0.222971831223703,0.0212910117419527,0.132591093117409,0.12834008097166,-0.0232128714640046,0.101032599762714,0.201835653151662,-0.0850202429149798,-0.0657650500343463
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.126347969856307,-0.129702660364936,0.0902834008097166,-0.233198380566802,0.332953881330559,-0.133427822131519,0.0996153087840783,0.345086296672541,-0.0635659700191575,0.135392422418514,-0.167293504445367,-0.112667933712893,0.257287449392713,0.0157894736842105,0.225506072874494,0.0979555369960804,0.116049348729256,-0.262753036437247,0.05466693774736,0.145262716579629,-0.0995401857362788,0.000206264413712954,0.0221098968089509,0.0277327935222672,0.419635627530364,-0.0317104404820777,-0.178983603587653,-0.0304729760601689,-0.288461538461538,0.133208315061595
"1-Methylpseudouridine",0.0661826379349017,-0.183764455786475,0.0729867903337556,-0.0539555606766876,-0.167216823069807,-0.0866703792939732,0.0510302233226198,0.0952526066459256,0.108321523130489,0.00111409334998986,-0.0848334432057444,-0.096442153974443,-0.137166575453868,0.100015185644592,-0.115807057062159,-0.0641271848170326,-0.33870452612964,-0.0315837428351342,0.305067585061614,-0.0272342334416731,0.212595038767542,0.0802490414182646,-0.353914445606295,-0.0813888757674612,-0.219061600946251,0.00430125202794121,-0.141345618568209,-0.0675863175579298,0.114491067777361,-0.156255051729527
"1-Methylxanthine",-0.102257488073568,0.0781200082559559,0.159311740890688,-0.13582995951417,-0.354694891975381,-0.1929540432342,0.0668151461356623,0.0638298199952146,-0.438787388587655,0.0137721536641121,0.102989106763499,0.109013838565448,-0.397773279352227,-0.47834008097166,-0.225910931174089,-0.287955500997098,-0.142424200713178,-0.0769230769230769,-0.187284879319659,-0.196419065778618,-0.459548638471236,0.18295653496339,0.0863923745683081,-0.202834008097166,-0.00870445344129555,0.00528507341367962,-0.151042724294558,-0.201708151159779,0.0690283400809717,-0.188379632953247
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.086201529421044,-0.0248866918505965,0.180474720611716,-0.136849030996657,-0.135505409992986,-0.0226778033493185,-0.104581119910027,-0.0256345425001703,0.226237473428485,-0.0235454984194451,-0.004236138994131,-0.193067797841475,0.200516220713298,-0.119034364239696,0.234222379975048,-0.232294251751806,0.0213647113444249,-0.156384432610825,-0.259478616001354,0.333705491152966,0.0915127559689424,0.0540440114828275,-0.172076933270182,-0.184422288813543,-0.142719773450656,-0.280744872363787,-0.258061253292022,-0.0448829726059842,-0.230882129958118,0.07998148100371
"2,3-Dihydroxybenzoic acid A",0.131125407171871,0.0512629249264867,0.040080971659919,-0.0856275303643725,0.0811460256461663,-0.0263211181746548,-0.166632925059546,0.0666667008838908,-0.272280986228557,0.0110379760984428,0.194750461550799,0.170321434928139,-0.0384615384615385,-0.354251012145749,0.0526315789473684,-0.0921650619027161,0.106554402015044,-0.130364372469636,-0.0261186480348498,0.190131097856242,-0.301202291132832,0.0998319762370697,0.168485602534876,-0.110931174089069,0.166599190283401,0.00984474459410909,-0.059728691242486,0.151599868349543,-0.21336032388664,0.0324105270504194
