"","Firmicutes unclassified","Prevotellaceae"
"Naringin",0.645084200902768,0.209297707572146
"Aconitic acid",0.045759954727957,0.716143091189328
"Halometasone",0.686608589744517,0.440429512380798
"Pyroglutamic acid",0.0480499909970742,0.437096004299823
"Mannitol",0.317344262060629,0.519819419439604
"N-Methylalanine",0.0511239604899774,0.504444925385077
"Glutamic acid",0.0427563977529406,0.463574518568137
"1,5-Pentanediamine",0.432531095051848,0.119882248636294
"N-Methylglutamic acid",0.280155658543665,0.708238906257779
"3-O-Methyluridine",0.0273603303408474,0.00154450679140528
"2-Hydroxycinnamic acid",0.0394549663746822,0.426743358391227
"2-Hydroxyisobutyric acid",0.13419763818109,0.336089759212264
"Indolelactic acid",0.0718734132722618,0.285707907681126
"N-Acetylserine",0.0334084489868229,0.711016082329675
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.19347742347066,0.0186644279413049
"Glyceric acid",0.0813181349456036,0.320990983272309
"trans-Zeatin",0.791546578933605,0.410036699482182
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.166552036144172,0.279818638282162
"gamma-Aminobutyric acid",0.233851268956126,0.523085414966906
"2,6-Diaminopimelic acid",0.248680924830505,0.769463717757892
"N-Acetylserotonin",0.881363495329032,0.464705352261312
"4,6-Dihydroxypyrimidine",0.138577713952575,0.930481355930427
"Methyl-4-hydroxy-3-methoxybenzoate",0.358443833795674,0.961233747620666
"Desloratadine",0.346491346547476,0.773772875676646
"2-Hydroxyquinoline",0.129596331629628,0.334178827992381
"Glucuronic acid A",0.00279148954055808,0.336089759212264
"Epicatechin",0.770846938772531,0.28568712052788
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.923994811491565,0.999005668822173
"4-Acetylbutyric acid",0.755908832947145,0.44232384949317
"Indoxyl sulfate",0.610231511376949,0.57920824494473
"2-Deoxyribose",0.00481167348747835,0.816630792908817
"N-Acetyldihydrosphingosine",0.424605935452993,0.1206832626732
"Galactonic acid",0.0410127764770327,0.381198728239106
"Orotic acid",0.119216366502766,0.994034064754835
"1-Methylxanthine",0.00206920440559299,0.264922687384426
"2-Propanamidoacetic acid",0.158071586350779,0.913651054100655
