"","Firmicutes unclassified","Prevotellaceae"
"Naringin",0.0761249186282721,-0.205573701216711
"Aconitic acid",-0.321777418297614,0.0601291196459703
"Halometasone",0.0667037806411222,-0.127168446867035
"Pyroglutamic acid",-0.318623481781377,0.128090200915744
"Mannitol",-0.164372469635628,0.106226173062171
"N-Methylalanine",-0.314574898785425,0.110145196922717
"Glutamic acid",-0.326113360323887,0.120870946435791
"1,5-Pentanediamine",-0.129358773382935,0.253202382042636
"N-Methylglutamic acid",-0.177327935222672,0.0618793241138862
"3-O-Methyluridine",-0.35331039395979,0.489977178272951
"2-Hydroxycinnamic acid",-0.331174089068826,0.130977902707726
"2-Hydroxyisobutyric acid",-0.24412955465587,0.158204805317836
"Indolelactic acid",-0.291407302853047,0.175326177932921
"N-Acetylserine",-0.341414039609264,0.0612636313374037
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.212753036437247,-0.37498870413015
"Glyceric acid",-0.282591093117409,0.163155151246947
"trans-Zeatin",-0.0437246963562753,-0.135721984223124
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",-0.225991002900861,-0.177450268868891
"gamma-Aminobutyric acid",-0.195141700404858,0.105401115407319
"2,6-Diaminopimelic acid",-0.189198767175852,-0.0484794980290288
"N-Acetylserotonin",-0.0246976061857873,0.120567651571422
"4,6-Dihydroxypyrimidine",-0.241497975708502,0.0144385089599068
"Methyl-4-hydroxy-3-methoxybenzoate",-0.151121008341723,0.00804471926652775
"Desloratadine",-0.15487397589215,-0.0475487602319684
"2-Hydroxyquinoline",-0.246963562753036,0.158823598558975
"Glucuronic acid A",-0.465991902834008,0.158204805317836
"Epicatechin",0.0481805760017818,-0.175333625039707
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.0157894736842105,0.000206264413712954
"4-Acetylbutyric acid",0.051417004048583,-0.126646350019754
"Indoxyl sulfate",-0.0842190509426591,0.0915906704685205
"2-Deoxyribose",-0.442307692307692,0.0383651809506094
"N-Acetyldihydrosphingosine",-0.131578947368421,0.252673906798369
"Galactonic acid",-0.328744939271255,0.144178825185355
"Orotic acid",-0.253643724696356,0.00123758648227772
"1-Methylxanthine",-0.47834008097166,0.18295653496339
"2-Propanamidoacetic acid",-0.230477251168187,-0.0179459122099465
