"","Adlercreutzia","Agathobaculum","Akkermansia","Alistipes","Anaeromassilibacillus","Anaerostipes","Anaerotruncus","Asaccharobacter","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Butyricimonas","Butyrivibrio","Clostridium","Collinsella","Coprobacter","Coprococcus","Desulfovibrio","Dialister","Dielma","Dorea","Eggerthella","Eisenbergiella","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Firmicutes unclassified","Flavonifractor","Fusicatenibacter","Gemmiger","Gordonibacter","Haemophilus","Harryflintia","Hungatella","Intestinimonas","Lachnoclostridium","Lachnospira","Lachnospiraceae unclassified","Lactobacillus","Lawsonibacter","Methanobrevibacter","Odoribacter","Oscillibacter","Parabacteroides","Paraprevotella","Parasutterella","Phascolarctobacterium","Prevotella","Proteobacteria unclassified","Roseburia","Ruminococcaceae unclassified","Ruminococcus","Ruthenibacterium","Slackia","Streptococcus","Turicimonas","Veillonella"
"(15:3)-Anacardic acid",0.507876802744978,0.266335741695055,0.923561365043688,0.0538591940314925,0.570722374524234,0.355051377062274,0.532102442636604,0.713783994307976,0.97170624376464,0.149362393049402,0.192685342305451,0.833251647700275,0.623249091806987,0.387477490145943,0.433507918602722,0.614510193804034,0.189164562155167,0.766501819528097,0.933195923815822,0.283319877799913,0.781025738920077,0.753692621540516,0.252121486224015,0.801483734200188,0.235513364016796,0.106148853181803,0.755222705132835,0.748466490525353,0.0174236893458937,0.112651821691641,0.881345605717,0.84577382388773,0.0122728521625159,0.227810389950884,0.338215726006138,0.454388521154818,0.133007373151391,0.200691960384344,0.622943417576316,0.162578302350637,0.00894190605046852,0.555466801142509,0.340331430237549,0.626390377249013,0.100882944317886,0.232274050433756,0.0303599411658153,0.506285818247498,0.141810293885863,0.776095380313484,0.721814122764391,0.988157707731094,0.0272991963353904,0.995589941129321,0.601921761242,0.356492970199045,0.75827345783514,0.589088760192451,0.250366715729044,0.0106364780105395
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.785028380896788,0.158925541946542,0.282300489957683,0.614564134499807,0.909966631192369,0.174171761361999,0.977587602203252,0.829447323137601,0.803355587819968,0.0643902896232529,0.905733393457651,0.295065414160128,0.570760335328244,0.637121933489857,0.831128378334106,0.524732141476928,0.162316559191281,0.224235913733932,0.751353216019413,0.677099551076469,0.523485503835291,0.423747639959371,0.645558584895907,0.339875202328358,0.832807257009203,0.212079425769907,0.383934092899753,0.0809615186981567,0.443870590977519,0.838584743099063,0.440468521860958,0.0108891651336429,0.404756308211308,0.781849007566168,0.381113847960605,0.185974334567787,0.294902986160286,0.303658418345438,0.87130168939188,0.0881674118580293,0.0481741347038454,0.33510851201849,0.871587943796376,0.920023889111302,0.574949983247216,0.479524485546192,0.528036966049261,0.144060066250719,0.518191712147272,0.715418424450077,0.577475248742164,0.323720047180484,0.134343850902523,0.733002279887343,0.930273679264726,0.870746737024222,0.659633791267866,0.351059946070501,0.531822303918391,0.382860830044793
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.508702826426069,0.474186323391561,0.423700118247815,0.600822021784082,0.454753910962024,0.244929835802442,0.610673439466453,0.974885666505332,0.892966990590659,0.406752686109649,0.328550658752962,0.73075062681482,0.960006511976671,0.448138964483665,0.824377715749932,0.109971926788318,0.322247225176368,0.0207870517020268,0.652922643213202,0.255696289701544,0.973857567043354,0.167408114023903,0.146939925313505,0.718215823661252,0.368578419159311,0.698056812870026,0.833141980000701,0.672685606177464,0.325260503779065,0.530883641962951,0.669042723356133,0.128625805094698,0.713402575218254,0.773048098670501,0.0806678531496048,0.511134222641214,0.662042784920163,0.492665657920515,0.914990630230646,0.534118581584898,0.356349312276639,0.865696728523737,0.961917422629657,0.178984272929811,0.768984958851491,0.135788274945601,0.960006511976671,0.0470482604493898,0.252919056929482,0.82560723434271,0.661402975433678,0.414297405664418,0.119827096685998,0.615666544273478,0.720167418815719,0.0781666118279696,0.682974434600469,0.499968839737945,0.0517297078428003,0.353309529699943
"1,3,7-Trimethyluric acid",0.0155297787330233,0.954801089108703,0.555105103883505,0.522845905454333,0.756725408322683,0.79600134049881,0.0614649399318608,0.0415681813290045,0.203379354187183,0.310234454536044,0.643877856658365,0.36127199878116,0.878876993131893,0.794660287014866,0.0242381398991305,0.186236016196703,0.536912361260888,0.282508636155486,0.259624939093028,0.106677835378862,0.0964498030798655,0.332720322359008,0.196071502588543,0.914134799836362,0.434796138151627,0.674439031305659,0.721080690992451,0.727960035734327,0.62277471227113,0.558099928868699,0.83433907747356,0.962837791987146,0.52541699019129,0.702514284521794,0.993652356411395,0.131102181055252,0.909007598231736,0.79325339082299,0.56567933194752,0.156325673290681,0.0755070620000258,0.690511609153342,0.810645379823785,0.284673477666807,0.746044720285564,0.402137548019986,0.645305803062444,0.285421711693129,0.700493267723561,0.0183263313689355,0.790001474379295,0.53912152945402,0.184161472710184,0.25562285388026,0.698153616607874,0.622309761795767,0.904655531995202,0.895872149581362,0.580424304428869,0.796977190941496
"1,4-Butynediol",0.0790962049025143,0.961946336824666,0.34518565538517,0.791536262378584,0.271878973104937,0.748672412553565,0.324143798811982,0.173577668971156,0.702924285545035,0.825179530393282,0.200403412197248,0.573916183659425,0.71570605940371,0.627475761040227,0.0530644850196724,0.199724016082077,0.689190488423725,0.956556677662088,0.700050867952035,0.885309987008095,0.189527105831886,0.279925994319254,0.258128974542873,0.793955739893392,0.0575015807357824,0.401463471296959,0.533335483771719,0.160525786668497,0.441295932839227,0.138898359322404,0.258559862826884,0.842413241063835,0.374428217894049,0.298914849298418,0.0156288439335674,0.880805585762381,0.731435171372754,0.717019082374442,0.0436893940339753,0.506081263459697,0.315615244196465,0.499524999255152,0.0983798217612675,0.787581632649579,0.760092977620524,0.104743641789602,0.0602934940131146,0.825380419620574,0.978765996536259,0.499520943738547,0.790427686745848,0.43131674208862,0.0381835155431665,0.141548301089336,0.604905906560373,0.113786725136378,0.0234804202879397,0.178875451308324,0.872384301673902,0.0458810819817153
"1,5-Anhydrosorbitol",0.20791056889395,0.0922111867083055,0.270341203757088,0.488466165845117,0.776181690574145,0.2360502306517,0.56116111395802,0.283457571049222,0.0871268690526368,0.375497577280863,0.429869016449015,0.727497812357457,0.497424798882801,0.841482401831729,0.842638801403231,0.339731616419176,0.318686642497839,0.951815691189594,0.631758673337499,0.6326105183804,0.800238825667345,0.165896353237664,0.40539861481499,0.784717199270818,0.0452023638274626,0.282683709978527,0.81758180265421,0.873638457922348,0.0132863890038464,0.945388216136708,0.424464022459234,0.239287151440673,0.203445839738724,0.540423992903471,0.137012792441532,0.825035636150161,0.438684651639546,0.356515983888514,0.00637614720114854,0.975597304462088,0.00217905851089428,0.679833816641289,0.975092140038018,0.818423766438099,0.643779162337329,0.768916704661425,0.372921583459093,0.356629054486256,0.651118273337557,0.336526283987886,0.00474772533309453,0.920672849764563,0.0785928790526533,0.150784573050541,0.0277214472303324,0.00506410169680027,0.7024104897888,0.636091315703271,0.111589558429654,0.131721973507448
"1,7-Dimethyluric acid",0.624232864617993,0.0172053549721651,0.654056180170549,0.347818424994229,0.270978362877175,0.73801401172505,0.633341125335069,0.588298642221833,0.894902114298633,0.976578254064036,0.881347049470129,0.204304339217345,0.830469896615023,0.17744512726241,0.303836093987899,0.196877394840409,0.161954327554807,0.487993393964879,0.335548767152765,0.266803562931347,0.213995127385808,0.260767136679528,0.241857031789135,0.0510284705899937,0.891610823673542,0.931870225189337,0.375714507564823,0.2274806442707,0.547170133656623,0.949288949315455,0.818044208215344,0.401953790077348,0.504565455929579,0.309491403220799,0.997431175414393,0.279500265090681,0.370603918595151,0.671749421498853,0.0374424318147808,0.443611225621572,0.495465193765984,0.189272724504375,0.130170303687065,0.906121894234044,0.0732364749385881,0.0317950958134678,0.0817739796672918,0.808264916437091,0.264571894416253,0.654660466088885,0.146374089540451,0.392410577182946,0.497468607812846,0.110777367998321,0.684667928103187,0.481151321066998,0.237660470885629,0.863761733815671,0.664595074511075,0.623044493267083
"10-Hydroxydecanoic acid",0.920657667330484,0.969749696296587,0.772365862705966,0.427486837205886,0.505731838185093,0.809338847230624,0.81715593335117,0.910757990791368,0.638975804500754,0.352214161764093,0.914541031484033,0.196957873968904,0.831424648812421,0.0578674221344302,0.962676046481178,0.637152139692077,0.492095236232185,0.108610028277867,0.318911844154318,0.332699588008642,0.461424239787071,0.724846997489418,0.907494550770503,0.773818516578023,0.657356680703385,0.395832009713185,0.0788096676482837,0.256834100506171,0.380687725529571,0.00545097727758126,0.705158206675201,0.891999657100445,0.0659713082743352,0.216218530111099,0.506310760708935,0.219625515327622,0.164553683583823,0.356894764533437,0.679032847044607,0.387213120054213,0.460934295599214,0.600576940382193,0.716818954611245,0.383538124001759,0.00695275687144004,0.999023959728271,0.817129151872976,0.606557197660433,0.770745289584448,0.96368455689319,0.208300177749396,0.73634691683198,0.959031873630387,0.721459278971936,0.370395393198884,0.314007031546413,0.656177845890124,0.128463012755569,0.40973747638902,0.988151807212599
"12-Ketodeoxycholic acid",0.124765230681201,0.962923264347348,0.204723185399059,0.421020155542035,0.197872661990057,0.847538284900498,0.273248969385849,0.158002074265036,0.961955959225596,0.964873428606516,0.858516989684734,0.0137433349938045,0.781183840450733,0.813757591815975,0.223680157601432,0.12726066999959,0.337476603734836,0.931142872783786,0.364113859232257,0.849563490910999,0.55914847942124,0.921969185104259,0.204990071911322,0.159384660861095,0.193336859496079,0.229552327728257,0.660482661295668,0.442789433881868,0.689785332386547,0.865944345374813,0.303538754884295,0.918167253167136,0.474633255762483,0.535749868699802,0.867523864250218,0.0421492677224831,0.575262609523045,0.837692445819145,0.753826560016151,0.830667778791159,0.81980426991869,0.747162757871055,0.153021894766787,0.110226252535919,0.25841791429901,0.269043794246207,0.606825653049841,0.272670371371138,0.57225870468784,0.482338081745541,0.110123277839967,0.897633980827041,0.578751843439294,0.309541536809129,0.682413983954087,0.264793382655158,0.463850755112276,0.888449341608406,0.514351431807175,0.635567205597023
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.239229331864749,0.547909199140962,0.431298206712683,0.866907042156366,0.909642745964986,0.289818787164053,0.833079655590579,0.232977219848998,0.584657788535082,0.111413183624621,0.03834443144821,0.633543392583928,0.777424687998252,0.843418766881852,0.792115751659803,0.335697496579468,0.0708258230611412,0.232608135843636,0.510647743373981,0.234417543723105,0.580570237037737,0.096945591335819,0.593992430433672,0.410169061340732,0.111698933832862,0.0576660123776334,0.2493452259241,0.113824589132042,0.000854576472091306,0.923994811491565,0.845742970497241,0.404746655708216,0.00320581923450192,0.327538360687067,0.377591086133338,0.433507918602722,0.691838312048681,0.51141466858007,0.287421977311438,0.313638080011454,0.00139183255601738,0.553007993398263,0.096304757483699,0.481724786592601,0.0579187216606987,0.740995919996645,0.0749281490573606,0.901634204367442,0.382472789029638,0.33155408103958,0.372133373058926,0.893718820399313,0.0928168404833842,0.603989328233691,0.192380550417875,0.908459550013746,0.972033747117622,0.848026841450142,0.373979163212523,0.089450845781641
"1-Methylpseudouridine",0.439372631478966,0.646340240749443,0.262781985797449,0.622327081363382,0.0457324564973456,0.296647137539003,0.183695350395039,0.324255588019196,0.658805921152028,0.572317357816304,0.308925406161393,0.545674829966416,0.0641349277907239,0.63313401532971,0.0532695309074362,0.541707199869362,0.529460248736812,0.171993202323644,0.357497322616074,0.149780474219199,0.936959787139108,0.862692120133308,0.137835436730533,0.0888517118100132,0.7091205969655,0.462232713602055,0.767078859300566,0.405024535241185,0.259669078680509,0.544650734105587,0.722504337806487,0.278411053470327,0.339253518500084,0.275557167535752,0.869278859883714,0.547673943594741,0.681400562380585,0.585886197712129,0.812273007049821,0.160404827529329,0.0608950795510421,0.698131370100181,0.936073502326991,0.0349290734814751,0.923497446572678,0.0589647811373109,0.487668938906733,0.744665656253706,0.354900181039564,0.481496441103927,0.32814467216119,0.0270791659915917,0.814249173943189,0.489102386303445,0.943896492956452,0.944408888195495,0.258025694909014,0.97926734691144,0.272388889985563,0.0829034843420553
"1-Methylxanthine",0.510356896892993,0.91426724356461,0.636420020142119,0.215565191285957,0.723342824768957,0.962893214784477,0.172446879306716,0.753700278996183,0.332676116747435,0.589665677936714,0.0267194398881354,0.0266550580477249,0.904586511866081,0.541923238359877,0.129101549276753,0.310641999705894,0.807299581217647,0.00723284807837699,0.822275797699342,0.360121260952774,0.546665714175245,0.0457946506206692,0.620643668919745,0.235147085595298,0.283240588008333,0.590427624603367,0.730670565168443,0.0121515955082938,0.328955324720267,0.00206920440559299,0.170949176530054,0.104696579631256,0.288021116460549,0.259793763395616,0.23074399992007,0.749633795137093,0.17802146529341,0.352298134894641,0.452846929410947,0.0247365272149866,0.537769272020573,0.0754629861884548,0.40496618030098,0.387081663164037,0.65131668765722,0.253588028315562,0.676272436565136,0.29318632473115,0.385187734062643,0.170745949863602,0.930071546966942,0.601011744288054,0.475040222548802,0.841274765838876,0.45516391814661,0.452387817878646,0.694748103146226,0.97452658774507,0.835136064726912,0.663860991564017
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.378497316743831,0.979992167905888,0.880461732010327,0.261047443985506,0.243122786186813,0.684501181734045,0.206271316079472,0.353791537170705,0.271570492679931,0.273115058690362,0.41079116144622,0.213671525651598,0.389499558078394,0.499749462051671,0.0249817206898086,0.933212801809934,0.784511743165847,0.541545888108951,0.216592968907728,0.674760893742918,0.794190718059113,0.359277271987751,0.987313912705751,0.967779863828693,0.0975324675537923,0.0235375864499892,0.506835457157285,0.220967752895697,0.60466019814892,0.470444662988126,0.287345576218936,0.300976433011468,0.923369716132693,0.122393459554034,0.0378831646355655,0.332091992358649,0.176342618465204,0.133222601038529,0.25419925020315,0.569426168135176,0.328433999327556,0.154727645746274,0.413753111773516,0.897281517388687,0.301853746325819,0.110672085176088,0.157321957961142,0.47782437594888,0.16049805027104,0.277146144850931,0.364799494854529,0.29487106672554,0.186177835873253,0.945646627234494,0.360481965768491,0.058416061520743,0.562041714895362,0.0834130098817012,0.0682979202063134,0.143822692190979
"2,3-Dihydroxybenzoic acid A",0.812194258132325,0.276169277452806,0.756618070576355,0.501389437056567,0.942549411876766,0.424851911539073,0.48825662987825,0.941775157507945,0.8085794571059,0.546268562183278,0.623369600956602,0.628735366921564,0.768048809840893,0.0616244716790693,0.173170651492862,0.923007731321107,0.529117764680122,0.332781066476937,0.371393077810642,0.780233628284861,0.256751295721222,0.335435896184109,0.472750835783007,0.732841892005747,0.308689998002875,0.831825957557942,0.191038295648469,0.81617813567847,0.464406475879418,0.0269235462169486,0.579516809303694,0.480404734337565,0.568837349499691,0.265400362780561,0.246313699462839,0.0664400175040747,0.465950063362024,0.952987756931268,0.27104183743768,0.790189901812997,0.871594388459183,0.576821064110183,0.533705362243364,0.518522933485815,0.795323723432651,0.874590131004475,0.192178956598357,0.5469567028086,0.666713290680086,0.766666682147428,0.808975860756603,0.305216108247818,0.142365654545022,0.600547825115012,0.702795056576484,0.840498539908954,0.495871125193515,0.952568612720708,0.723337830199211,0.567094581543589
"2,6-Diaminopimelic acid",0.935362901632333,0.577774999656217,0.449965202862398,0.828535467118475,0.827467331179648,0.0954765408549996,0.116521561350391,0.974379654977616,0.947820191395026,0.723883150406519,0.427112691190146,0.00997574637941945,0.811873742399001,0.518366791284233,0.0164018618942814,0.630534140938711,0.704654212328233,0.0181774390241043,0.552457078899761,0.535779408894696,0.677494655350716,0.215429168522478,0.640682168470164,0.560658753717968,0.0460099698232188,0.0301113830168114,0.550348505164002,0.00297339328608315,0.622327081363382,0.248680924830505,0.0286862875390081,0.720721542414745,0.101683326762661,0.0261017483081236,5.50181309226794e-05,0.800792472727526,0.285192022690352,0.0933022466790261,0.0124614804710377,0.488732725607295,0.0440871324426904,0.448338469301611,0.14556863418331,0.941554946434886,0.862555747460314,0.975111058955587,0.569466908938753,0.921435216816685,0.827256675699576,0.598528423423158,0.885644545552918,0.975327713711482,0.215494015148695,0.434695987399966,0.518748778144297,0.285530473630951,0.497333581105223,0.736706911220465,0.790669413563368,0.0630379496046369
"2,8-Quinolinediol",0.0586812460865407,0.249430878990958,0.906699465256938,0.706126558664624,0.423510883126481,0.468494404020281,0.288414625969173,0.0846143397808909,0.229916697419394,0.193385108211726,0.640117167651705,0.213462663068142,0.705215215589248,0.520034484754324,0.104889777003699,0.327005418898842,0.704925748302328,0.570544249665026,0.857217283148979,0.235063712391449,0.866458555935199,0.184399482148057,0.504537358724597,0.55666612619068,0.365497566413205,0.885559820891065,0.531294340905635,0.534121972544288,0.687978012070709,0.180768479651122,0.730829379185044,0.951236997585908,0.77939216539652,0.430875403923505,0.0552013665317308,0.583137498045462,0.196384088224249,0.391466749587887,0.553715155276797,0.61396820790328,0.371480909989709,0.151361673704923,0.146518555293949,0.0308027580280097,0.0707552917461813,0.564442731188209,0.367326644639205,0.457483271828721,0.940983298388329,0.403248967596013,0.801129813394673,0.65657638136197,0.0695397354156537,0.0147187404522313,0.507083620838374,0.70201432668571,0.516442711884643,0.469534503455432,0.950229319245539,0.00146555247492874
