"","Adlercreutzia","Agathobaculum","Akkermansia","Alistipes","Anaeromassilibacillus","Anaerostipes","Anaerotruncus","Asaccharobacter","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Butyricimonas","Butyrivibrio","Clostridium","Collinsella","Coprobacter","Coprococcus","Desulfovibrio","Dialister","Dielma","Dorea","Eggerthella","Eisenbergiella","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Firmicutes unclassified","Flavonifractor","Fusicatenibacter","Gemmiger","Gordonibacter","Haemophilus","Harryflintia","Hungatella","Intestinimonas","Lachnoclostridium","Lachnospira","Lachnospiraceae unclassified","Lactobacillus","Lawsonibacter","Methanobrevibacter","Odoribacter","Oscillibacter","Parabacteroides","Paraprevotella","Parasutterella","Phascolarctobacterium","Prevotella","Proteobacteria unclassified","Roseburia","Ruminococcaceae unclassified","Ruminococcus","Ruthenibacterium","Slackia","Streptococcus","Turicimonas","Veillonella"
"(15:3)-Anacardic acid",0.109265263657147,-0.182425595964338,0.0158797833971861,0.311133603238866,-0.0936374067476517,-0.152178396242559,0.103136264341756,0.0606508031394553,0.00587044534412955,0.235270302453453,-0.213123146602761,0.0348354475033424,-0.0811740890688259,-0.142306705464393,0.129086696199785,0.0832152274598703,-0.214781383995476,0.0491200940800811,0.0138734194998776,0.176184011252598,0.0459854504613724,-0.0518987442096951,-0.187854251012146,-0.0415965462529235,0.194463162302517,0.26270662468702,0.0515661034282385,-0.0530364372469636,-0.378744939271255,0.258097165991903,0.0247013570562145,0.0321862348178138,-0.39726298280384,-0.197635842947429,-0.157518925241887,-0.123349509702017,0.244855649269848,0.209430001781037,0.0812452826919079,0.228072056845492,-0.41317143800077,0.0973523625071883,-0.156838986273956,-0.0804432985509615,0.266599190283401,0.195788625191471,0.347165991902834,-0.109672817952563,0.239594967421244,0.0470477213746506,-0.05887738226868,-0.00245665520099454,-0.353441295546559,0.000914828422129335,0.0861772262364662,0.151728326526619,-0.050903464328969,-0.0892244746897677,0.188538441688408,-0.404544594297705
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.0451243993307532,0.230017719685945,-0.176551627625324,-0.083202591330808,0.0187147187518446,-0.222098486799894,0.00464982100832117,0.0356419664584623,0.0411964168754731,-0.299063531669138,0.0195985225752567,0.172008727163129,0.0936282201715297,-0.0779579751536555,-0.0352854827090279,0.104986080684122,0.228210416922457,0.199132990862686,0.0524077222884423,-0.068841847665369,0.105300219508725,-0.131820777361508,-0.0760159928095338,0.15698538721252,-0.0349296172776858,-0.204350817926787,-0.143361022826584,0.282909054464244,0.12622096276097,-0.0337061592617507,-0.127157683065822,0.403360494468698,0.137244170648001,-0.0458082513643122,0.144204257275619,0.216302877744773,0.172065729183626,-0.169021338592311,0.0268092187010593,0.276684591195497,0.31845599635587,0.158522278266359,0.0267490878262647,-0.0166169977123305,-0.0926160231967023,0.116628702939352,-0.104155068709734,0.238289312770699,-0.106638321873874,0.0602893088477833,-0.0920075487768563,-0.162249815129827,0.244040690630874,0.0564172745621219,-0.0144817474149705,-0.0269258022067011,-0.0727982756921144,-0.15343033722207,-0.103206345031263,-0.143681490864647
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.109053918853168,-0.118040091506337,-0.131834174914894,-0.0864372469635628,0.123250408003132,0.190678922588879,-0.0841152319836455,0.00521055009789135,0.0222672064777328,0.1366673443684,-0.160658923732158,0.056911399700228,-0.0082995951417004,0.125051256157013,0.0367179935857167,-0.259971659509668,-0.162737811536563,0.369022478943394,-0.0743291234518992,-0.186470203526327,-0.00542392492621316,0.225547372634587,-0.23663967611336,0.0596712359937772,0.147997584686543,0.0641438078230426,-0.0348586859174892,0.069838056680162,-0.161740890688259,0.103441295546559,-0.070662078791958,-0.247570850202429,0.0607352033434151,-0.047705203470069,-0.283171707961903,0.10843282480782,-0.0722502391742495,0.113188750349535,-0.0176664837206171,-0.102632425580471,-0.151773127544177,-0.0279872962845944,-0.00790273961845514,-0.219702517026068,0.048582995951417,0.24316663790585,-0.0082995951417004,-0.319987854760405,0.187544327837762,-0.0364568923206167,-0.0723957186149994,0.134501872254451,-0.253238866396761,-0.0829444436063931,0.0592405139228352,0.285439546901312,-0.0675196210788398,-0.111297428358665,0.31380028308413,-0.152723684177013
"1,3,7-Trimethyluric acid",-0.384937236341332,-0.00938088933389854,-0.0974410124425757,-0.105461533981321,-0.0512396099412576,-0.0427698220259966,-0.302248627065071,-0.327896995708155,0.208213581911738,-0.166771365935974,0.0764020571433509,-0.15024410753784,-0.0252190624737941,-0.0430571304636327,-0.360329084925788,-0.216177383094506,0.101935771090196,0.176476494976584,-0.184963946406751,-0.262323787145282,0.269998366753084,0.159297361635368,-0.211548333974389,0.0178449997910259,-0.128728404218423,-0.0694420259814585,-0.0590390850871909,-0.0575244730807205,0.0812845815271051,-0.0967078098168635,-0.0346050584317146,-0.0077116141448792,-0.104813662405784,0.0631510735833165,0.00131677043841318,-0.246027973559985,0.0189148973336874,0.0433586791304892,0.0948603297074362,0.231422404551117,0.287913923882319,0.065829316558458,-0.0396403228533627,-0.175697194909935,0.0535644550063231,-0.138003305312018,-0.0760740314292137,0.175428740028823,-0.0636009060361431,-0.37599097468476,-0.0440562134470132,0.10138613156271,0.217175728080112,-0.186498505218407,-0.0641222249380787,-0.0813929117077749,0.0198236402294054,-0.0216594488997864,-0.0912984783270916,-0.0425608328339292
"1,4-Butynediol",0.284590181259294,-0.00789673509485197,0.155288693902866,0.0437269093125414,0.180360531267777,-0.0529915641406682,0.162109668790106,0.222397533398709,0.0630598715317438,-0.0365477098620713,-0.209561285661469,-0.0928654711855104,-0.0602257200022272,0.0801911463169113,-0.312118741361158,-0.20987092117472,-0.0661251118966853,0.0090161697658359,-0.0636994344336816,-0.0238704490946969,-0.2146096299058,0.177411289713527,-0.185535705485853,-0.0432081231365689,0.306761758944721,0.13819916826901,0.102828014214464,-0.229161395100912,-0.126929500643349,-0.24130775879884,0.185370794341974,-0.0328964016818888,-0.146218022958564,0.170663668192651,-0.384597976629026,0.0248145874335847,0.0567611250055946,0.0599355521535177,0.324740785147123,-0.109725264497598,-0.164952708261965,-0.111411966498464,0.268504101286369,0.0445757557679976,0.0505086290438847,0.263730704129351,0.303557872750722,0.0365050522532281,-0.00440528680105747,0.111413013309924,-0.0439647485655045,-0.129697486289899,-0.333215244113163,0.239748003702279,-0.0854726910366093,0.257313493268549,-0.362145045381424,-0.219756183775345,0.0265818219215037,-0.321607442810177
"1,5-Anhydrosorbitol",0.206187726540855,-0.273362358392055,0.180930611169426,0.114282822733488,-0.0470291094881191,-0.194244685088012,0.0959602540743702,0.176134421581619,0.277558458755735,0.145894503127019,-0.130101986098835,0.0576260934463399,-0.111954651854064,0.0330932112978164,-0.0328487176369893,-0.157031488098547,-0.163923351236883,0.0100012002482704,0.0791978999561297,-0.0790006781165959,-0.0418627883997759,0.226331898672268,-0.13705840742351,0.0451912986017134,0.322564593838998,0.176413328017084,-0.0381627793618836,0.026318453419581,-0.393157204160202,-0.0113371799345887,0.131618913299878,-0.192934508529697,-0.208183630654813,0.101062586757908,-0.242431030989607,-0.0365782663643331,0.127650440039181,0.151721150514043,0.429380100980841,0.00506285951725933,-0.476238925359236,0.0682259405027659,0.00516769897730235,-0.0379836315485469,-0.0764247397376294,-0.048597752603032,0.146674765403742,-0.151685897475549,0.0747417521325111,-0.158063755818073,-0.442909998793088,-0.0164817302490903,-0.285049095498231,0.234473928451393,0.352542058500368,0.439995951365855,-0.063174164971368,-0.0781959128219694,0.258836103570479,-0.245645215021848
"1,7-Dimethyluric acid",0.0809450599239603,0.37942904199464,-0.0740701306110359,-0.154453441295547,-0.180694146549641,0.055319177329186,0.0788316118841702,0.0894130396798156,0.0218623481781377,-0.00485928335532089,-0.0247010543476381,0.207797494990868,0.0354251012145749,-0.220463740562526,0.168960142359274,0.211176355816654,-0.228402162724957,-0.114406295072594,-0.158379767137289,-0.1822502272089,0.203515096144433,0.184528868301138,0.191902834008097,0.314697680282534,0.0225510139671203,0.01414936937273,-0.145828940495058,0.197773279352227,-0.0993927125506073,0.0105263157894737,0.038064386283347,0.138056680161943,-0.110114241787895,0.167024073039235,-0.000532878637489467,0.177565922105927,0.147379520137226,0.0700496621945401,0.334430645315869,-0.126292237085004,0.112462063801092,-0.214730118045595,0.246606002965639,0.0195173904681021,-0.290080971659919,-0.344401707808368,-0.282186234817814,-0.0401480851433491,-0.183088631064079,0.0739321335887367,-0.23696191231854,0.140848231523687,0.111943319838057,-0.259404681474896,0.0671392491125465,0.11620021271018,-0.193591413561986,-0.0283943159872199,-0.0716704350253878,0.0812217398659021
"10-Hydroxydecanoic acid",0.0164848947103627,-0.00627657433395615,0.0478525016465542,-0.130769230769231,-0.109814879655738,-0.039918966790658,-0.0382534095202006,-0.0185495583484932,0.0775303643724696,-0.153067425692608,-0.0177602622168968,-0.21113926757113,-0.0352226720647773,-0.306334976527488,-0.00774520177198712,-0.0779510038249393,-0.113337076741579,-0.260937546189123,-0.163848122268628,0.159304105982888,0.121448753782599,-0.058209283337918,0.0192307692307692,-0.0475389100033412,-0.0733170175024052,-0.139842933967148,-0.284851155337589,-0.186032388663968,-0.144331983805668,-0.43663967611336,-0.0625632731997565,0.0224696356275304,-0.297389568290879,0.202551601618818,0.109666423595332,-0.201088386746777,-0.227033009625346,-0.151603081230412,-0.0684062683600641,-0.142385171937186,0.121580609514694,0.0864952217071301,0.0599797673605826,-0.143479194792535,-0.425303643724696,0.000202470139805037,0.0382591093117409,0.0850834758322465,0.0482025378243924,0.00753578221152413,-0.206014977046387,-0.0556841845558763,0.00850202429149798,0.0589556094261127,-0.147443056874612,-0.165494205384271,-0.0735858370351418,-0.247673048209692,-0.135807941444504,0.00245787933569442
"12-Ketodeoxycholic acid",0.250020903107167,-0.00769386531259141,0.207609517165896,0.132591093117409,0.210718439489225,-0.0318135928230117,0.179854428186136,0.230514736330713,-0.00789473684210526,-0.00728892503298134,-0.0294983665556504,0.391392455233774,0.0459514170040486,0.038977014906082,0.199367230797446,0.248430861540781,-0.157757079016081,-0.0143007868840743,-0.149367107754157,0.0313860738608669,-0.0964515345574427,-0.0162115574156071,0.20748987854251,0.229771398349482,0.212818638787382,-0.196912057103826,-0.0726050736269598,0.126518218623482,0.0659919028340081,0.0279352226720648,0.169062566737206,-0.017004048582996,0.117921605155913,0.102225436007291,-0.0276031134219544,0.327019630372789,-0.0925406289233746,0.0338949978360678,0.0518696179006492,-0.0353831415293006,0.0376899889495553,-0.0533206248180635,0.233232135919022,0.25979229204163,-0.185425101214575,-0.181413245265313,-0.0850202429149798,-0.180067969951877,0.0932658347400533,0.115888110225871,-0.259864878855692,0.0212910117419527,-0.0917004048582996,0.167007010839833,-0.0676455782913742,0.183005213048785,0.120796822086362,-0.0232128714640046,0.107613265803886,0.0783169733782632
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.192957806032835,0.0992103685044682,-0.129702660364936,0.0277327935222672,0.0187823202407442,-0.173860271606013,0.0348718926565364,0.195499839672884,0.0902834008097166,-0.258959308810642,0.332953881330559,0.0787848202255825,-0.0467611336032389,0.0326838510410375,-0.0436026173830386,-0.158331649327539,0.292440152274011,0.19565134519661,-0.108556975940648,-0.194910156161182,-0.0912634324541084,-0.269612344133385,0.0880566801619433,0.135683972301203,-0.258759774218074,-0.306569669742483,-0.188938202961066,0.257287449392713,0.512348178137652,0.0157894736842105,-0.0321927522290009,0.137246963562753,0.460127467065806,0.160991096487985,0.145262716579629,0.129086696199785,-0.0655324750005527,-0.108361280960762,-0.174713307027731,0.165618680531726,0.494022543328042,0.0979555369960804,0.270111587471813,0.116049348729256,-0.306275303643725,0.05466693774736,-0.288461538461538,0.0204548509673432,-0.143797486787053,0.159677114968511,-0.146914151201735,0.0221098968089509,0.272874493927125,0.0856889288727811,0.213265850122207,0.0190293031267541,0.00580246743646279,-0.0317104404820777,-0.146354041493284,0.275617650961734
