"","Firmicutes unclassified","Paraprevotella","Lawsonibacter","Anaerostipes"
"Naringin",0.645084200902768,0.152786474292937,0.212226570330706,0.170328264726088
"Aconitic acid",0.045759954727957,0.319188059562936,0.54387244080805,0.123284990693197
"Halometasone",0.686608589744517,0.142370243803159,0.0740744354711134,0.881244090265396
"Pyroglutamic acid",0.0480499909970742,0.430555577443743,0.863882973126897,0.0300785550038394
"Mannitol",0.317344262060629,0.176411348969474,0.599595439948504,0.226031183530338
"N-Methylalanine",0.0511239604899774,0.495732153998688,0.804592507840637,0.0253931794611857
"Glutamic acid",0.0427563977529406,0.498254719568832,0.936570112543857,0.0218748057032525
"1,5-Pentanediamine",0.432531095051848,0.110168099128968,0.20292161467486,0.0350359128629805
"N-Methylglutamic acid",0.280155658543665,0.811836117873336,0.483038057728286,0.0119615667761761
"3-O-Methyluridine",0.0273603303408474,0.0462148834408227,0.10398396452183,0.0762766411594702
"2-Hydroxycinnamic acid",0.0394549663746822,0.351812047411553,0.125668116550132,0.172187021353476
"2-Hydroxyisobutyric acid",0.13419763818109,0.405662213868886,0.719572086232748,0.402867714823302
"Indolelactic acid",0.0718734132722618,0.233415437170357,0.45975597897009,0.18791138789011
"N-Acetylserine",0.0334084489868229,0.430337372185215,0.654515295665703,0.0249872165024532
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.19347742347066,0.109110211057903,0.351819076648833,0.0828283495761801
"Glyceric acid",0.0813181349456036,0.160365938644584,0.11913436133572,0.136470917112302
"trans-Zeatin",0.791546578933605,0.0720196955641192,0.0791969202198417,0.614222128302493
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.166552036144172,0.701885314480104,0.448813360463791,0.0993324033755796
"gamma-Aminobutyric acid",0.233851268956126,0.606095396199526,0.924890615117041,0.204972898760213
"2,6-Diaminopimelic acid",0.248680924830505,0.921435216816685,0.14556863418331,0.0954765408549996
"N-Acetylserotonin",0.881363495329032,0.345247965581755,0.418377443544606,0.262959396595438
"4,6-Dihydroxypyrimidine",0.138577713952575,0.695883551116736,0.922945474686168,0.0518258784327377
"Methyl-4-hydroxy-3-methoxybenzoate",0.358443833795674,0.780333194580512,0.461287892603915,0.0780722028720899
"Desloratadine",0.346491346547476,0.695366804100833,0.884138478284276,0.148980756824295
"2-Hydroxyquinoline",0.129596331629628,0.221720435648829,0.752872932703803,0.289248271989025
"Glucuronic acid A",0.00279148954055808,0.121232956778135,0.084927130346381,0.221228443635159
"Epicatechin",0.770846938772531,0.0759784036126749,0.00765894491589236,0.643458968880576
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.923994811491565,0.901634204367442,0.096304757483699,0.289818787164053
"4-Acetylbutyric acid",0.755908832947145,0.895909307318099,0.821710440663373,0.30431760130876
"Indoxyl sulfate",0.610231511376949,0.0825508325979019,0.916132575591978,0.0768508839683584
"2-Deoxyribose",0.00481167348747835,0.353892629135972,0.421978082076635,0.0295700080787409
"N-Acetyldihydrosphingosine",0.424605935452993,0.178164742343126,0.504891784215657,0.446012254262182
"Galactonic acid",0.0410127764770327,0.57325113209615,0.175001630586219,0.0123938426516688
"Orotic acid",0.119216366502766,0.603788655134408,0.804592507840637,0.0321853202973807
"1-Methylxanthine",0.00206920440559299,0.29318632473115,0.40496618030098,0.962893214784477
"2-Propanamidoacetic acid",0.158071586350779,0.819748077603717,0.732452655966388,0.080527884544064
