"","Acidaminococcales","Bacteroidales","Bifidobacteriales","Burkholderiales","Clostridiales","Coriobacteriales","Desulfovibrionales","Eggerthellales","Enterobacterales","Erysipelotrichales","Firmicutes unclassified","Lactobacillales","Methanobacteriales","Pasteurellales","Proteobacteria unclassified","Synergistales","Veillonellales","Verrucomicrobiales"
"(15:3)-Anacardic acid",0.881350325845245,0.424605935452993,0.192685342305451,0.0971060223610163,0.627601514712204,0.0954457092106118,0.171214653068979,0.87986105629141,0.731149319082856,0.705327650955159,0.112651821691641,0.716353638299556,0.626390377249013,0.338215726006138,0.988157707731094,0.714755288540591,0.441348510303167,0.923561365043688
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.96644218106738,0.27596708328378,0.905733393457651,0.476074693965645,0.0436392079061281,0.126084758223989,0.93784412036621,0.741833967564663,0.660900035089898,0.208655155454274,0.838584743099063,0.394846753159819,0.920023889111302,0.381113847960605,0.323720047180484,0.294157340059445,0.571020691565828,0.282300489957683
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.939295157303592,0.632840855140418,0.328550658752962,0.165839282343422,0.769921430913417,0.360833600223812,0.957567881144602,0.749272740084141,0.880647606576939,0.323253557284259,0.530883641962951,0.599444106694021,0.178984272929811,0.0806678531496048,0.414297405664418,0.957608686891039,0.276309194814281,0.423700118247815
"1,3,7-Trimethyluric acid",0.0170220587693253,0.995981086526505,0.643877856658365,0.52607131372625,0.981916300755338,0.417230171176673,0.00352461754079503,0.145774509358951,0.856197605291141,0.920526660838105,0.558099928868699,0.834361085066976,0.284673477666807,0.993652356411395,0.53912152945402,0.338175184034532,0.486910927803653,0.555105103883505
"1,4-Butynediol",0.319168054446769,0.311910538569024,0.200403412197248,0.968285089921096,0.103577820092582,0.503510341999298,0.930791567140224,0.854807394629604,0.462766816214647,0.867490553626947,0.138898359322404,0.187026467730541,0.787581632649579,0.0156288439335674,0.43131674208862,0.697230817446644,0.0220903925697353,0.34518565538517
"1,5-Anhydrosorbitol",0.752301600631269,0.427439650807861,0.429869016449015,0.462007467744659,0.400513373488342,0.338323223117356,0.963900147375871,0.616745720507861,0.85689221684364,0.152207270426071,0.945388216136708,0.85157833393967,0.818423766438099,0.137012792441532,0.920672849764563,0.726289850577307,0.323949426404854,0.270341203757088
"1,7-Dimethyluric acid",0.767553779749934,0.30717669211063,0.881347049470129,0.241254225386008,0.494343254658305,0.215327874520452,0.771784096793396,0.237589166686248,0.901080078476542,0.904316204466496,0.949288949315455,0.45336418387023,0.906121894234044,0.997431175414393,0.392410577182946,0.643446541366676,0.380706050274139,0.654056180170549
"10-Hydroxydecanoic acid",0.866826178310302,0.460639734862678,0.914541031484033,0.770813070729801,0.0883666010430408,0.318608723102489,0.508860430491705,0.524224574828088,0.0464744926767007,0.837659917066071,0.00545097727758126,0.253352412869567,0.383538124001759,0.506310760708935,0.73634691683198,0.332474033474771,0.544455139063541,0.772365862705966
"12-Ketodeoxycholic acid",0.238297648037817,0.56702132721799,0.858516989684734,0.509191632131868,0.444999753099794,0.617864265380792,0.0259044464437173,0.0513155122969509,0.883562182625582,0.968691858868352,0.865944345374813,0.593435830307788,0.110226252535919,0.867523864250218,0.897633980827041,0.217880975560237,0.690798764645418,0.204723185399059
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.443408473400874,0.637220520283472,0.03834443144821,0.220658329644299,0.111198731309126,0.028857704222369,0.700650156422395,0.411185080587858,0.396260204114655,0.494671260888281,0.923994811491565,0.747909575742581,0.481724786592601,0.377591086133338,0.893718820399313,0.853892112155587,0.418841883697662,0.431298206712683
"1-Methylpseudouridine",0.688933663297693,0.553277523244844,0.308925406161393,0.464624670524171,0.561967985419217,0.57723816817226,0.511570549264048,0.994629369229365,0.539302689199046,0.559186877477966,0.544650734105587,0.531135980623513,0.0349290734814751,0.869278859883714,0.0270791659915917,0.682677645587755,0.342154880751379,0.262781985797449
"1-Methylxanthine",0.535621311050631,0.0845509123062247,0.0267194398881354,0.304715383727477,0.0233969011733557,0.674322369967645,0.00520057832407872,0.933682462646977,0.459384456658746,0.508859553040103,0.00206920440559299,0.96760835664326,0.387081663164037,0.23074399992007,0.601011744288054,0.21817795906409,0.250773288094091,0.636420020142119
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.601818935766254,0.906520360429146,0.41079116144622,0.0747446671410192,0.57201576497059,0.845688940298988,0.166077785153224,0.886861127846947,0.868998595459086,0.238956482583081,0.470444662988126,0.0532111326116274,0.897281517388687,0.0378831646355655,0.29487106672554,0.786151649773071,0.628378849784996,0.880461732010327
