"","Acidaminococcales","Bacteroidales","Bifidobacteriales","Burkholderiales","Clostridiales","Coriobacteriales","Desulfovibrionales","Eggerthellales","Enterobacterales","Erysipelotrichales","Firmicutes unclassified","Lactobacillales","Methanobacteriales","Pasteurellales","Proteobacteria unclassified","Synergistales","Veillonellales","Verrucomicrobiales"
"(15:3)-Anacardic acid",0.0247003673974921,0.131578947368421,-0.213123146602761,0.269487756080504,-0.0801619433198381,-0.270784844837028,0.223594311739361,-0.025012661434086,-0.0568238712706819,0.0625256280785065,0.258097165991903,-0.0600825879026924,-0.0804432985509615,-0.157518925241887,-0.00245665520099454,-0.0604359441528035,-0.126915008838212,0.0158797833971861
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.00696321316667631,-0.178855205451992,0.0195985225752567,-0.117539864681066,0.324814009222096,0.249177199402343,0.0129061645915579,-0.0544837769877912,-0.072510114695307,-0.205857778140122,-0.0337061592617507,-0.140131907051604,-0.0166169977123305,0.144204257275619,-0.162249815129827,-0.172327663286897,0.0935652210561434,-0.176551627625324
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.0126043027048931,0.0789473684210526,-0.160658923732158,0.226361616302032,-0.0483805668016194,-0.150379766111812,-0.00880611368099793,-0.0528607662696068,0.0248477143190796,0.162404228775342,0.103441295546559,-0.0867633303272778,-0.219702517026068,-0.283171707961903,0.134501872254451,0.00879763743996507,-0.178729896744061,-0.131834174914894
"1,3,7-Trimethyluric acid",-0.380009019331109,0.000833688015662616,0.0764020571433509,-0.104649032124824,-0.00375159607048177,0.133666166456288,-0.456050424626406,-0.237304364161085,-0.0299870102509318,0.0165122005176067,-0.0967078098168635,-0.0346003964433828,-0.175697194909935,0.00131677043841318,0.10138613156271,-0.157531980022728,0.114689232617421,-0.0974410124425757
"1,4-Butynediol",0.163762575350592,0.166202743266651,-0.209561285661469,0.00658061257904331,-0.264588289219869,-0.110385347428796,-0.014373924486284,0.0302800173222111,0.121087817939213,-0.027610116200253,-0.24130775879884,-0.215799063257522,0.0445757557679976,-0.384597976629026,-0.129697486289899,-0.0643280104537472,-0.365607150214336,0.155288693902866
"1,5-Anhydrosorbitol",-0.0522013276652028,0.130782468531148,-0.130101986098835,0.121291890871734,-0.138475554915334,-0.157484315130156,-0.00749101585208173,0.0826919249541942,-0.0298406446228708,0.233682737446544,-0.0113371799345887,-0.0309609418612721,-0.0379836315485469,-0.242431030989607,-0.0164817302490903,0.0578917641019891,-0.162173938886208,0.180930611169426
"1,7-Dimethyluric acid",0.04889249678269,-0.167813765182186,-0.0247010543476381,-0.19214416267498,0.112753036437247,-0.202936734874122,0.0479781366068163,0.193620277983694,-0.0205706487395659,0.0198945180249793,0.0105263157894737,-0.123627562226896,0.0195173904681021,-0.000532878637489467,0.140848231523687,-0.076501195130131,0.14432648938957,-0.0740701306110359
"10-Hydroxydecanoic acid",0.0277497954712565,0.12165991902834,-0.0177602622168968,0.0481878932735988,-0.276518218623482,-0.163949388104393,-0.109013614188905,-0.10511393752462,-0.320779918463527,0.0339018827568525,-0.43663967611336,-0.1873762063406,-0.143479194792535,0.109666423595332,-0.0556841845558763,-0.15937748985444,0.10006356895178,0.0478525016465542
"12-Ketodeoxycholic acid",0.193333739876666,-0.0945344129554656,-0.0294983665556504,0.10892893521511,0.125910931174089,-0.0824303903131416,0.356495774534192,0.314329154216206,-0.0242367049505776,-0.00649616915101366,0.0279352226720648,-0.0881890188537823,0.25979229204163,-0.0276031134219544,0.0212910117419527,0.201835653151662,-0.0657650500343463,0.207609517165896
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.126347969856307,-0.0779352226720648,0.332953881330559,-0.200647908546792,0.259109311740891,0.350177260077203,-0.0635659700191575,0.135392422418514,-0.139717475597447,-0.112667933712893,0.0157894736842105,-0.0531578150596702,0.116049348729256,0.145262716579629,0.0221098968089509,-0.0304729760601689,0.133208315061595,-0.129702660364936
"1-Methylpseudouridine",0.0661826379349017,0.0978893567999191,-0.167216823069807,-0.120589277732619,-0.0957635279552466,0.092064623194617,0.108321523130489,0.00111409334998986,-0.101341107240336,-0.096442153974443,0.100015185644592,0.103378114421046,-0.33870452612964,-0.0272342334416731,-0.353914445606295,-0.0675863175579298,-0.156255051729527,-0.183764455786475
"1-Methylxanthine",-0.102257488073568,0.279757085020243,-0.354694891975381,-0.168657626457596,-0.362348178137652,0.0694683633351537,-0.438787388587655,0.0137721536641121,0.121998203910891,0.109013838565448,-0.47834008097166,-0.00672110305352152,-0.142424200713178,-0.196419065778618,0.0863923745683081,-0.201708151159779,-0.188379632953247,0.0781200082559559
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.086201529421044,0.0194341819166851,-0.135505409992986,-0.288635791736192,0.0933245610790815,-0.0322041655801443,0.226237473428485,-0.0235454984194451,0.0272931330594695,-0.193067797841475,-0.119034364239696,-0.311936069258041,0.0213647113444249,0.333705491152966,-0.172076933270182,-0.0448829726059842,0.07998148100371,-0.0248866918505965
"2,3-Dihydroxybenzoic acid A",0.131125407171871,-0.111943319838057,0.0811460256461663,-0.065397855157027,0.0621457489878543,0.0680506416344363,-0.272280986228557,0.0110379760984428,0.200614742658142,0.170321434928139,-0.354251012145749,-0.0124238571595398,0.106554402015044,0.190131097856242,0.168485602534876,0.151599868349543,0.0324105270504194,0.0512629249264867
"2,6-Diaminopimelic acid",-0.0370561774612468,0.199827911399214,-0.130874216834855,-0.024603857673406,-0.38082705303133,-0.0590975881562805,-0.322028752409425,0.0385375017882858,0.0847394987175469,0.143140460109436,-0.189198767175852,-0.00560176974695322,-0.0121342743005946,-0.599526207407789,0.00511880887483793,-0.0316890564398973,-0.280619176486394,0.124552648832074
"2,8-Quinolinediol",0.23328124764298,-0.194736842105263,0.0772673476907521,0.0366470953047117,0.172874493927126,0.0268354464778655,0.259628524043215,0.327797510373021,0.08431929285327,0.115307002430492,-0.218825910931174,0.214464288344187,0.346301806548893,0.309495912653883,-0.0734949347630868,0.195205549573718,0.268514398864316,0.0193967824046166
"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid",0.0279530906761741,-0.0202429149797571,0.30590520611517,0.146385911079042,0.0216599190283401,-0.0395949417843223,-0.229363834495877,0.108658241776414,0.0570275410601826,-0.134186494025626,0.0289473684210526,-0.408968937317309,-0.164051579339994,0.0332516269793428,0.0450386786849,-0.160652509773275,0.0851694108897754,0.101353516850497
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",-0.0743815756159368,0.0885941431622998,-0.157295294793718,0.0596485904902277,-0.233483536151158,-0.0692903822009461,-0.193904423689,-0.0370257817170261,0.219837594360528,0.206529552097201,-0.225991002900861,-0.0651974329892204,-0.0130601791334942,-0.511904730481844,0.078538433047639,0.0320781166775294,-0.248149076275858,0.209282304683091
"2-Amino-3-methoxybenzoic acid",-0.212860852131682,-0.264891948312317,0.316128252164427,-0.233257405878704,0.20061744041078,0.194845328855967,-0.12040692377771,-0.036457545939786,-0.0157852075530514,0.0159367214832343,-0.0848221064905318,0.288207337904099,0.0931079395627405,0.196055972844421,0.104617861869201,0.151097507210487,0.270573416720092,-0.0254728880183836
"2-Aminonicotinic acid",0.0360848988728793,-0.0489878542510121,-0.260790057265352,-0.16116623128481,-0.0194331983805668,-0.173164579159057,0.210334531369123,-0.140151916699494,-0.0869670001167784,0.0537964007818319,-0.304251012145749,-0.0138495456860443,0.070157106277232,0.251198989712535,0.0165824226067132,0.0294529601251004,0.27218549416129,0.0764147966159896
"2-Aminophenol",0.210207241884829,0.219433198380567,0.061854706341606,0.373962348219904,-0.205263157894737,-0.117772166995312,-0.147274659837379,-0.134379764060859,-0.0869670001167784,-0.0255786660321163,0.0455465587044534,-0.396952419736771,-0.281683419188285,0.00575508928488625,0.167666717467878,-0.217645900145223,-0.087581844942072,-0.0647980423187192
"2-Deoxycytidine",0.130312226352201,0.267004048582996,-0.137182715054651,0.0303705209707556,-0.258502024291498,0.045468360258723,0.0161951515972376,-0.316151939259985,-0.336666162044578,-0.142712716036331,-0.238866396761134,-0.253365218138811,-0.161414094141601,0.211233091900825,0.107273943776762,-0.315822433895558,0.018250588047809,-0.0082063310173378
"2-Deoxyribose",-0.149625270819376,0.261740890688259,-0.221288784403633,0.0822028767608451,-0.440283400809717,-0.480000061528613,-0.186143023670749,-0.273012693223869,0.0527504754806689,0.277508225919865,-0.442307692307692,-0.182895470971586,-0.181458981649382,-0.152509866049486,0.0217004542754518,-0.0646435098849607,0.096287585217751,0.133645962282358
"2-Deoxyuridine",0.076947235061323,0.288056680161943,-0.135243376076944,-0.070864548931763,-0.230971659919028,0.166683565670063,0.0682220761033633,-0.267443072256765,-0.227499154872228,-0.146975827041684,-0.168421052631579,-0.153567021283492,-0.131874259919609,0.126611964267497,0.117510007114239,-0.232053625228064,-0.0307323120575175,-0.054033893841432
"2-Dodecoxyethyl hydrogen sulfate",0.0108762934630932,-0.198987854251012,0.230270985984593,-0.10973881577433,0.208704453441296,0.00303797507296591,0.178956425149475,0.200810152323046,-0.186968866761599,-0.269185009195129,0.248785425101215,0.0191449602130613,0.175129017173241,0.0208888425895871,0.0229287818759491,0.319902497635831,0.304071579026427,0.114036028422746
"2-Hydroxybenzaldehyde",-0.0992130810317676,0.0721696443051899,0.0397074233425773,-0.125639080162965,-0.107292879331699,-0.105625612264435,-0.255288996862031,-0.177122910690794,-0.00957296458056019,-0.00690252905006325,-0.104256288407217,-0.235352352613559,-0.213910875312698,0.224086807776784,-0.0441196658176375,0.0160023098353722,0.182462670434038,0.159498648198791
"2-Hydroxycinnamic acid",0.119334285286649,0.243117408906883,-0.168212138697965,0.00303705209707556,-0.31497975708502,-0.135088624911217,-0.329874994096233,-0.0289620290289416,0.0969468198023104,0.065367702082075,-0.331174089068826,-0.121183524752888,-0.235791176736261,-0.311307700021347,0.0298893049454336,-0.142037218958277,-0.255508232669326,0.150165200044532
"2-Hydroxyisobutyric acid",0.0283596810860094,0.115789473684211,-0.220370150151035,-0.214618348193339,-0.162753036437247,-0.148658246903798,-0.173996659972821,0.212556989271848,0.0835046136952673,-0.0353229197586368,-0.24412955465587,-0.0631376347452021,0.132929253998966,-0.285942676876848,0.0456528424851486,0.133367083510195,-0.269353506360767,0.110625605142813
"2-Hydroxynicotinic acid",-0.0829444436063931,0.233400809716599,-0.24925609387162,-0.121887024162632,-0.231578947368421,-0.225721547921367,0.111341667231008,-0.262177248796958,-0.119350496647382,0.173975530075585,0.0151821862348178,-0.101223885381824,-0.218120025907033,-0.0031972718249368,-0.258767681171425,-0.108249191109135,0.0908333864908196,-0.150165200044532
"2-Hydroxypalmitic acid",-0.511821580937449,0.11437825815549,-0.0578258491608485,-0.0505188565683479,-0.228452857218532,-0.142488242047997,-0.261767385362891,0.115600801917405,-0.0782131574241513,0.123839491780547,-0.0578976669601243,-0.130762622568503,-0.123968078171354,-0.301038377439014,-0.0337807186074718,-0.166844800156052,0.0654536972410689,-0.0350118983851004
"2-Hydroxyphenylacetic acid",-0.151564245715538,-0.216812592008018,0.0669105809795873,-0.18769931879302,0.187863758527956,0.0842574395052831,-0.229881566960219,-0.200111418825047,-0.0575396275320905,-0.166777282783146,-0.165595425081754,-0.0621224297249119,-0.00553899923744348,0.452276988728078,0.118846710009924,-0.179149365089227,0.363719062793921,-0.11606684122184
"2-Hydroxyquinoline",-0.0622083327047948,0.0034412955465587,-0.0397054138067405,-0.29702369509399,-0.069838056680162,-0.0419240560069295,-0.287767599943415,0.206379773290151,0.0340128548466089,-0.0162404228775342,-0.246963562753036,0.0804495668527576,0.00158249111903531,-0.20792924434839,0.0348026153474227,0.166262597416151,-0.0827569768374788,0.182670796931389
"2-Ketogluconic acid",0.142814881454635,0.234615384615385,-0.155759541051635,-0.186474998760439,-0.142712550607287,0.0406076001419776,-0.224505289016706,0.0981265948567987,0.0963358104338084,0.239546237443629,-0.386032388663968,0.0236256955820756,0.0482659791305769,-0.419162336249215,0.163981734666386,0.0921839401318079,-0.368577967816097,0.0717254646060823
"2-Methylglutaric acid",-0.0652577607785592,0.055668016194332,-0.197710505253615,0.164608223661495,-0.181174089068826,-0.231291168888471,0.0837086898182217,0.0625822865030976,0.0456220328481461,0.0718638712330886,-0.0603238866396761,-0.0118128477910378,0.0250561093847257,-0.57220508093619,-0.132045217053457,0.125716963997182,-0.221629267500117,0.118192481795164
