"","Actinobacteria","Bacteroidetes","Euryarchaeota","Firmicutes","Proteobacteria","Synergistetes","Verrucomicrobia"
"(15:3)-Anacardic acid",0.124168165768477,0.424605935452993,0.626390377249013,0.551278461638163,0.920109319316112,0.714755288540591,0.923561365043688
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.602944807102175,0.27596708328378,0.920023889111302,0.0493255875942906,0.254970019585832,0.294157340059445,0.282300489957683
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.420305050215432,0.632840855140418,0.178984272929811,0.751254777081311,0.56535450231271,0.957608686891039,0.423700118247815
"1,3,7-Trimethyluric acid",0.794257935762099,0.995981086526505,0.284673477666807,0.904768280662741,0.818662680401905,0.338175184034532,0.555105103883505
"1,4-Butynediol",0.543464601883192,0.311910538569024,0.787581632649579,0.0931781166387118,0.955131652879722,0.697230817446644,0.34518565538517
"1,5-Anhydrosorbitol",0.990240816421437,0.427439650807861,0.818423766438099,0.335747051973352,0.657045348171056,0.726289850577307,0.270341203757088
"1,7-Dimethyluric acid",0.752184900338668,0.30717669211063,0.906121894234044,0.585503683500742,0.709775961871839,0.643446541366676,0.654056180170549
"10-Hydroxydecanoic acid",0.889098586464545,0.460639734862678,0.383538124001759,0.118304660016965,0.624988558165871,0.332474033474771,0.772365862705966
"12-Ketodeoxycholic acid",0.586350122929913,0.56702132721799,0.110226252535919,0.368649998072045,0.858249748122619,0.217880975560237,0.204723185399059
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.0216270289310569,0.637220520283472,0.481724786592601,0.119216366502766,0.29721839785309,0.853892112155587,0.431298206712683
"1-Methylpseudouridine",0.69426687061309,0.553277523244844,0.0349290734814751,0.521162705982429,0.318479697785242,0.682677645587755,0.262781985797449
"1-Methylxanthine",0.963905624582438,0.0845509123062247,0.387081663164037,0.0135047197948279,0.418876893643801,0.21817795906409,0.636420020142119
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)",0.0597561553388992,0.906520360429146,0.897281517388687,0.675359535895911,0.391212432003329,0.786151649773071,0.880461732010327
"2,3-Dihydroxybenzoic acid A",0.229916697419394,0.497468607812846,0.518522933485815,0.827607084687159,0.0990163718306185,0.356905075242519,0.756618070576355
"2,6-Diaminopimelic acid",0.704716882763116,0.222589906814529,0.941554946434886,0.012599255189981,0.757737167343044,0.848128128896903,0.449965202862398
"2,8-Quinolinediol",0.146939925313505,0.234842017115289,0.0308027580280097,0.255256760551277,0.665533394864484,0.233695280262147,0.906699465256938
"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid",0.485027954766665,0.902648498322887,0.318303015471612,0.987314554678592,0.637220520283472,0.328570224443653,0.539252755005606
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.638417476889211,0.591733352917467,0.937103855119331,0.100355655909282,0.369804696717173,0.84628568764806,0.201016930423653
"2-Amino-3-methoxybenzoic acid",0.0699282584382448,0.103167397627328,0.572912119994016,0.269389542373695,0.237807134460182,0.358519454661704,0.87766706911613
"2-Aminonicotinic acid",0.112651821691641,0.767112985121938,0.67127425431833,0.961955959225596,0.914284535949689,0.858732574528045,0.643822425149832
"2-Aminophenol",0.800051620390836,0.179531091011752,0.082342881877814,0.274612870035775,0.935661370692482,0.183190166351467,0.695124676335557
"2-Deoxycytidine",0.905555723728319,0.100346916970484,0.326252086274665,0.11649698781247,0.999024157327181,0.0501603716153138,0.960455571380181
"2-Deoxyribose",0.0182178701035371,0.10748709031415,0.268921059344783,0.00457891960339296,0.929826283620791,0.69581686465309,0.417301219187632
"2-Deoxyuridine",0.933715958478762,0.0753558104758856,0.423557952825921,0.160547539216255,0.817129151872976,0.155167501800498,0.743893641399868
"2-Dodecoxyethyl hydrogen sulfate",0.277375222323222,0.224580738334254,0.28625860013731,0.128625805094698,0.634591251233565,0.0471104322544615,0.489411842909428
"2-Hydroxybenzaldehyde",0.602087899813489,0.66239733800963,0.191007118762955,0.443502279977078,0.742886830305153,0.922973327460028,0.332101845393354
"2-Hydroxycinnamic acid",0.738269973703972,0.135869969444906,0.148437529574945,0.0366037834463619,0.56535450231271,0.38838625008769,0.361527145982691
"2-Hydroxyisobutyric acid",0.908464163203386,0.482713461334189,0.419825944901743,0.278485226263399,0.375309323710941,0.418282595159034,0.502576219392373
"2-Hydroxynicotinic acid",0.000368730107770832,0.152716584699376,0.182214383270388,0.151985579722871,0.0625877973258033,0.511854206322766,0.361527145982691
"2-Hydroxypalmitic acid",0.411753415318051,0.488100725705143,0.452111437132179,0.10606652954509,0.273763004481198,0.310018414772081,0.832419011306936
"2-Hydroxyphenylacetic acid",0.969266683147778,0.184914156347143,0.973303124083702,0.24157981228267,0.529650791117367,0.275165072219362,0.48165827570542
"2-Hydroxyquinoline",0.400561524792547,0.983411816542516,0.992371453541973,0.56202764291677,0.423169574559832,0.31173384226239,0.265682540975119
"2-Ketogluconic acid",0.836201962286185,0.150531237958388,0.77045167590742,0.239335625087861,0.70339374671423,0.57674268139866,0.664352674309486
"2-Methylglutaric acid",0.504537358724597,0.736420737353698,0.87965389362669,0.26968617710938,0.486574145688603,0.445706996338423,0.473611830954054
"2-Propanamidoacetic acid",0.93273999779815,0.813792475573767,0.203906634962824,0.530862735428125,0.173412319937118,0.966816707724772,0.368958978427398
"3-(1-Pyrazolyl)-alanine",0.793403883845034,0.0412445627747602,0.434794631155128,0.0180310531484669,0.315159332270558,0.0141753698852987,0.9332750581619
"3-(3-Hydroxyphenyl)propionic acid",0.168272261503924,0.48734819786247,0.93902774969304,0.837158126256806,0.575389132205101,0.529505478862853,0.0805489305831175
"3-(Hydroxymethyl)phenol",0.496251544756634,0.834273790278223,0.45890358129634,0.500560386556715,0.839533511876883,0.541737124543913,0.132615603699365
"3,4-Dihydroxybenzoic acid",0.0543538177233318,0.231386836829066,0.362679749355034,0.352312825037065,0.0584428571201558,0.674232800620965,0.756127473599979
"3,4-Dihydroxyphenylacetic acid",0.639397925097826,0.4846195510401,0.569096613148677,0.66998440248234,0.4846195510401,0.950242260137281,0.971233638803722
"3-[3-Tert-butylsulfanyl-1-[(4-chlorophenyl)methyl-5-propan-2-ylindol-2-yl-2,2-dimethylpropanoic acid",0.707908061593196,0.558235765543844,0.433372099513492,0.536901184609182,0.729459675147612,0.253474521047118,0.927899298271431
"3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid",0.00630835285611964,0.00119939683698567,0.0563883687038649,0.00683166124777035,0.352933089795248,0.655677984165104,0.731951234186523
"3-Deoxyuridine",0.102232580210724,0.0582677273272125,0.106896398406904,0.00741091896395418,0.764307469098742,0.140536045572905,0.599939465084525
