"","Adlercreutzia equolifaciens","Agathobaculum butyriciproducens","Akkermansia muciniphila","Alistipes finegoldii","Alistipes indistinctus","Alistipes inops","Alistipes onderdonkii","Alistipes putredinis","Alistipes shahii","Alistipes timonensis","Anaeromassilibacillus sp An250","Anaerostipes hadrus","Anaerotruncus colihominis","Asaccharobacter celatus","Bacteroides caccae","Bacteroides cellulosilyticus","Bacteroides clarus","Bacteroides dorei","Bacteroides eggerthii","Bacteroides faecis","Bacteroides finegoldii","Bacteroides fragilis","Bacteroides intestinalis","Bacteroides massiliensis","Bacteroides ovatus","Bacteroides plebeius","Bacteroides salyersiae","Bacteroides sp CAG 144","Bacteroides stercoris","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bacteroides xylanisolvens","Barnesiella intestinihominis","Bifidobacterium adolescentis","Bifidobacterium longum","Bifidobacterium pseudocatenulatum","Bilophila wadsworthia","Blautia obeum","Blautia wexlerae","Butyricimonas synergistica","Butyricimonas virosa","Butyrivibrio crossotus","Clostridium asparagiforme","Clostridium bolteae","Clostridium citroniae","Clostridium innocuum","Clostridium lavalense","Clostridium leptum","Clostridium sp CAG 167","Clostridium sp CAG 242","Clostridium sp CAG 253","Clostridium sp CAG 58","Clostridium symbiosum","Collinsella aerofaciens","Collinsella stercoris","Coprobacter fastidiosus","Coprobacter secundus","Coprococcus catus","Coprococcus comes","Desulfovibrio piger","Dialister invisus","Dielma fastidiosa","Dorea formicigenerans","Dorea longicatena","Dorea sp CAG 317","Eggerthella lenta","Eisenbergiella massiliensis","Eisenbergiella tayi","Escherichia coli","Eubacterium eligens","Eubacterium hallii","Eubacterium ramulus","Eubacterium rectale","Eubacterium siraeum","Eubacterium sp CAG 180","Eubacterium sp CAG 251","Eubacterium sp CAG 38","Eubacterium ventriosum","Faecalibacterium prausnitzii","Firmicutes bacterium CAG 110","Firmicutes bacterium CAG 145","Firmicutes bacterium CAG 83","Flavonifractor plautii","Fusicatenibacter saccharivorans","Gemmiger formicilis","Gordonibacter pamelaeae","Haemophilus parainfluenzae","Harryflintia acetispora","Hungatella hathewayi","Intestinimonas butyriciproducens","Lachnospira pectinoschiza","Lactobacillus rogosae","Lawsonibacter asaccharolyticus","Methanobrevibacter smithii","Odoribacter splanchnicus","Oscillibacter sp 57 20","Oscillibacter sp CAG 241","Parabacteroides distasonis","Parabacteroides goldsteinii","Parabacteroides johnsonii","Parabacteroides merdae","Paraprevotella clara","Paraprevotella xylaniphila","Parasutterella excrementihominis","Phascolarctobacterium faecium","Proteobacteria bacterium CAG 139","Roseburia faecis","Roseburia hominis","Roseburia intestinalis","Roseburia inulinivorans","Roseburia sp CAG 182","Roseburia sp CAG 303","Ruminococcaceae bacterium D5","Ruminococcus bicirculans","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus lactaris","Ruminococcus torques","Ruthenibacterium lactatiformans","Slackia isoflavoniconvertens","Streptococcus mitis","Streptococcus parasanguinis","Streptococcus salivarius","Streptococcus thermophilus","Turicimonas muris","Veillonella atypica","Veillonella dispar","Veillonella infantium","Veillonella parvula"
"(15:3)-Anacardic acid",0.507876802744978,0.266335741695055,0.923561365043688,0.507729043975725,0.181325851122677,0.414245888393608,0.808194421784921,0.135797265676734,0.0332832972620349,0.324247109156965,0.570722374524234,0.355051377062274,0.344930574497115,0.713783994307976,0.0288946239912524,0.225855160452183,0.617299567492631,0.392726539544673,0.949175282238954,0.528663286580377,0.156537264662154,0.122779217488989,0.684148534711185,0.075415888666877,0.128804476867736,0.31475369490114,0.821677545457161,0.337450584689907,0.124652596285841,0.723683292937309,0.135534275160377,0.700612996436684,0.0839893057780103,0.149362393049402,0.46317904267121,0.34148394015295,0.691225457061299,0.833251647700275,0.948315033451072,0.599088126309073,0.593243056445021,0.360026027435213,0.433507918602722,0.778111768634337,0.952283740083602,0.723135722513808,0.0550576154713687,0.474731421182105,0.639191894698032,0.657225085499564,0.76689593535002,0.946108107053265,0.806345671952144,0.328744644763939,0.189164562155167,0.0185540784134388,0.602643834277252,0.914796302876825,0.561355072610104,0.55056822533936,0.350683378425434,0.894577075353955,0.753692621540516,0.81599499957888,0.181182288544331,0.635122976477537,0.801483734200188,0.561773170268471,0.129409734934375,0.755222705132835,0.315854162251562,0.370114264087796,0.780905998762414,0.00894190605046852,0.879967249049458,0.155167501800498,0.497909231556152,0.52698985285695,0.975551934553601,0.0174236893458937,0.631703197391836,0.188157157332436,0.144867803242004,0.815135422912505,0.84577382388773,0.0122728521625159,0.227810389950884,0.134876818760137,0.454388521154818,0.133007373151391,0.200691960384344,0.162578302350637,0.328181417346703,0.340331430237549,0.626390377249013,0.100882944317886,0.233914912135224,0.552086718352055,0.0249017186916114,0.531710926301537,0.819894631537125,0.249541654379636,0.810735537639952,0.529462137904905,0.141810293885863,0.685998488151943,0.988157707731094,0.043462269740508,0.253661428156056,0.30987058929673,0.772732772984832,0.899141314683808,0.701670080891487,0.135847485568556,0.476010560103656,0.468882465064504,0.145653388932534,0.819501255714274,0.80329168468412,0.356492970199045,0.75827345783514,0.292316451571607,0.341119588980409,0.167155768936299,0.364410351796452,0.250366715729044,0.00308079345747991,0.152013043458308,0.0842991966722186,0.017202218651184
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.785028380896788,0.158925541946542,0.282300489957683,0.195367475166244,0.0446957157554666,0.36935462917689,0.764870218679949,0.733376494648763,0.608162885398018,0.450146362382779,0.909966631192369,0.174171761361999,0.215853929922462,0.829447323137601,0.928005334468959,0.323504869189896,0.725097538119795,0.617882715555759,0.207150142701384,0.926770094280444,0.718492350296056,0.20269556504296,0.109089115729529,0.492356884668159,0.686148093016021,0.281639498325949,0.80819812121633,0.209129724726873,0.215253624738193,0.649041347287956,0.880880752798189,0.301862174619674,0.930725078431447,0.0643902896232529,0.366689186334016,0.36689169431988,0.518619511614075,0.295065414160128,0.745205008116578,0.961079184295613,0.942804391968641,0.585261524814404,0.831128378334106,0.510800647448399,0.901763135037675,0.0821521080293262,0.269284929054096,0.682372427710487,0.455697760857572,0.195175771797121,0.864918186062066,0.085616502640546,0.189308092781739,0.488546147386659,0.162316559191281,0.227998166129012,0.469781643044291,0.285250985543177,0.121764464317836,0.57658130864418,0.524590351538451,0.885131561139553,0.423747639959371,0.752395091429815,0.571597148637687,0.716493750858447,0.339875202328358,0.587314459791375,0.750352685450647,0.383934092899753,0.0146427117051755,0.49785418217555,0.969532397138305,0.0481741347038454,0.664642162421737,0.716471791639688,0.570730405151179,0.364378589691908,0.0686448650361884,0.443870590977519,0.370456747843356,0.349200102459022,0.823519280882899,0.494491462951059,0.0108891651336429,0.404756308211308,0.781849007566168,0.529441186757539,0.185974334567787,0.294902986160286,0.303658418345438,0.0881674118580293,0.225061716009319,0.871587943796376,0.920023889111302,0.574949983247216,0.472296267722912,0.955275302261894,0.554062147706749,0.829423199123455,0.436648539599553,0.110324949932751,0.998678134350707,0.145954884812594,0.518191712147272,0.906037404055935,0.323720047180484,0.161282129404326,0.678936439463877,0.701053963566956,0.972192469330667,0.342876339831868,0.477268887990428,0.4681660120661,0.288212212019097,0.975101780670053,0.454539065768731,0.347992291482824,0.760834219986493,0.870746737024222,0.659633791267866,0.39044251041848,0.994315645514955,0.648482314939402,0.0488490362737291,0.531822303918391,0.333892435435112,0.331026038400477,0.740419735166606,0.685915941864183
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.508702826426069,0.474186323391561,0.423700118247815,0.195938201592994,0.0868065950249894,0.992737352678162,0.397046912616754,0.20724264801944,0.653644500360858,0.177181047962052,0.454753910962024,0.244929835802442,0.212124933272843,0.974885666505332,0.426819879324158,0.988793308250011,0.438512673547083,0.168936905511798,0.855816468920331,0.220570708811554,0.0175942960180082,0.878975277001652,0.202467451167373,0.21789774673166,0.938204469279035,0.731538770203902,0.319065913070753,0.252479717903778,0.571669373393565,0.948168130505342,0.945393735641429,0.0852695077072203,0.52240617409879,0.406752686109649,0.212372642916439,0.499233019932251,0.207587084202371,0.73075062681482,0.805734369764947,0.357357634996929,0.198003888823845,0.616171962140325,0.824377715749932,0.103194531268814,0.320954145506841,0.989416357237363,0.208778644519008,0.576211176847685,0.78175927494853,0.606910410321509,0.379014572605014,0.874658960593301,0.0360127310976077,0.757029548318759,0.322247225176368,0.937759942741044,0.003907283273062,0.299423450440215,0.267120652816567,0.698792441935217,0.112569733510657,0.981562245947496,0.167408114023903,0.427736672017227,0.051281707253175,0.875577551088619,0.718215823661252,0.558248056473838,0.513505575846203,0.833141980000701,0.496796206199628,0.816333564169357,0.813330095295862,0.356349312276639,0.876320714914374,0.753131362178956,0.774115895558822,0.339242780596711,0.858090155527068,0.325260503779065,0.887261798881599,0.228344911908068,0.178872322124461,0.715123861768284,0.128625805094698,0.713402575218254,0.773048098670501,0.16056994717548,0.511134222641214,0.662042784920163,0.492665657920515,0.534118581584898,0.590580000712599,0.961917422629657,0.178984272929811,0.768984958851491,0.106673818419622,0.528825102684487,0.449345914075566,0.950463078944313,0.0527918618084109,0.128557754154433,0.0201668461569184,0.0457946506206692,0.252919056929482,0.297093872889641,0.414297405664418,0.290342078633952,0.698832702343745,0.091964345675722,0.742899400964388,0.0177160908319407,0.417699632399804,0.087303061904809,0.817169145894883,0.983400591741113,0.668943250008646,0.826157804548709,0.373937021476114,0.0781666118279696,0.682974434600469,0.433507918602722,0.123742151538754,0.17579141278547,0.645911629534211,0.0517297078428003,0.153164035522682,0.487240121055617,0.059586587179818,0.0902376342518147
"1,3,7-Trimethyluric acid",0.0155297787330233,0.954801089108703,0.555105103883505,0.783689475173523,0.083442362085248,0.564834662495684,0.379134896627756,0.539922412583694,0.321630433191234,0.766925657663455,0.756725408322683,0.79600134049881,0.491977346341774,0.0415681813290045,0.283749047962469,0.52254770234153,0.424145927753731,0.207666490848847,0.892964867800102,0.403286032346708,0.277920119949883,0.0168624201615817,0.228978247719796,0.761061678477823,0.0882764608678004,0.757521975935396,0.580569214236036,0.0880331625227999,0.406549010746525,0.846753451270101,0.158776315169562,0.341095354152757,0.408968884912554,0.310234454536044,0.996488577249088,0.888186964505723,0.725087916770392,0.36127199878116,0.470540053635994,0.755964234270929,0.952270200914622,0.463020061580991,0.0242381398991305,0.830446117792595,0.226747120215422,0.839880039919086,0.504344659166027,0.495610204478858,0.0764210967595627,0.169838396832512,0.428720609327982,0.965839020978154,0.633395471985374,0.531880352715181,0.536912361260888,0.797901940433657,0.517246833433799,0.641719675406417,0.656640551495371,0.114209388471706,0.0575271331397775,0.445060342780503,0.332720322359008,0.390359389266351,0.11036607008508,0.821802416298047,0.914134799836362,0.621777047906295,0.11677009313797,0.721080690992451,0.694256670248947,0.701068549416421,0.428101472952085,0.0755070620000258,0.222648623978739,0.363604139793832,0.507204691619279,0.622079881725839,0.48779379082521,0.62277471227113,0.0217053203803244,0.259837591663376,0.586013816529815,0.901226905832536,0.962837791987146,0.52541699019129,0.702514284521794,0.975702366170985,0.131102181055252,0.909007598231736,0.79325339082299,0.156325673290681,0.262721597250653,0.810645379823785,0.284673477666807,0.746044720285564,0.428686282338487,0.065231742961378,0.774826652536345,0.857161513924411,0.320752934499422,0.1941203511793,0.823130894084075,0.291082573233781,0.700493267723561,0.398259883450486,0.53912152945402,0.365033101254872,0.150388694384025,0.761930730298938,0.256062182354905,0.079273315610632,0.507366709682535,0.384994148826728,0.732857830061605,0.470580259208662,0.885183308857468,0.75229422338098,0.184179974698508,0.622309761795767,0.904655531995202,0.896344430147177,0.838378534434648,0.64863017267555,0.251925475600173,0.580424304428869,0.694658915388432,0.847617807008817,0.525273189493831,0.833791737198713
"1,4-Butynediol",0.0790962049025143,0.961946336824666,0.34518565538517,0.360520217765584,0.925913953977465,0.0407135522707076,0.257824629657603,0.630727934393154,0.082696733111121,0.34276727097205,0.271878973104937,0.748672412553565,0.198135670580444,0.173577668971156,0.858267591890414,0.802282943188953,0.527024863655005,0.496746821023784,0.841440297921034,0.688545633348749,0.931419775819274,0.850370024790948,0.911171180527264,0.759440982387429,0.167550262369074,0.968045076182693,0.369421666851432,0.35187282176233,0.312027038751958,0.0934771658555169,0.885226942874448,0.332093541364182,0.0768664830197405,0.825179530393282,0.838498683340297,0.541759931188817,0.14525569626799,0.573916183659425,0.230381970187958,0.905151624030874,0.134513397459104,0.815178086187786,0.0530644850196724,0.426898012826996,0.384745237166748,0.30437138087593,0.273845837724385,0.405973072653014,0.192829597667425,0.48796609289886,0.68187467751485,0.180648341850883,0.510881067648156,0.794190718059113,0.689190488423725,0.927619537016461,0.611678059945423,0.190158320669916,0.404290299532276,0.309547702707728,0.537458288050223,0.247000272162538,0.279925994319254,0.0666586420400319,0.349394853708438,0.497725035990202,0.793955739893392,0.621354406918514,0.0566281407777294,0.533335483771719,0.0245277636886208,0.752678512117659,0.197487484420565,0.315615244196465,0.93154442607136,0.756051976154463,0.924453876589929,0.402478917121713,0.536314496302318,0.441295932839227,0.900874014743734,0.812615961466924,0.116377512830854,0.256959749537712,0.842413241063835,0.374428217894049,0.298914849298418,0.0614962045095786,0.880805585762381,0.731435171372754,0.717019082374442,0.506081263459697,0.21593363998378,0.0983798217612675,0.787581632649579,0.760092977620524,0.08705871986272,0.201962958249573,0.0767897037478047,0.950130723394304,0.880933821159524,0.664394305455375,0.382160719642625,0.866067959459942,0.978765996536259,0.701985886250711,0.43131674208862,0.0205947643006397,0.784455828961454,0.26138637466701,0.355844110824904,0.159740339591684,0.0467399882670179,0.200941423696621,0.634855423104037,0.764725526723298,0.994914003695725,0.289623971756939,0.424694238233068,0.113786725136378,0.0234804202879397,0.378414711232512,0.418706844869633,0.161730836634507,0.237880406523914,0.872384301673902,0.418872090225161,0.108174887467504,0.0048214707424119,0.0228645989840055
"1,5-Anhydrosorbitol",0.20791056889395,0.0922111867083055,0.270341203757088,0.13561749585274,0.0203529088143153,0.845295654243457,0.754866456675986,0.32871829334454,0.953620849340056,0.328555051672385,0.776181690574145,0.2360502306517,0.120284326136701,0.283457571049222,0.098354502829225,0.0861699154504567,0.987612039769585,0.755762839965653,0.986013398284811,0.0470932765302519,0.96758347744502,0.163466771914181,0.492270642323807,0.214574293655288,0.144010742965432,0.0545329213330674,0.111268920602214,0.281704107440196,0.0117486081178555,0.329060326670951,0.851992532304035,0.231723663881866,0.301331883295741,0.375497577280863,0.922804086528101,0.666460536437695,0.750867059336977,0.727497812357457,0.226463214687959,0.615087332233857,0.753677214932276,0.780554672698223,0.842638801403231,0.512123018802579,0.110980959095351,0.201635788591415,0.12019308899355,0.158936208665213,0.0448889971466611,0.899459112677153,0.946956001597628,0.0131710325505536,0.237810581631689,0.67960424196091,0.318686642497839,0.56094003190431,0.561949699887777,0.849286722396787,0.839945703582934,0.969699063835459,0.681415838995311,0.943492374673522,0.165896353237664,0.868688021364099,0.2313386662872,0.6327171533705,0.784717199270818,0.70202972638992,0.0603447826918182,0.81758180265421,0.246906799880534,0.421215590560033,0.901815543093373,0.00217905851089428,0.871753219862898,0.398744139231536,0.704189710160183,0.766590670461877,0.698030649700005,0.0132863890038464,0.627813886663023,0.946925992297284,0.729362389936341,0.379214680927598,0.239287151440673,0.203445839738724,0.540423992903471,0.103368514301696,0.825035636150161,0.438684651639546,0.356515983888514,0.975597304462088,0.450558930428357,0.975092140038018,0.818423766438099,0.643779162337329,0.685679082681265,0.403910150681405,0.316893221359448,0.369880263142429,0.388407650854337,0.941488381968279,0.355003610269814,0.348655752208491,0.651118273337557,0.537770843334387,0.920672849764563,0.141095583572376,0.26073211998708,0.343713440271873,0.192564998159548,0.0226874183121959,0.665935231080045,0.868150640072976,0.338531917036441,0.0149341307499702,0.974572694330041,0.894598299325579,0.465731374995144,0.00506410169680027,0.7024104897888,0.228427030974627,0.0428732495573356,0.0398332428163066,0.544716178868946,0.111589558429654,0.067605761571375,0.125298404984128,0.0350299222858554,0.0435948251935723
"1,7-Dimethyluric acid",0.624232864617993,0.0172053549721651,0.654056180170549,0.480774879186362,0.652588321936306,0.787692738437549,0.49253864885583,0.113152230925215,0.678659230381137,0.743057814569879,0.270978362877175,0.73801401172505,0.489454454233188,0.588298642221833,0.0409306828726748,0.0976817693046912,0.403385324847493,0.614628835575611,0.0811527532879235,0.399058064706085,0.246233770094987,0.563684419955229,0.931423238359113,0.865815984695158,0.455616768013832,0.772547660856241,0.698838173427245,0.0890944908255917,0.560152880048,0.56507804407281,0.661077983827193,0.385259454540253,0.767820159670924,0.976578254064036,0.893444246042162,0.77669058293415,0.924764663907683,0.204304339217345,0.552101868483787,0.226114744787684,0.0707184512034087,0.279883768755074,0.303836093987899,0.953761866506054,0.22972431417293,0.0548535622311472,0.946536710648058,0.737703291921254,0.228685710164975,0.45982496196932,0.0362469427381353,0.711750108469892,0.38287999130505,0.0458419399320564,0.161954327554807,0.275339762266768,0.323523574385073,0.489701286649559,0.036378095489211,0.352738982885683,0.522436406563146,0.0828136288954076,0.260767136679528,0.421978082076635,0.643372489581448,0.0389911550841417,0.0510284705899937,0.0270467565488914,0.416510601741617,0.375714507564823,0.56201511361113,0.390730659875163,0.792965016984963,0.495465193765984,0.776684325328766,0.751959281736114,0.514366646401315,0.095955588567344,0.476995335629288,0.547170133656623,0.252249852860823,0.416975063840858,0.290203024145432,0.700520036967867,0.401953790077348,0.504565455929579,0.309491403220799,0.680347637000106,0.279500265090681,0.370603918595151,0.671749421498853,0.443611225621572,0.12395633241923,0.130170303687065,0.906121894234044,0.0732364749385881,0.0311518901129535,0.208202762112185,0.162366798211248,0.769218907577283,0.277483288260632,0.16042462801175,0.57412601753253,0.825645330537553,0.264571894416253,0.211830485666697,0.392410577182946,0.871277149259619,0.516010385287403,0.386623029053066,0.946367425222757,0.819749025099404,0.300033838440682,0.73043696861738,0.651230095789396,0.514351431807175,0.81596325861099,0.114255866178133,0.842458392564628,0.481151321066998,0.237660470885629,0.474717859212801,0.46230119577877,0.927123949384776,0.730032372174855,0.664595074511075,0.219270507828397,0.628901044553488,0.458628847186478,0.828489894970168
"10-Hydroxydecanoic acid",0.920657667330484,0.969749696296587,0.772365862705966,0.581873141730191,0.904801661973099,0.967844771986458,0.996312147050461,0.932675372265902,0.23287411460098,0.281081933054173,0.505731838185093,0.809338847230624,0.581839411557725,0.910757990791368,0.743603014971262,0.914576022347032,0.783937068628369,0.166172580900807,0.880911584851483,0.764641548063655,0.327856613583736,0.711906029838206,0.109852436467354,0.860128305632902,0.610671774493057,0.113622508588763,0.727349410050503,0.523039083798449,0.00974360961058185,0.410435312295329,0.305404134049515,0.231771849994243,0.246979199841215,0.352214161764093,0.108775021990584,0.841238034717548,0.23734692422626,0.196957873968904,0.607685408191622,0.950983305441577,0.0398029134790243,0.216578466841511,0.962676046481178,0.748373844509344,0.375692766138086,0.493789552788674,0.374456379278177,0.680628441581322,0.39153517268498,0.530068452771455,0.254172084412047,0.50329450838646,0.504565455929579,0.973857567043354,0.492095236232185,0.864585157156926,0.150225509793176,0.636539237587097,0.898839498676749,0.214033476817398,0.220511736001672,0.83037344607745,0.724846997489418,0.564958615199858,0.240342046246813,0.0320935128439666,0.773818516578023,0.117160792160091,0.952300675540655,0.0788096676482837,0.891054690284918,0.692433629095032,0.994504881024815,0.460934295599214,0.448035805461691,0.361835622578087,0.877139387327382,0.787446429174658,0.104705951479796,0.380687725529571,0.889929449755188,0.990441100305805,0.604641495806048,0.806112108690901,0.891999657100445,0.0659713082743352,0.216218530111099,0.511818140283857,0.219625515327622,0.164553683583823,0.356894764533437,0.387213120054213,0.859337994207837,0.716818954611245,0.383538124001759,0.00695275687144004,0.837135650937933,0.669571214805611,0.621440789872634,0.695519494867735,0.575185730179584,0.532771265059206,0.955741507157703,0.566511914912785,0.770745289584448,0.671275790623574,0.73634691683198,0.637078721298464,0.400885261719006,0.204846572233647,0.693405058775621,0.662042784920163,0.0428212258543752,0.763750162120438,0.597015454688532,0.449732350769569,0.400539419832008,0.262487193330078,0.872327781585129,0.314007031546413,0.656177845890124,0.33921047740063,0.300744467602615,0.594496041755302,0.760289113719479,0.40973747638902,0.386193988597299,0.316107616858116,0.220971402812999,0.663469791244982
"12-Ketodeoxycholic acid",0.124765230681201,0.962923264347348,0.204723185399059,0.293171746632746,0.81868444851353,0.952300675540655,0.870855653076396,0.290390028202372,0.319269982755002,0.504410726268551,0.197872661990057,0.847538284900498,0.20089915155752,0.158002074265036,0.400746987895125,0.480198864684005,0.995152869818569,0.414560336742501,0.38442221833012,0.464057779581933,0.956791208758014,0.170742519775069,0.193280277576116,0.791481928694448,0.861258489107938,0.985249343569133,0.344591421043236,0.707598566800053,0.226917263530494,0.233486420872014,0.946367425222757,0.296928271567903,0.0353370166958296,0.964873428606516,0.468464783229108,0.615098479187324,0.293368005163997,0.0137433349938045,0.847690863748757,0.136544382163614,0.634286493715185,0.159327600476432,0.223680157601432,0.629201550452509,0.958242675066116,0.329725795806672,0.0876735326762754,0.606101788614674,0.387213120054213,0.624480791034489,0.370761707637708,0.973730356513834,0.125847120245653,0.962498104080893,0.337476603734836,0.964410919190409,0.966614571279877,0.202970403205337,0.787687052065009,0.820622959432828,0.486677153421331,0.947177645917439,0.921969185104259,0.515205199211524,0.347179234223833,0.133007373151391,0.159384660861095,0.432478058570283,0.166143896330149,0.660482661295668,0.884259907434709,0.356628992292642,0.865239636587453,0.81980426991869,0.249946022387808,0.698674990928291,0.30892617356902,0.482483151351464,0.900404735392188,0.689785332386547,0.887795232047576,0.818834227046323,0.323592408256835,0.366090565446656,0.918167253167136,0.474633255762483,0.535749868699802,0.750692500002444,0.0421492677224831,0.575262609523045,0.837692445819145,0.830667778791159,0.491068525394991,0.153021894766787,0.110226252535919,0.25841791429901,0.259174592225041,0.858529122155149,0.736369270944611,0.30479695472359,0.281298077272195,0.419376325827391,0.30201265527689,0.284621462928909,0.57225870468784,0.325502528701052,0.897633980827041,0.710099271696343,0.587178110000453,0.487345544962968,0.294329334380303,0.277311119998448,0.499869928090675,0.47074339883784,0.945337725782168,0.758780255631611,0.79004905138819,0.898510906559576,0.764593074537921,0.264793382655158,0.463850755112276,0.570038310400508,0.812961689147203,0.804713472299263,0.180251237644135,0.514351431807175,0.932690258292002,0.876032602888383,0.211014716337049,0.57371436530261
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.239229331864749,0.547909199140962,0.431298206712683,0.148524994154476,0.0942686249872389,0.354405548731083,0.140536045572905,0.826480262343481,0.705841980247542,0.507766874234803,0.909642745964986,0.289818787164053,0.875137358208609,0.232977219848998,0.118907204437077,0.153237228220729,0.86543581627443,0.346273894934089,0.984743575692347,0.286014564183592,0.152686506830645,0.498446851668513,0.138416654032935,0.0828309433739951,0.158685216806185,0.318172987251132,0.291504531786109,0.550492432234562,0.997924932676242,0.177036264418942,0.921080524446623,0.938471303609377,0.190856369962044,0.111413183624621,0.890063925640727,0.026621652262554,0.322257477796018,0.633543392583928,0.534121972544288,0.683314264913286,0.794966734128195,0.536206337884627,0.792115751659803,0.499338747281628,0.275534744599618,0.686737116414473,0.0761043858522443,0.817202329244477,0.846280113623942,0.483537965205262,0.569293522578085,0.789441812993777,0.699702512319643,0.0154144519897459,0.0708258230611412,0.000546534039293389,0.274572822290111,0.961711727173317,0.387424450317742,0.778921460624652,0.463392672967957,0.921447611654638,0.096945591335819,0.895764924187348,0.478868794781656,0.508943800189981,0.410169061340732,0.0866440476258616,0.249266916350077,0.2493452259241,0.565356191461552,0.306010104858644,0.50117455029588,0.00139183255601738,0.256520554066073,0.53256091560313,0.551288094104308,0.0977934441421977,0.205821402534824,0.000854576472091306,0.966079691475592,0.709084954969476,0.696421632593994,0.787669106449726,0.404746655708216,0.00320581923450192,0.327538360687067,0.290415441611074,0.433507918602722,0.691838312048681,0.51141466858007,0.313638080011454,0.298372014375499,0.096304757483699,0.481724786592601,0.0579187216606987,0.676202740107025,0.618424378565942,0.0930001995628256,0.811378575433679,0.514931775762061,0.0981840892457853,0.863182330842199,0.909970014571094,0.382472789029638,0.421929024512429,0.893718820399313,0.00284953351991701,0.852479838183637,0.113161649965872,0.569525789569588,0.219868719153142,0.305196040793127,0.0777644928217556,0.874498386589195,0.23420935660485,0.688852235520844,0.923535607368697,0.577667000261212,0.908459550013746,0.972033747117622,0.394362093287478,0.808537705210914,0.422014563295731,0.874315357968977,0.373979163212523,0.0686669771522033,0.584860395465279,0.128187139766428,0.152601245870614
