"","Adlercreutzia equolifaciens","Agathobaculum butyriciproducens","Akkermansia muciniphila","Alistipes finegoldii","Alistipes indistinctus","Alistipes inops","Alistipes onderdonkii","Alistipes putredinis","Alistipes shahii","Alistipes timonensis","Anaeromassilibacillus sp An250","Anaerostipes hadrus","Anaerotruncus colihominis","Asaccharobacter celatus","Bacteroides caccae","Bacteroides cellulosilyticus","Bacteroides clarus","Bacteroides dorei","Bacteroides eggerthii","Bacteroides faecis","Bacteroides finegoldii","Bacteroides fragilis","Bacteroides intestinalis","Bacteroides massiliensis","Bacteroides ovatus","Bacteroides plebeius","Bacteroides salyersiae","Bacteroides sp CAG 144","Bacteroides stercoris","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bacteroides xylanisolvens","Barnesiella intestinihominis","Bifidobacterium adolescentis","Bifidobacterium longum","Bifidobacterium pseudocatenulatum","Bilophila wadsworthia","Blautia obeum","Blautia wexlerae","Butyricimonas synergistica","Butyricimonas virosa","Butyrivibrio crossotus","Clostridium asparagiforme","Clostridium bolteae","Clostridium citroniae","Clostridium innocuum","Clostridium lavalense","Clostridium leptum","Clostridium sp CAG 167","Clostridium sp CAG 242","Clostridium sp CAG 253","Clostridium sp CAG 58","Clostridium symbiosum","Collinsella aerofaciens","Collinsella stercoris","Coprobacter fastidiosus","Coprobacter secundus","Coprococcus catus","Coprococcus comes","Desulfovibrio piger","Dialister invisus","Dielma fastidiosa","Dorea formicigenerans","Dorea longicatena","Dorea sp CAG 317","Eggerthella lenta","Eisenbergiella massiliensis","Eisenbergiella tayi","Escherichia coli","Eubacterium eligens","Eubacterium hallii","Eubacterium ramulus","Eubacterium rectale","Eubacterium siraeum","Eubacterium sp CAG 180","Eubacterium sp CAG 251","Eubacterium sp CAG 38","Eubacterium ventriosum","Faecalibacterium prausnitzii","Firmicutes bacterium CAG 110","Firmicutes bacterium CAG 145","Firmicutes bacterium CAG 83","Flavonifractor plautii","Fusicatenibacter saccharivorans","Gemmiger formicilis","Gordonibacter pamelaeae","Haemophilus parainfluenzae","Harryflintia acetispora","Hungatella hathewayi","Intestinimonas butyriciproducens","Lachnospira pectinoschiza","Lactobacillus rogosae","Lawsonibacter asaccharolyticus","Methanobrevibacter smithii","Odoribacter splanchnicus","Oscillibacter sp 57 20","Oscillibacter sp CAG 241","Parabacteroides distasonis","Parabacteroides goldsteinii","Parabacteroides johnsonii","Parabacteroides merdae","Paraprevotella clara","Paraprevotella xylaniphila","Parasutterella excrementihominis","Phascolarctobacterium faecium","Proteobacteria bacterium CAG 139","Roseburia faecis","Roseburia hominis","Roseburia intestinalis","Roseburia inulinivorans","Roseburia sp CAG 182","Roseburia sp CAG 303","Ruminococcaceae bacterium D5","Ruminococcus bicirculans","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus lactaris","Ruminococcus torques","Ruthenibacterium lactatiformans","Slackia isoflavoniconvertens","Streptococcus mitis","Streptococcus parasanguinis","Streptococcus salivarius","Streptococcus thermophilus","Turicimonas muris","Veillonella atypica","Veillonella dispar","Veillonella infantium","Veillonella parvula"
"(15:3)-Anacardic acid",0.109265263657147,-0.182425595964338,0.0158797833971861,0.109303087152256,0.218553329989222,-0.134516582254857,0.0401631274433188,0.243161219029389,0.341641512736291,0.162075518561953,-0.0936374067476517,-0.152178396242559,0.155369825432798,0.0606508031394553,0.350101720712391,0.198452770936289,-0.0825624013217354,0.140755181592533,0.0105499407935687,0.103997864889565,0.231307451898994,-0.251303424567107,-0.0672558725590006,0.287999949524241,-0.247458794243292,-0.165242581481083,0.0372917122354935,0.157765468505939,0.25009322972823,-0.0584655223591229,0.24331983805668,-0.0635742445681491,0.280243304931371,0.235270302453453,0.120977108136841,-0.15646968847885,-0.0656695722285873,0.0348354475033424,-0.0107287449392713,-0.0868476258826774,-0.088234865969054,-0.150629922189129,0.129086696199785,-0.0466130575317739,-0.00990393958402941,0.0585861398856103,0.309669782597215,0.11789558836813,0.0774805538909685,0.0733470169985266,0.0490348145496794,-0.0111875136706481,0.0405577317819133,0.160595342380485,-0.214781383995476,-0.375314143731207,0.0860066120908,-0.017707016365162,0.0959129523765236,-0.0985552882300492,0.153548895398785,-0.0219303426039709,-0.0518987442096951,0.0385005263463199,-0.218623481781377,-0.0784196144358078,-0.0415965462529235,0.0958110145127295,0.247080058285721,0.0515661034282385,0.164872411188198,0.14752874935671,0.046011227366152,-0.41317143800077,0.0249903904091761,0.232053625228064,-0.111829372411828,-0.104418093378652,0.00507227529549621,-0.378744939271255,0.0792107476821521,-0.215259864106698,0.237824200950399,0.0386835492624325,0.0321862348178138,-0.39726298280384,-0.197635842947429,-0.243717373227918,-0.123349509702017,0.244855649269848,0.209430001781037,0.228072056845492,0.160780011765159,-0.156838986273956,-0.0804432985509615,0.266599190283401,0.195115658341625,0.0981818609273661,0.358777087734526,0.103234212710076,0.0376707723919309,0.188861245368478,-0.0396210989020078,-0.10379748841939,0.239594967421244,0.0668406343494775,-0.00245665520099454,-0.325072716011615,-0.187256440343059,-0.166895066282573,0.0477732793522267,0.0209758758892983,0.0633389193519986,0.243130955475494,0.117556836516635,0.119450725042313,-0.237373667855296,-0.0377544323705749,-0.0412100730517429,0.151728326526619,-0.050903464328969,-0.172976172907712,-0.156586354391545,-0.225677970801966,-0.149275846882301,0.188538441688408,-0.46182365823847,-0.233790431894586,-0.27997470109109,-0.379438922012042
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",0.0451243993307532,0.230017719685945,-0.176551627625324,-0.211874174044327,-0.323286684879599,-0.147760491895646,0.0494732766225053,0.0563352001189513,0.0847054447831714,-0.124503247932668,0.0187147187518446,-0.222098486799894,0.202709127713156,0.0356419664584623,0.0149540810274745,0.162321024290485,0.0581541337442061,-0.0824260780183321,0.206525542996107,0.0152113418999166,-0.0596101822696299,-0.208522021352209,-0.260596726028293,0.113269029495113,0.0668070719664626,0.176790458858514,-0.040162338042796,-0.205647909096547,-0.202968891271077,-0.0752172650896598,-0.02479882588327,0.169641298481053,-0.0143877669368545,-0.299063531669138,0.148575897627092,-0.148513822881276,-0.1065299375105,0.172008727163129,0.0537476593633322,-0.00807681840955498,0.0118744344195962,-0.0901389087714142,-0.0352854827090279,0.108517947927363,-0.0204279092192948,0.281851729952702,-0.181323427880013,-0.0676549192573454,-0.122994614113869,-0.211963041687559,0.0281510404438475,0.27884137555427,0.214713358956144,-0.114261940317978,0.228210416922457,0.197557639468818,0.119210984303607,0.17548995373463,0.251964732924709,-0.0922228099034773,-0.105021791677018,0.0239078334193808,-0.131820777361508,-0.0521809857216905,-0.0934257807765642,0.060051625005919,0.15698538721252,0.089648075988384,-0.0526255502818434,-0.143361022826584,0.388059361515136,-0.111843605633354,-0.00632168224960908,0.31845599635587,0.0716597460356907,0.0600564775494845,-0.0936354632996399,0.149285621178713,0.29462956752726,0.12622096276097,-0.147424360183439,-0.15401664308846,-0.0369003432862255,-0.112714579530505,0.403360494468698,0.137244170648001,-0.0458082513643122,0.10380274172751,0.216302877744773,0.172065729183626,-0.169021338592311,0.276684591195497,0.198785665604345,0.0267490878262647,-0.0166169977123305,-0.0926160231967023,0.118541816720979,0.0092823683844551,-0.0976967867504122,-0.0356470833368469,0.128214224839083,-0.259722768479679,0.00027420833336036,0.237201233716952,-0.106638321873874,0.0195350344926445,-0.162249815129827,0.228758811963571,0.0684279785403381,0.0634760626713324,-0.00576952275651588,0.156024541682045,0.117224062511554,-0.119641921886352,0.174431552627802,0.00516569818717481,-0.12330867350023,-0.154398417726768,-0.0503478589534025,-0.0269258022067011,-0.0727982756921144,-0.141428804679275,-0.00117917379069121,0.0753453579045354,-0.317551501833143,-0.103206345031263,-0.158916525740938,-0.159849329302074,-0.0547929040441003,-0.0668591539321916
"[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid",0.109053918853168,-0.118040091506337,-0.131834174914894,0.211609965572132,0.277829055334805,0.0015065857212544,0.139487179120606,-0.206484401825789,-0.0741641718039636,0.220594820839189,0.123250408003132,0.190678922588879,0.204330904875907,0.00521055009789135,-0.130956416231486,0.0023247928437691,0.127698003668124,0.224759180469004,-0.0300673312616708,0.200685222269887,-0.378215377449438,0.0251984463658075,-0.208625079192821,-0.20182844970437,0.0128311967385411,-0.0567383863881805,-0.163796674511283,0.187714967011551,-0.0934083147177727,0.0107592801563664,-0.011336032388664,-0.279138588989018,0.105572495928593,0.1366673443684,-0.204222564613069,-0.111487343372825,0.206331328192117,0.056911399700228,0.0406882591093117,0.151458903109404,0.210658183485282,0.0828261566754242,0.0367179935857167,-0.264871844562903,0.163167404646885,-0.00219553581425364,0.205803135609992,0.0923119819437263,-0.0458275628240942,0.08500028138147,0.144834313345812,0.0261041985648455,-0.33683196244879,-0.0511735525647068,-0.162737811536563,-0.0129236774721217,0.451561357408575,0.170486785772265,-0.182131477308538,-0.0639798218859682,-0.258154080389207,-0.00382505975650655,0.225547372634587,-0.130699155228297,-0.314372469635628,0.0259113760985449,0.0596712359937772,0.0966715924873947,0.107828492335493,-0.0348586859174892,-0.112117305512073,0.0384284508633628,0.0390680917050434,-0.151773127544177,-0.0257554023604774,0.0520208126884891,0.0474747335710592,-0.157188527666788,0.0295882725570612,-0.161740890688259,-0.0234615754770831,0.197413345178711,-0.21975772731597,-0.060354438116256,-0.247570850202429,0.0607352033434151,-0.047705203470069,-0.229137851793748,0.10843282480782,-0.0722502391742495,0.113188750349535,-0.102632425580471,-0.0888688883428355,-0.00790273961845514,-0.219702517026068,0.048582995951417,0.26232668887684,-0.103957264511329,0.124721606119903,0.0102822921025972,0.312459412723255,-0.247613559589673,-0.370710904605637,-0.321728693140605,0.187544327837762,0.171298555937498,0.134501872254451,-0.173674636346307,-0.0639708488090884,-0.273561900869005,0.054251012145749,-0.377839960463438,-0.133532700105729,0.277409923054205,0.0382505975650655,0.00344362450572434,-0.0706846033169104,-0.0363400011866628,-0.146366811183777,0.285439546901312,-0.0675196210788398,-0.129086696199785,-0.250679660720199,-0.221286899173459,-0.0759349489669842,0.31380028308413,-0.233153691537869,-0.114603152889503,-0.304357743706605,-0.274969411476719
"1,3,7-Trimethyluric acid",-0.384937236341332,-0.00938088933389854,-0.0974410124425757,-0.0454122939706336,-0.280719261356344,-0.095065648549326,0.144798144970891,-0.101187139915163,-0.162942590255138,-0.0490283836866236,-0.0512396099412576,-0.0427698220259966,-0.113367742598447,-0.327896995708155,-0.176029498920375,-0.105536777628913,-0.131708523229321,-0.206296063510864,-0.0222676506686471,0.137670030529675,-0.178141205349177,0.380518435650999,-0.197150175432169,0.0502985340184811,0.276593472174679,0.0510666168573677,-0.0912636780672693,-0.27679688677924,-0.136726119242271,-0.0319793250530864,0.230097892322882,0.156594117140116,0.136028897370487,-0.166771365935974,-0.000728412859945369,-0.0232678160785064,-0.0581562515035761,-0.15024410753784,0.119008964235838,0.0514049667852093,0.00990675298014002,-0.121019798730307,-0.360329084925788,0.035430143513101,0.198079497680388,-0.0334321079859437,-0.110170950542174,0.112424480205121,-0.287055955574074,-0.224296804949472,-0.130423395020428,-0.00708844101493354,-0.0788190389605251,0.103191821825594,0.101935771090196,0.0423628476135238,0.106877867251203,0.0768983816518296,-0.0734803001444894,-0.257023144265977,-0.306731879896289,0.125894307368164,0.159297361635368,-0.141453362603052,-0.259693816878905,-0.0372651708663692,0.0178449997910259,0.0815170716717357,-0.25528118211847,-0.0590390850871909,0.0649919033336874,-0.0634728154807937,0.130596874154377,0.287913923882319,-0.199803061328827,-0.149524104371573,0.109437356334937,-0.081446484575099,0.114458443366614,0.0812845815271051,-0.366598308761439,0.184882848153914,-0.0899589558661738,-0.0205399647362626,-0.0077116141448792,-0.104813662405784,0.0631510735833165,-0.00504105574795468,-0.246027973559985,0.0189148973336874,0.0433586791304892,0.231422404551117,0.183787310026516,-0.0396403228533627,-0.175697194909935,0.0535644550063231,-0.130433009622934,-0.298168616771281,-0.0473213750843326,-0.0297839055030451,0.163234349312152,-0.212453403812215,-0.0369828589658664,0.173412317729641,-0.0636009060361431,-0.13913261756316,0.10138613156271,0.14908430838564,0.23469505398964,-0.0501101174848371,0.186329271500595,-0.284429239756568,0.109395861444834,-0.143045013893373,0.0564489595081442,-0.118998259372933,0.023896990961475,0.0522029328565973,-0.217166789085992,-0.0813929117077749,0.0198236402294054,-0.0215606747537562,0.0337497958441354,0.0753114745733179,-0.187930517865905,-0.0912984783270916,0.0649020549976423,0.0317968019603118,0.104849856679225,0.0347210129907293
"1,4-Butynediol",0.284590181259294,-0.00789673509485197,0.155288693902866,-0.150476800326289,0.0153896690830647,0.329205640720161,0.185652295779298,-0.0794366850598162,-0.28137203368764,0.156059370680579,0.180360531267777,-0.0529915641406682,0.210597700852826,0.222397533398709,-0.0295508973205042,0.0414256780741341,0.104409294877926,0.112130088796456,0.0331021144904361,-0.066269567036846,0.0142431408962832,-0.0312158714599115,0.0184633307914783,0.0506500799519454,-0.225473867886811,-0.00663043913497494,0.147740029228857,0.153174675410788,-0.166163291687456,-0.272345374137054,0.0238878486059254,-0.159501352367421,0.286640793410995,-0.0365477098620713,-0.0337243704137686,-0.100731114649909,0.237601520856752,-0.0928654711855104,-0.196568652511471,0.0197200241687836,0.243937734671531,0.0386744642363838,-0.312118741361158,0.130934479179572,0.143119170045483,0.168775912913457,0.179634453834557,0.136892409725389,0.213055661710246,0.11441342709461,-0.0677668191329716,-0.218884742333238,-0.108497423415856,0.0431577607392983,-0.0661251118966853,0.0150344265016323,0.0838793425542589,0.214311146604774,-0.137379052089935,-0.167004912491509,-0.101799843760034,-0.189860074461109,0.177411289713527,-0.296671701345844,-0.15395515987124,-0.111877000011027,-0.0432081231365689,0.0816156083798248,0.307789516985832,0.102828014214464,-0.359647418740158,0.0521193230240652,-0.210895465212368,-0.164952708261965,0.0142171916067251,-0.0513859032960558,0.0156938311727565,-0.137904187495686,-0.102084706682688,-0.126929500643349,0.0206137131139405,0.0392202610439856,-0.255546360766433,0.18598411977338,-0.0328964016818888,-0.146218022958564,0.170663668192651,-0.302213957178364,0.0248145874335847,0.0567611250055946,0.0599355521535177,-0.109725264497598,-0.202674673173897,0.268504101286369,0.0445757557679976,0.0505086290438847,0.277615972836245,0.20885328865024,0.286712228059241,-0.0103513645843536,0.0247876982676731,0.0717160129794181,0.143890822930849,0.027909227728623,-0.00440528680105747,0.0632686395637106,-0.129697486289899,-0.369541399127807,0.0452474946856969,-0.18429352061525,-0.151930765921585,-0.229580927105962,-0.320412437531581,0.209316607171189,0.0784814478380206,-0.0495046076270919,0.00105504747379876,-0.173929436741535,-0.131554083071794,0.257313493268549,-0.362145045381424,-0.14501472771881,-0.133246638348107,-0.228520621558618,-0.193502419052427,0.0265818219215037,-0.133199743567093,-0.26124809253105,-0.442216029235501,-0.363657197049169
"1,5-Anhydrosorbitol",0.206187726540855,-0.273362358392055,0.180930611169426,0.243269620039404,0.370199868257223,0.0322872478466295,-0.0516435340557392,0.160603978020083,-0.00962610593811222,0.160657483639424,-0.0470291094881191,-0.194244685088012,0.252936778107542,0.176134421581619,0.268523557813249,0.278369283295034,0.00256986124425858,0.0514487257699591,-0.00290152740995845,0.319926042052372,-0.00672626808672185,-0.227603600866052,-0.113291456597923,0.203263455153748,-0.238317776169002,0.310307506480596,0.259060192368571,0.176767098059899,0.399500880022295,-0.1604919235026,-0.0308735703575854,-0.196015079423163,0.169824774234485,0.145894503127019,-0.0160375752742803,0.0712471935815623,-0.0525135537432934,0.0576260934463399,0.198198199213614,-0.083080051486337,0.0519020946353342,0.0460868648135235,-0.0328487176369893,0.108180662933312,0.259261861019145,0.209001498230436,0.252996988920071,0.230011991043979,0.323010437201145,-0.0209094437228518,-0.0110112465256893,-0.393610834916588,-0.193530666880034,0.0682776182632965,-0.163923351236883,0.0960141797477159,0.095767984763316,-0.0314444875011951,0.0334182176033791,-0.00628708480301918,-0.0678699976577813,0.0117313706990815,0.226331898672268,-0.0273584063504242,-0.196173702796723,-0.0789759972745091,0.0451912986017134,0.0632588841830231,0.303500129758317,-0.0381627793618836,-0.189896942704185,0.132535803831388,-0.0204169580197852,-0.476238925359236,0.026714371320191,0.138991239804335,-0.0627785021427373,-0.0491008672526792,0.0641496412149149,-0.393157204160202,0.0801126309623219,0.011017484895123,-0.0572162912580597,0.144774166224153,-0.192934508529697,-0.208183630654813,0.101062586757908,-0.264743033398859,-0.0365782663643331,0.127650440039181,0.151721150514043,0.00506285951725933,-0.124390783879935,0.00516769897730235,-0.0379836315485469,-0.0764247397376294,-0.0669122986936045,0.137489148349705,0.164523641624848,0.147600106017377,0.142030877149685,0.0121481181226713,-0.152193328081085,-0.154188605970482,0.0747417521325111,0.101722052266087,-0.0164817302490903,-0.24001293939217,0.184542187815473,-0.15575745576512,-0.213179472698606,-0.36409854299038,-0.0713663308704549,0.0274713573115135,0.157417142695827,0.387016477521598,-0.00527550438174263,-0.0219259026838759,-0.120292807938382,0.439995951365855,-0.063174164971368,-0.197379194185578,-0.325940132780227,-0.330577155481428,0.0999989987690421,0.258836103570479,-0.295692020596674,-0.249679193404905,-0.338528269097357,-0.324878822651782
"1,7-Dimethyluric acid",0.0809450599239603,0.37942904199464,-0.0740701306110359,-0.116299295884636,-0.0744055433533719,-0.0445518920428086,0.113221768792594,-0.257750892171152,0.0684904100266112,0.0542164124039098,-0.180694146549641,0.055319177329186,0.114024913903062,0.0894130396798156,-0.328871062430123,-0.269041935465278,-0.137641242798888,-0.0831874350963843,-0.282738413267642,0.138899642675633,-0.190162682804076,-0.0953454727354878,-0.0142424200713178,0.0279622164819531,-0.123016552858394,-0.0478132469563319,-0.0639696294501158,-0.275912702768235,0.0962062596286737,-0.0950064738335748,-0.0724696356275304,0.142966004531244,0.0488348781550689,-0.00485928335532089,-0.0221673453506103,-0.0469193838904941,-0.0156290839959477,0.207797494990868,0.0981781376518219,-0.198344034473603,-0.2925466901851,-0.177426619937061,0.168960142359274,-0.00959680596242404,0.196840799232584,0.309917213359382,0.011098410595615,0.0553871891662358,-0.197271671598601,-0.121879435722785,0.336433310938078,-0.0611010362012317,0.143675764837428,0.321662330406728,-0.228402162724957,-0.179085244970829,-0.162314832979292,0.11396054122194,-0.336210994352115,-0.152902648817813,-0.105564865586664,0.281269394095115,0.184528868301138,0.132320230021826,0.0765182186234818,0.331912389071837,0.314697680282534,0.3539844069123,-0.133870902660034,-0.145828940495058,0.0957520415162037,-0.141343695259968,0.0434205051045443,0.112462063801092,-0.046920733013147,-0.0522758166722562,0.107609396094401,0.270384681681377,0.11729636620835,-0.0993927125506073,-0.187804325604651,0.13373872826281,-0.173723944213554,0.063594944860753,0.138056680161943,-0.110114241787895,0.167024073039235,0.0681103016253022,0.177565922105927,0.147379520137226,0.0700496621945401,-0.126292237085004,-0.250541414051179,0.246606002965639,0.0195173904681021,-0.290080971659919,-0.345627632782607,-0.206058149299241,-0.228183847560277,-0.0485324187242587,0.178300619020703,-0.229215343544628,-0.0928148233794439,-0.0364488035854253,-0.183088631064079,0.204459800886076,0.140848231523687,0.026814373782684,0.107191659634216,0.142560427213425,-0.0111336032388664,-0.037701737709523,0.170274757219009,-0.0569802706109701,0.0747161672437613,0.107613265803886,0.0385072838965258,-0.256991265876939,-0.0328868563270067,0.11620021271018,-0.193591413561986,-0.117899182529137,-0.12121293095972,0.0151376416666961,0.0570691231366776,-0.0716704350253878,0.201240120637323,0.0798603023293168,0.122202072402463,0.0358450690775826
"10-Hydroxydecanoic acid",0.0164848947103627,-0.00627657433395615,0.0478525016465542,0.0909507135209405,-0.0197931180786825,-0.00667202247984091,-0.00076501195130131,-0.0139817700941899,-0.195542146969467,0.17699220345615,-0.109814879655738,-0.039918966790658,-0.0909588053654195,-0.0185495583484932,-0.0540973504307775,0.0177529635342367,0.0453590459223607,-0.226188167084157,0.0247923608648865,0.0495227928045549,0.160886597101923,0.0610665051567767,0.260056040561469,0.0291590428683402,0.0841156230637693,0.257426521612891,0.0576587243025707,-0.105412801826838,0.408930410054765,-0.13560753102741,0.168421052631579,-0.195995238836096,-0.189868385192114,-0.153067425692608,0.260820042103989,-0.0331448858675968,-0.193718383212931,-0.21113926757113,-0.0848178137651822,-0.0101741783944682,-0.330624845800516,-0.202396270111269,-0.00774520177198712,-0.0530566272494015,-0.145835510374833,-0.112896762659253,-0.14620949610745,0.0680471181185182,0.141106263207211,-0.10364550439418,0.187058736985814,-0.110440840082038,-0.110114241787895,0.00542392492621316,-0.113337076741579,-0.0282210916227963,-0.234786327677859,0.0780924824309709,-0.0210389701987213,-0.20349841921575,0.200710341842697,0.0354455537436274,-0.058209283337918,-0.0950355097706528,0.19251012145749,-0.34383984791085,-0.0475389100033412,-0.255017939825798,0.00990042045395748,-0.284851155337589,-0.0226674153483157,-0.0653993424983352,-0.00113991779510737,0.121580609514694,-0.125079454037764,-0.15006984444694,0.0255836064244041,-0.0446047964872638,-0.263758315365803,-0.144331983805668,-0.0229029665371526,-0.00198294654755402,-0.0855350559641351,-0.0406076001419776,0.0224696356275304,-0.297389568290879,0.202551601618818,0.108258386768651,-0.201088386746777,-0.227033009625346,-0.151603081230412,-0.142385171937186,-0.0293254581332169,0.0599797673605826,-0.143479194792535,-0.425303643724696,0.0340128548466089,-0.0705424294898303,-0.08159546634143,0.0647098916323449,-0.0925591677482718,0.10296902129078,-0.00918551427832015,0.0946580869233433,0.0482025378243924,0.0701567588443353,-0.0556841845558763,0.0779679483834966,-0.138367326458898,0.207554192393941,0.0651821862348178,-0.0722502391742495,0.326017208266348,-0.0497158536406472,-0.0873388644402329,-0.1246161618009,0.138467972915589,0.183876053908563,0.0265936924619622,-0.165494205384271,-0.0735858370351418,-0.15719891003885,-0.170028255295639,-0.0879369870866852,-0.0504660840960703,-0.135807941444504,-0.142687949233017,-0.164787270365327,-0.200514668097,0.0719259609780441
"12-Ketodeoxycholic acid",0.250020903107167,-0.00769386531259141,0.207609517165896,0.172674543061496,0.0379281739099361,0.00990042045395748,-0.0269029202874294,0.173657637256822,0.163728554146455,-0.11015398075715,0.210718439489225,-0.0318135928230117,0.20933581521898,0.230514736330713,0.138407560724782,-0.116450986992434,0.00100549609187499,0.134426812296857,0.143215446272695,0.120741285313962,-0.00896744967453341,-0.223834847898074,0.212845055510249,0.0437385643025104,-0.0289211101090926,-0.00306004780520524,0.155477754089519,0.0620214024171331,0.19800840907915,0.195291085102348,-0.0111336032388664,0.171356416778584,-0.33799409445085,-0.00728892503298134,-0.119562171199568,-0.0830774412005997,-0.172605410095598,0.391392455233774,0.0317813765182186,0.242711843348449,-0.0786129664318254,0.229801983717108,0.199367230797446,0.0797905867161541,0.00866594713602573,0.160274114440516,-0.27709836019704,0.0851907719080674,0.142385171937186,0.0808873645404312,0.147331456679361,-0.00545032717287982,0.249328656129312,0.00778215315500149,-0.157757079016081,-0.0073849585554981,0.00692742228736307,-0.208397961836138,0.0445531133619981,0.0375159018982698,0.114750379864985,-0.0109651713019854,-0.0162115574156071,0.107396205071313,0.154655870445344,0.244855649269848,0.229771398349482,0.129373555524674,0.226203084719768,-0.0726050736269598,0.0240904817827392,-0.151685916864356,-0.028083429315827,0.0376899889495553,0.188702947987656,0.0640059999255429,0.167216561578064,0.115849986299873,-0.0207117907899428,0.0659919028340081,0.023349853689097,-0.0378963117976991,-0.162292051292333,0.148759512739564,-0.017004048582996,0.117921605155913,0.102225436007291,-0.0525515586022699,0.327019630372789,-0.0925406289233746,0.0338949978360678,-0.0353831415293006,-0.113604274768245,0.233232135919022,0.25979229204163,-0.185425101214575,-0.185135838656093,0.0294958111609524,-0.0556792884463852,0.168629590482594,0.176913964822227,-0.133056711618589,-0.169589271078836,-0.175715874001379,0.0932658347400533,0.161661069124318,0.0212910117419527,0.0614667952864603,-0.089680651969703,0.114575592283905,-0.172267206477733,0.178363493673052,0.111322949164119,-0.118954827889037,-0.0113476772776361,-0.050793461459434,0.0440460028131494,0.0211076653599179,0.0495332897764792,0.183005213048785,0.120796822086362,0.0938029992385106,-0.0391465885978863,-0.0409062988550415,0.219079402454436,0.107613265803886,0.0139786715514785,0.0258158681245828,0.204817557970326,0.0929141922142602
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.192957806032835,0.0992103685044682,-0.129702660364936,0.235741815982371,-0.271714950797411,0.152380384378302,0.240341254700495,-0.0362715485052172,-0.0624113795508765,-0.109293402782485,0.0187823202407442,-0.173860271606013,-0.0260037733042288,0.195499839672884,-0.253849265134611,-0.233113318788847,0.0280421687845136,0.154942977271548,0.00316498223807061,-0.175216357398973,-0.233417440057708,0.111690410918714,0.241593644172724,-0.281254200800968,0.230146862135737,0.164095063554131,0.173263032232601,-0.0985739399633522,-0.000430453063215542,0.220666745848495,-0.0163967611336032,-0.0127756855113027,-0.213981872745862,-0.258959308810642,0.0228748138192468,0.354908550621215,0.162734409677105,0.0787848202255825,-0.102631578947368,-0.0674432650272482,0.0429914660174045,0.102111658842496,-0.0436026173830386,0.111460046392153,-0.179013707981332,0.0666749560433868,-0.287352326508206,-0.0382435353766866,-0.0320792939768659,-0.115572963233192,-0.0939833945535522,-0.0441763360328154,-0.0637770332270586,-0.385334492584013,0.292440152274011,0.528288285237953,0.179366949378955,0.00794545606129065,0.142322445461938,0.0464386028902907,-0.120919755126543,-0.0163202549610946,-0.269612344133385,-0.0216818753634538,0.116801619433198,-0.10899229628753,0.135683972301203,-0.277966685816871,-0.188968894751623,-0.188938202961066,0.0949388606965332,-0.168213192565485,-0.110986541687272,0.494022543328042,0.186152908149985,-0.10302160944191,0.0983781979000283,0.268955695066224,0.207117907899428,0.512348178137652,0.00703847264312494,0.0616916703683473,0.0645085386268895,-0.0445569677368333,0.137246963562753,0.460127467065806,0.160991096487985,0.173648628424892,0.129086696199785,-0.0655324750005527,-0.108361280960762,0.165618680531726,0.170852669123959,0.270111587471813,0.116049348729256,-0.306275303643725,0.0690440586407211,-0.0822995010714686,-0.272727278317385,0.0394840016739732,0.107465700381889,-0.268654613298648,-0.0285162234312029,0.0187140125871437,-0.143797486787053,0.132334093122919,0.0221098968089509,0.465126252922711,-0.0307707880347514,0.257744385474059,-0.0939271255060729,0.200984536298766,0.168492493254559,-0.285809405176141,-0.0261379083361281,0.194995237636641,-0.0662008784796437,0.0158851502193197,0.0919613945440371,0.0190293031267541,0.00580246743646279,0.140274209870433,0.0400898798894016,0.132309921437917,0.0261763333395505,-0.146354041493284,0.294607096660406,0.0902349035382613,0.247846456703588,0.233464594650045
