"","Paraprevotella xylaniphila","Lawsonibacter asaccharolyticus","Anaerostipes hadrus"
"Naringin",0.174494793257686,0.212226570330706,0.170328264726088
"Aconitic acid",0.336757539067112,0.54387244080805,0.123284990693197
"Halometasone",0.149993418569937,0.0740744354711134,0.881244090265396
"Pyroglutamic acid",0.461518194011485,0.863882973126897,0.0300785550038394
"Mannitol",0.175974934137587,0.599595439948504,0.226031183530338
"N-Methylalanine",0.529028296694849,0.804592507840637,0.0253931794611857
"Glutamic acid",0.53250387466055,0.936570112543857,0.0218748057032525
"1,5-Pentanediamine",0.115831659881164,0.20292161467486,0.0350359128629805
"N-Methylglutamic acid",0.778323531748868,0.483038057728286,0.0119615667761761
"3-O-Methyluridine",0.0463712735367807,0.10398396452183,0.0762766411594702
"2-Hydroxycinnamic acid",0.348360957090366,0.125668116550132,0.172187021353476
"2-Hydroxyisobutyric acid",0.407924893362698,0.719572086232748,0.402867714823302
"Indolelactic acid",0.23931754482042,0.45975597897009,0.18791138789011
"N-Acetylserine",0.424519951370189,0.654515295665703,0.0249872165024532
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",0.111582678605403,0.351819076648833,0.0828283495761801
"Glyceric acid",0.166987804678788,0.11913436133572,0.136470917112302
"trans-Zeatin",0.0709147163125419,0.0791969202198417,0.614222128302493
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",0.70384264216019,0.448813360463791,0.0993324033755796
"gamma-Aminobutyric acid",0.624683571155919,0.924890615117041,0.204972898760213
"2,6-Diaminopimelic acid",0.923524029914409,0.14556863418331,0.0954765408549996
"N-Acetylserotonin",0.352133631224421,0.418377443544606,0.262959396595438
"4,6-Dihydroxypyrimidine",0.689071074113932,0.922945474686168,0.0518258784327377
"Methyl-4-hydroxy-3-methoxybenzoate",0.792993705121267,0.461287892603915,0.0780722028720899
"Desloratadine",0.682736327284232,0.884138478284276,0.148980756824295
"2-Hydroxyquinoline",0.211131885187105,0.752872932703803,0.289248271989025
"Glucuronic acid A",0.116011148654824,0.084927130346381,0.221228443635159
"Epicatechin",0.0755157638194031,0.00765894491589236,0.643458968880576
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.909970014571094,0.096304757483699,0.289818787164053
"4-Acetylbutyric acid",0.93555386378334,0.821710440663373,0.30431760130876
"Indoxyl sulfate",0.0865831855482058,0.916132575591978,0.0768508839683584
"2-Deoxyribose",0.362289260813577,0.421978082076635,0.0295700080787409
"N-Acetyldihydrosphingosine",0.179930535312014,0.504891784215657,0.446012254262182
"Galactonic acid",0.595057761533718,0.175001630586219,0.0123938426516688
"Orotic acid",0.59735000294229,0.804592507840637,0.0321853202973807
"1-Methylxanthine",0.29318632473115,0.40496618030098,0.962893214784477
"2-Propanamidoacetic acid",0.804433171836084,0.732452655966388,0.080527884544064
