"","Paraprevotella xylaniphila","Lawsonibacter asaccharolyticus","Anaerostipes hadrus"
"Naringin",-0.221936189599861,0.204286441487432,-0.224046290738449
"Aconitic acid",0.157989078604135,0.10020775704612,0.250975342975976
"Halometasone",-0.234916267704082,0.289275173272673,-0.0247226417788204
"Pyroglutamic acid",0.121423477018909,-0.028368808886762,0.347720543212026
"Mannitol",0.221195276684088,-0.0867275014538154,0.198379027858143
"N-Methylalanine",0.103906290818153,-0.0409321385366138,0.357649626322393
"Glutamic acid",0.103035871628053,-0.0131712326974252,0.366160268988421
"1,5-Pentanediamine",0.255916193441408,-0.208419975979645,0.338517812225569
"N-Methylglutamic acid",-0.0465674266703344,-0.115704213388151,0.398581764859007
"3-O-Methyluridine",0.320923244746747,-0.264288696497452,0.287191014522154
"2-Hydroxycinnamic acid",0.154281801445173,0.249442883854315,0.223100418459464
"2-Hydroxyisobutyric acid",0.136329405649367,-0.0593718643130091,0.137791357449987
"Indolelactic acid",0.192922263514165,-0.121898030750655,0.21537687031881
"N-Acetylserine",0.131603161550758,0.0739652807317167,0.358579628095267
"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid",-0.258840906655901,0.153191567988515,-0.281256476677326
"Glyceric acid",0.225764977432112,0.253698205187329,0.242755950331007
"trans-Zeatin",-0.29235204547474,0.284498626264385,-0.0832827175175657
"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate",-0.0628556559104428,-0.124867001201105,0.26777485160172
"gamma-Aminobutyric acid",0.0808401822805104,0.0156028448877191,0.207497573571745
"2,6-Diaminopimelic acid",0.0158875624817748,0.237422188692983,0.270760601019057
"N-Acetylserotonin",0.153092722862271,-0.133340149921834,0.183697334200825
"4,6-Dihydroxypyrimidine",-0.0661518584475778,0.0160081135861014,0.313677972547912
"Methyl-4-hydroxy-3-methoxybenzoate",0.0434143542445247,0.121485440544285,0.285526248084901
"Desloratadine",0.0675731293632107,0.0241159285607443,0.235484949475503
"2-Hydroxyquinoline",0.204766114470956,0.0520770277421274,0.174062905955204
"Glucuronic acid A",0.255794439490552,0.279432767534606,0.200405371350055
"Epicatechin",-0.287905717621585,0.420690199449435,0.076498338291022
"13-Hydroxy-9Z,11E-octadecadienoic acid",0.0187140125871437,0.270111587471813,-0.173860271606013
"4-Acetylbutyric acid",-0.013382695047783,-0.037284720251173,0.168794412876234
"Indoxyl sulfate",0.278018269763291,0.0174283181195295,0.286655302093889
"2-Deoxyribose",0.149929705494675,0.132320230021826,0.348733714957982
"N-Acetyldihydrosphingosine",0.219236833506364,-0.110030451610798,0.125633296498518
"Galactonic acid",0.0878035358013081,0.221681978015126,0.396758055716286
"Orotic acid",-0.0872595238074958,0.0409321385366138,0.343667856228203
"1-Methylxanthine",0.17266940683603,0.137183454402414,0.00770010526926398
"2-Propanamidoacetic acid",0.0409661763735928,-0.0565378447236957,0.283297157432712
